PDBbind_hold_out_2019_subset_cpnd_name	PDBbind_hold_out_2019_subset_cpnd_affi	PDBbind_hold_out_2019_subset_cpnd_smiles	PLANet_v18_cpnd_name	PLANet_v18_cpnd_affi	PLANet_v18_cpnd_smiles	similarity
6fs1	7.01	Cc1cc(CSCc2nn(C)c(C)c2-c2cccc3c(CCCOc4cccc5ccccc45)c(C(=O)O)[nH]c23)nn1C	CHEMBL4361_5vkc_CHEMBL4443085	7.0268721464003026	Cc1cc(CSCc2nn(C)c(C)c2-c2cccc3c(CCCOc4cccc5ccccc45)c(C(=O)O)[nH]c23)nn1C	1.0
6dm8	7.28	Cc1cc(OCCCc2c3n(c4c(-c5c(C)nn(C)c5C)c(Cl)ccc24)CCCN(c2cc(C(=O)O)cc4c2ccn4C)C3=O)cc(C)c1Cl	CHEMBL4361_5vkc_CHEMBL4086356	8.838890352633038	Cc1cc(OCCCc2c3n(c4c(-c5c(C)nn(C)c5C)c(Cl)ccc24)CCCN(c2cc(C(=O)O)cc4c2ccn4C)C3=O)cc(C)c1Cl	1.0
5msb	7.46	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F	CHEMBL205_4ww6_CHEMBL2333417	7.769551078621726	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F	1.0
5msb	7.46	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F	CHEMBL261_4wr7_CHEMBL2333417	9.69897000433602	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F	1.0
5msb	7.46	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F	CHEMBL3912_4hu1_CHEMBL2333417	7.516226011890567	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F	1.0
5wf5	7.65	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NC4CCN(c5ccccn5)CC4)nc32)[C@H](O)[C@@H]1O	CHEMBL251_3qak_CHEMBL1096896	8.397940008672037	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NC4CCN(c5ccccn5)CC4)nc32)[C@H](O)[C@@H]1O	1.0
6bw2	7.68	Cc1cc(OCCCc2c3n(c4c(-c5c(C)nn(C)c5C)cccc24)CCCN(Cc2cccc(C(=O)O)c2)C3=O)cc(C)c1Cl	CHEMBL4361_5vkc_CHEMBL4094135	7.67778070526608	Cc1cc(OCCCc2c3n(c4c(-c5c(C)nn(C)c5C)cccc24)CCCN(Cc2cccc(C(=O)O)c2)C3=O)cc(C)c1Cl	1.0
5w0f	7.8	CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)ccc43)nn2[C@H]2CCOC2)C1	CHEMBL1163125_5ku3_CHEMBL4077449	4.698970004336019	CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)ccc43)nn2[C@H]2CCOC2)C1	1.0
5w0f	7.8	CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)ccc43)nn2[C@H]2CCOC2)C1	CHEMBL5747_5ktw_CHEMBL4077449	7.1453650195120835	CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)ccc43)nn2[C@H]2CCOC2)C1	1.0
5wf6	7.83	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NC4CCN(c5ccccn5)CC4)nc32)[C@H](O)[C@@H]1O	CHEMBL251_3qak_CHEMBL1096896	8.397940008672037	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NC4CCN(c5ccccn5)CC4)nc32)[C@H](O)[C@@H]1O	1.0
6fyl	8.15	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	CHEMBL2147_5o11_CHEMBL1230165	5.907630300370879	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
6fyl	8.15	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	CHEMBL3629_3pe1_CHEMBL1230165	9.250921944742199	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
6cmj	8.3	CC(C)Cc1cc(-c2c[nH]c3ncc(-c4ccccc4)cc23)ccc1C(=O)O	CHEMBL2343_3hdm_CHEMBL564555	7.268801001050522	CC(C)Cc1cc(-c2c[nH]c3ncc(-c4ccccc4)cc23)ccc1C(=O)O	1.0
5vio	8.62	CNC(=O)c1ccc(OC)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)c1	CHEMBL5285_5uor_CHEMBL4279174	7.592609927127098	CNC(=O)c1ccc(OC)c(C(=O)Nc2cccc(-c3nncn3C(C)C)n2)c1	1.0
6gdg	8.74	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	CHEMBL251_2ydo_CHEMBL464859	7.698970004336019	CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	1.0
6bw8	9.0	Cc1cc(OCCCc2c3n(c4c(-c5c(C)nn(C)c5C)c(Cl)ccc24)CCCN(c2cccc4c(C(=O)O)cn(C)c24)C3=O)cc(C)c1Cl	CHEMBL4361_5vkc_CHEMBL4083870	8.795880017344075	Cc1cc(OCCCc2c3n(c4c(-c5c(C)nn(C)c5C)c(Cl)ccc24)CCCN(c2cccc4c(C(=O)O)cn(C)c24)C3=O)cc(C)c1Cl	1.0
5w0e	9.03	CNC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1	CHEMBL5747_5ktx_CHEMBL4097025	8.207608310501746	CNC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1	1.0
6got	9.4	NS(=O)(=O)c1ccc(SCCc2ccccc2)cc1	CHEMBL261_4wup_CHEMBL2333401	8.301029995663981	NS(=O)(=O)c1ccc(SCCc2ccccc2)cc1	1.0
6got	9.4	NS(=O)(=O)c1ccc(SCCc2ccccc2)cc1	CHEMBL3242_4ww8_CHEMBL2333401	6.481486060122112	NS(=O)(=O)c1ccc(SCCc2ccccc2)cc1	1.0
5llc	9.52	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	CHEMBL205_4qtl_CHEMBL3799577	8.619788758288394	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	1.0
5llc	9.52	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	CHEMBL261_5e2m_CHEMBL3799577	7.6020599913279625	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	1.0
5llc	9.52	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	CHEMBL3242_4qjw_CHEMBL3799577	7.022276394711152	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	1.0
5llc	9.52	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	CHEMBL3912_5e2n_CHEMBL3799577	9.361769097913378	CNc1c(F)c(S(N)(=O)=O)c(F)c(F)c1S(=O)(=O)CCc1ccccc1	1.0
5llg	11.13	CCCSc1ccc(S(N)(=O)=O)cc1	CHEMBL261_4wup_CHEMBL2333400	8.346787486224656	CCCSc1ccc(S(N)(=O)=O)cc1	1.0
5llg	11.13	CCCSc1ccc(S(N)(=O)=O)cc1	CHEMBL3242_4ww8_CHEMBL2333400	6.3979400086720375	CCCSc1ccc(S(N)(=O)=O)cc1	1.0
