PDB ID	Entry	Cross-reference (ChEMBL)	Cross-reference (BindingDB)	Protein names
6cf5	A8UDR1			Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]
6cf5	Q6DQ33			Hemagglutinin (Fragment)
3g6m	A9LI60			Chitinase (EC 3.2.1.14)
3vzg	O60844			Zymogen granule membrane protein 16 (Zymogen granule protein 16) (hZG16) (Secretory lectin ZG16)
5y61	Q9I4L6			YfiB
5eb2,5eb3,5y61,5y62	Q9I4L4			YfiR
1s8j	P02945			Bacteriorhodopsin (BR) (Bacterioopsin) (BO)
1af6	P02943			Maltoporin (Maltose outer membrane channel) (Maltose-inducible porin) (Phage lambda receptor protein)
1d5r	P60484	CHEMBL2052032;	P60484;	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog)
1mwt	Q93IC2			Penicillin-binding protein 2'
3ehn	Q8A8X4			SusD homolog
4bh4,4bh3	Q5EP31			Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]
2bmv	O25776			Flavodoxin
6evq	Q61166			Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1)
1f2p,1f2o,1qq9	P80561			Aminopeptidase S (EC 3.4.11.24) (API) (SGAP)
1njj	Q9TZZ6			Ornithine decarboxylase (EC 4.1.1.17)
2zg3,2zg1	O15389			Sialic acid-binding Ig-like lectin 5 (Siglec-5) (CD33 antigen-like 2) (Obesity-binding protein 2) (OB-BP2) (OB-binding protein 2) (CD antigen CD170)
4cs9	Q8QN58			Protein M2-1
1uxb	Q64822			Fiber (Fiber protein)
5z5f	Q2I2N4			Beta-xylosidase (EC 3.2.1.37)
6g47	A0MK70			Fiber-1
1x8d	P32156			L-rhamnose mutarotase (EC 5.1.3.32) (Rhamnose 1-epimerase) (Type-3 mutarotase)
2aac	P0A9E0			Arabinose operon regulatory protein (HTH-type transcriptional regulator AraC)
4aci	Q8NQ97			HTH-type transcriptional repressor AcnR (TetR-type regulator AcnR)
2igw,2igv	P52011			Peptidyl-prolyl cis-trans isomerase 3 (PPIase 3) (EC 5.2.1.8) (Cyclophilin-3) (Rotamase 3)
1rdj,1rdn,1rdi,1rdl	P08661			Mannose-binding protein C (MBP-C) (Mannan-binding protein) (Ra-reactive factor polysaccharide-binding component p28A) (RaRF p28A)
1ukt	P05618			Cyclomaltodextrin glucanotransferase (EC 2.4.1.19) (Cyclodextrin-glycosyltransferase) (CGTase)
4mfe	Q2K340			Pyruvate carboxylase (EC 6.4.1.1)
3ip8	Q05115			Arylmalonate decarboxylase (AMDase) (EC 4.1.1.76)
1ing,1inh	P06820		P06820;	Neuraminidase (EC 3.2.1.18)
1jdj,1n1g	P90551			Glycerol-3-phosphate dehydrogenase [NAD(+)], glycosomal (EC 1.1.1.8)
2xlc	Q9K5F2			Acetyl xylan esterase (EC 3.1.1.6)
4led	T2LG16			Bacteriocin
4y0a	A0A0M3KL09			Shikimate kinase (SK) (EC 2.7.1.71)
5mz8	A9SS48			Predicted protein
2rjr,2rjs,2qve	Q8GMG0			MIO-dependent tyrosine 2,3-aminomutase (EC 5.4.3.6) (Tyrosine ammonia-lyase) (EC 4.3.1.23)
5fsb,5fsc	B0CZL6			Tectonin 2
4nyt	Q15485			Ficolin-2 (37 kDa elastin-binding protein) (Collagen/fibrinogen domain-containing protein 2) (EBP-37) (Ficolin-B) (Ficolin-beta) (Hucolin) (L-ficolin) (Serum lectin p35)
2wsx	P31553			L-carnitine/gamma-butyrobetaine antiporter
1oba	P15057			Lysozyme (EC 3.2.1.17) (CP-1 lysin) (Endolysin) (Muramidase)
4d63,4d62	Q2TLC1			Fiber
2aez	Q93X60			Fructan 1-exohydrolase IIa (EC 3.2.1.80)
4ctk,4ctj	A9LIE0			Core protein (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Envelope protein E) (Flavivirin protease NS2B regulatory subunit) (Flavivirin protease NS3 catalytic subunit) (Genome polyprotein) (Matrix protein) (Non-structural protein 1) (Non-structural protein 2A) (Non-structural protein 2B) (Non-structural protein 3) (Non-structural protein 4A) (Non-structural protein 4B) (Peptide 2k) (Peptide pr) (Protein prM) (RNA-directed RNA polymerase NS5) (Serine protease NS3) (Serine protease subunit NS2B) (Small envelope protein M)
1rq2	P9WN95	CHEMBL4213;	P9WN95;	Cell division protein FtsZ
1wdq,1wdr	P10538			Beta-amylase (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase)
3fqa,3fq7	P24630			Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)
5f6v,5f6d,5f6u	P63279	CHEMBL1741191;	P63279;	SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18)
1iup	P96965			2-hydroxy-6-oxo-7-methylocta-2,4-dienoate hydrolase
2wq4	B4EH86			Lectin
5v4q	P19440	CHEMBL5696;	P19440;	Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain]
4wef	Q6WJ03			Hemagglutinin-neuraminidase (EC 3.2.1.18)
2r58,2r5a	Q9VHA0			Polycomb protein Scm (Sex comb on midleg protein)
4up5	Q86UU0			B-cell CLL/lymphoma 9-like protein (B-cell lymphoma 9-like protein) (BCL9-like protein) (Protein BCL9-2)
4up5	Q9BRQ0			Pygopus homolog 2
4lnf,4lno	P12425			Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I alpha) (GSI alpha)
5foo	Q99YP9			Putative beta-glucosidase
5ey0	Q2FZ27			GTP-sensing transcriptional pleiotropic repressor CodY
5eld	D6R7L2			Cholera toxin B (Cholera toxin B subunit)
3lvw	P32477			Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase)
1hgj,1hge,1hgi	P03438	CHEMBL4918;	P03438;	Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain]
1o8b	P0A7Z0			Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)
5k5s	P41180	CHEMBL1878;	P41180;	Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1)
1gym	P14262			1-phosphatidylinositol phosphodiesterase (EC 4.6.1.13) (Phosphatidylinositol diacylglycerol-lyase) (Phosphatidylinositol-specific phospholipase C) (PI-PLC)
2uyn	P0AGL2	CHEMBL3309027;		Putative reactive intermediate deaminase TdcF (EC 3.5.4.-)
1dg9	P11064	CHEMBL1075054;	P11064;	Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.48) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2)
4ndu	A7UNK4			Alpha-galactosyl-binding lectin
1rql	O31156			Phosphonoacetaldehyde hydrolase (Phosphonatase) (EC 3.11.1.1) (Phosphonoacetaldehyde phosphonohydrolase)
5oyd	B3PD52			Cellulase, putative, cel5D (EC 3.2.1.4)
2p3o	P12823	CHEMBL3308998;	P12823;	Genome polyprotein [Cleaved into: Capsid protein C (Core protein); Protein prM; Peptide pr; Small envelope protein M (Matrix protein); Envelope protein E; Non-structural protein 1 (NS1); Non-structural protein 2A (NS2A); Serine protease subunit NS2B (Flavivirin protease NS2B regulatory subunit) (Non-structural protein 2B); Serine protease NS3 (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Flavivirin protease NS3 catalytic subunit) (Non-structural protein 3); Non-structural protein 4A (NS4A); Peptide 2k; Non-structural protein 4B (NS4B); RNA-directed RNA polymerase NS5 (EC 2.1.1.56) (EC 2.1.1.57) (EC 2.7.7.48) (Non-structural protein 5)]
2p3o	Q9WLZ5			Core protein (EC 3.4.21.91) (EC 3.6.1.15) (EC 3.6.4.13) (Envelope protein E) (Flavivirin protease NS2B regulatory subunit) (Flavivirin protease NS3 catalytic subunit) (Genome polyprotein) (Matrix protein) (Non-structural protein 1) (Non-structural protein 2A) (Non-structural protein 2B) (Non-structural protein 3) (Non-structural protein 4A) (Non-structural protein 4B) (Peptide 2k) (Peptide pr) (Protein prM) (RNA-directed RNA polymerase NS5) (Serine protease NS3) (Serine protease subunit NS2B) (Small envelope protein M)
2yiv	Q9F8A8			Carbon monoxide dehydrogenase 2 (CODH 2) (EC 1.2.7.4)
5hki	P9WHK9			Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)
5ofv,5nzq,5nzp,5nzo,5n53,5ofw	O43175	CHEMBL2311243;	O43175;	D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)
5aip	Q7DD70			Transcriptional regulator, MarR family
6mj7	Q13501	CHEMBL4295816;		Sequestosome-1 (EBI3-associated protein of 60 kDa) (EBIAP) (p60) (Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa) (Ubiquitin-binding protein p62)
4yw2,4yz5	A0A0H2UQE4			Putative neuraminidase (EC 3.2.1.18)
2a29	P03960			Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain)
3k3g	Q72CX3			Urea transporter DVU1160 (dvUT)
4ouj	B1INP8			Hemagglutinin component HA33
4a4h,4a4f	O75940	CHEMBL4105959;		Survival of motor neuron-related-splicing factor 30 (30 kDa splicing factor SMNrp) (SMN-related protein) (Survival motor neuron domain-containing protein 1)
1cet	Q27743		Q27743;	L-lactate dehydrogenase (EC 1.1.1.27) (LDH-P)
2k2r	Q9NVD7			Alpha-parvin (Actopaxin) (CH-ILKBP) (Calponin-like integrin-linked kinase-binding protein) (Matrix-remodeling-associated protein 2)
2wpb	P0A6L4			N-acetylneuraminate lyase (NAL) (Neu5Ac lyase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (NALase) (Sialate lyase) (Sialic acid aldolase) (Sialic acid lyase)
2wtx	P31677			Trehalose-6-phosphate synthase (TPS) (EC 2.4.1.15) (Alpha,alpha-trehalose-phosphate synthase [UDP-forming]) (Osmoregulatory trehalose synthesis protein A) (OtsA) (UDP-glucose-glucosephosphate glucosyltransferase)
5aes	P60487	CHEMBL3425392;	P60487;	Pyridoxal phosphate phosphatase (PLP phosphatase) (EC 3.1.3.3) (EC 3.1.3.74) (Chronophin)
5ngz	Q9NPD8	CHEMBL4105763;	Q9NPD8;	Ubiquitin-conjugating enzyme E2 T (EC 2.3.2.23) (Cell proliferation-inducing gene 50 protein) (E2 ubiquitin-conjugating enzyme T) (Ubiquitin carrier protein T) (Ubiquitin-protein ligase T)
6mvu	A0A0Q3EUQ3			Aldehyde dehydrogenase
3c2u	O52575			Xylosidase/arabinosidase
5dv4,5dv2	Q96LI5	CHEMBL4105957;		CCR4-NOT transcription complex subunit 6-like (EC 3.1.13.4) (Carbon catabolite repressor protein 4 homolog B)
1ms0	Q26966	CHEMBL5126;	Q26966;	Trans-sialidase
2fw6,2fwp	Q2QJL3			N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)
3alt	Q7M4F9			Lectin CEL-IV, C-type
3k8c	Q4CQE2			Ribose 5-phosphate isomerase (Ribose 5-phosphate isomerase, putative)
4x14	P03089			Major capsid protein VP1 (Major structural protein VP1)
6fv4	A0QU89			N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
1p6e,1p6d	P09598	CHEMBL1293202;	P09598;	Phospholipase C (PLC) (EC 3.1.4.3) (Cereolysin A) (Phosphatidylcholine cholinephosphohydrolase)
2br6	P0CJ63			N-acyl homoserine lactonase AiiA (AHL-lactonase AiiA) (EC 3.1.1.81)
2w8w,2w8j	Q93UV0	CHEMBL3217400;		Aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme (Serine palmitoyltransferase)
4bgx,4bgy	Q6DQ34			Hemagglutinin (Fragment)
2hw2	A0QRS5			Rifampin ADP-ribosyl transferase
4bps	Q9KID9	CHEMBL2331069;		Chorismatase (EC 3.3.2.13) (Chorismate hydrolase)
1ux7	P45796			Arabinoxylan arabinofuranohydrolase (AXH) (EC 3.2.1.55) (AXH-m2,3) (AXH-m23) (Alpha-L-arabinofuranosidase) (AF)
1z9h	Q9N0A4			Prostaglandin E synthase 2 (EC 5.3.99.3) (Microsomal prostaglandin E synthase 2) (mPGES-2) [Cleaved into: Prostaglandin E synthase 2 truncated form]
2r0y	Q02206			Chromatin structure-remodeling complex subunit RSC4 (RSC complex subunit RSC4) (Remodel the structure of chromatin complex subunit 4)
2ych	Q72IW7			Competence protein pilN
2ych	Q72IW8			Pilus-associated protein pilM
3eka	Q9A0M7			Hyaluronidase, phage associated
4fe9	G8JZS6			Outer membrane protein SusF (Starch-utilization system protein F)
4k0o	Q47200			F17b-G fimbrial adhesin
4u0w	O34817			HTH-type transcriptional repressor NagR (N-acetylglucosamine utilization regulator)
4wh7,4wh9	P30305	CHEMBL4804;	P30305;	M-phase inducer phosphatase 2 (EC 3.1.3.48) (Dual specificity phosphatase Cdc25B)
1g5f,1g42	D4Z2G1			Haloalkane dehalogenase (EC 3.8.1.5) (1,3,4,6-tetrachloro-1,4-cyclohexadiene halidohydrolase) (1,4-TCDN halidohydrolase)
4g0z,4g0y,4g0q,4g0p	O04379			Protein argonaute 1
2vmc,2vmd	P42530			Discoidin-2 (Discoidin II)
3dc2	P9WNX3			D-3-phosphoglycerate dehydrogenase (PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399)
1ogd	P36946			D-ribose pyranase (EC 5.4.99.62)
2pcu	Q9UI42			Carboxypeptidase A4 (EC 3.4.17.-) (Carboxypeptidase A3)
3ay0	Q58293			tRNA (guanine(37)-N1)-methyltransferase Trm5b (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)
2woq,1gzg	Q59643	CHEMBL3286086;	Q59643;	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)
1pum	P81446			Beta-galactoside-specific lectin 1 (Beta-galactoside-specific lectin I) (Viscumin) [Cleaved into: Beta-galactoside-specific lectin 1 chain A isoform 1 (EC 3.2.2.22) (Beta-galactoside-specific lectin I chain A isoform 1) (ML-I A) (MLA) (rRNA N-glycosidase); Beta-galactoside-specific lectin 1 chain B (Beta-galactoside-specific lectin I chain B) (ML-I B) (MLB)]
1uj5,1uj6	Q72J47			Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)
4ypf,4yrc,4yrg,4yrr,4yrt,4yrs	Q4DA54			Histidine--tRNA ligase (EC 6.1.1.21)
1a5v	O92956			Gag-Pol polyprotein [Cleaved into: Matrix protein p19; p2A; p2B; p10; Capsid protein p27, alternate cleaved 1; Capsid protein p27, alternate cleaved 2; p3; Nucleocapsid protein p12; Protease p15 (EC 3.4.23.-); Reverse transcriptase beta-subunit (RT-beta); Reverse transcriptase alpha-subunit (RT-alpha) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4); Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-) (pp32); p4]
1ecq,1ec9	P0AES2			Glucarate dehydratase (GDH) (GlucD) (EC 4.2.1.40)
1pu7,1pu8	O25323			Endonuclease III
1swi	P03069			General control transcription factor GCN4 (Amino acid biosynthesis regulatory protein) (General control protein GCN4)
4j79	Q91AV1			Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein)
4pxf	P02699	CHEMBL5739;	P02699;	Rhodopsin
4pxf	P08168			S-arrestin (48 kDa protein) (Retinal S-antigen) (S-AG) (Rod photoreceptor arrestin) [Cleaved into: S-arrestin short form]
4h4b,5cr7	P49902	CHEMBL3708197;	P49902;	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (Cytosolic 5'-nucleotidase II)
1uod	P76015			PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK (EC 2.7.1.121)
2ks9,2ksa,2ksb	P20366		P20366;	Protachykinin-1 (PPT) [Cleaved into: Substance P; Neurokinin A (NKA) (Neuromedin L) (Substance K); Neuropeptide K (NPK); Neuropeptide gamma; C-terminal-flanking peptide]
5c5t	Q84406			Prolyl 4-hydroxylase
1rin	P02867			Lectin [Cleaved into: Lectin beta chain; Lectin alpha chain]
3cgy	P0DM80	CHEMBL6096;	P0DM80;	Virulence sensor histidine kinase PhoQ (EC 2.7.13.3) (EC 3.1.3.-) (Sensor histidine protein kinase/phosphatase PhoQ)
3e73	O43813			Glutathione S-transferase LANCL1 (EC 2.5.1.18) (40 kDa erythrocyte membrane protein) (p40) (LanC-like protein 1)
3ad7,3ad8	Q50LE9			Subunit gamma of sarcosine oxidase
3ad7,3ad8	Q50LF0			Sarcosine oxidase subunit alpha (EC 1.5.3.1)
3ad7,3ad8	Q50LF1			Subunit delta of sarcosine oxidase
3ad7,3ad8	Q50LF2			Subunit beta of sarcosine oxidase (EC 1.5.3.1)
3ecn	O60658	CHEMBL4640;	O60658;	High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A (EC 3.1.4.53)
4pl6,4pli	P59169			Histone H3.3 (Histone H3.2)
4pl6,4pli	Q4V3E2			Protein MRG2 (MRG family protein 2) (Morf Related Gene 2)
4x3i	P11798			Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)
1ro7	Q9LAK3			Alpha-2,3 sialyltransferase (Alpha-2,3-/2,8-sialyltransferase) (Alpha-2,3/8-sialyltransferase)
2nd0	Q9QR71		Q9QR71;	Protein LANA1
5d9p	O06842			B-1,4-endoglucanase
1k1y	O32462			4-alpha-glucanotransferase (EC 2.4.1.25) (Amylomaltase) (Disproportionating enzyme) (D-enzyme)
2ri9	P31723			Mannosyl-oligosaccharide alpha-1,2-mannosidase (EC 3.2.1.113) (Man(9)-alpha-mannosidase)
3i8t	Q8K419			Galectin-4 (Gal-4) (Lactose-binding lectin 4)
4wn0	Q5PPM0			Intelectin-1 (Embryonic epidermal lectin) (Xeel)
5y79	B5AJT1			Putative hexose phosphate translocator (Sugar-phosphate:phosphate translocator, DMT family)
2gmk	P22069			Protein P-30 (EC 3.1.27.-) (Onconase)
2r8q	Q6S996	CHEMBL2169733;	Q6S996;	Phosphodiesterase (EC 3.1.4.-)
6er4,6er3	A7B557			BNR/Asp-box repeat protein
4jbl	O15570			Cysteine synthase
2xgm,2xgo,2xgs	Q8PC69			TPR_REGION domain-containing protein
5yf1	Q8N4J0			Carnosine N-methyltransferase (EC 2.1.1.22)
4f20	Q6E0U4			Dermokine (Epidermis-specific secreted protein SK30/SK89)
4f20	Q6GDH2			Clumping factor B (Fibrinogen receptor B) (Fibrinogen-binding protein B)
4ym2,5duw	P56470	CHEMBL1671608;	P56470;	Galectin-4 (Gal-4) (Antigen NY-CO-27) (L-36 lactose-binding protein) (L36LBP) (Lactose-binding lectin 4)
1tpw	P00940			Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)
3aaq	Q5ZUA2			Ectonucleoside triphosphate diphosphohydrolase I
3gv6,3i90	O95503	CHEMBL3779762;	O95503;	Chromobox protein homolog 6
3l7g	Q44238	CHEMBL4252;		Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (DFPase) (Imidodipeptidase) (Organophosphorus acid anhydrolase 2) (OPAA-2) (EC 3.1.8.2) (Paraoxon hydrolase) (Phosphotriesterase) (EC 3.1.8.1) (Proline dipeptidase) (Prolidase)
4x11,4x0z,4x13	P90498			Capsid protein VP1
5ggp	Q14118	CHEMBL3714399;		Dystroglycan (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]
4a4g,4a4e	Q16637	CHEMBL1293232;	Q16637;	Survival motor neuron protein (Component of gems 1) (Gemin-1)
2pnc	Q29437			Primary amine oxidase, liver isozyme (EC 1.4.3.21) (Amine oxidase [copper-containing]) (Copper amine oxidase) (Serum amine oxidase) (SAO)
4bt5,4bt3,4bt4	P23616			Alpha-acetolactate decarboxylase (ALDC) (EC 4.1.1.5)
4gwk	P52209	CHEMBL3404;	P52209;	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)
3c2f,3c2r,3c2o	P43619			Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)
4zki,4u7o	A0A0M3KKX3			Histidine protein kinase sensor protein
3uf9,2vc7	Q97VT7			Aryldialkylphosphatase (EC 3.1.8.1) (Paraoxonase) (SsoPox) (Phosphotriesterase-like lactonase)
3zzf,3zzh	Q01217			Protein ARG5,6, mitochondrial [Cleaved into: N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase); Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (AGK)]
4mrh,4mrf,4mre,4np2,4mrg,4np3,4mrd	P15379	CHEMBL3232693;	P15379;	CD44 antigen (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Lymphocyte antigen 24) (Ly-24) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)
3tay	P0C6Y8			Outer capsid protein VP4 (Hemagglutinin) [Cleaved into: Outer capsid protein VP8*; Outer capsid protein VP5*]
4ipn	A0A0H2UP35			6-phospho-beta-glucosidase (EC 3.2.1.86)
4lhm	P07650	CHEMBL3726;	P07650;	Thymidine phosphorylase (EC 2.4.2.4) (TdRPase)
5lsh	P61626			Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)
1bxr	P00968			Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)
1bxr	P0A6F1		P0A6F1;	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)
1ikt	P51659	CHEMBL5814;		Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MFP-2) (Short chain dehydrogenase/reductase family 8C member 1) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]
1jt1	Q9K578	CHEMBL1287596;		FEZ-1 protein (Metallo-beta-lactamase L1) (EC 3.5.2.6)
1uz4	Q6QT42			Man5A
2jqk	O75351	CHEMBL2311229;		Vacuolar protein sorting-associated protein 4B (EC 3.6.4.6) (Cell migration-inducing gene 1 protein) (Suppressor of K(+) transport growth defect 1) (Protein SKD1)
2jqk	Q9UQN3			Charged multivesicular body protein 2b (CHMP2.5) (Chromatin-modifying protein 2b) (CHMP2b) (Vacuolar protein sorting-associated protein 2-2) (Vps2-2) (hVps2-2)
3nba	P9WPA5			Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)
5yas,4yas	P52704			(S)-hydroxynitrile lyase (EC 4.1.2.47) ((S)-acetone-cyanohydrin lyase) (Oxynitrilase)
2sim	P29768			Sialidase (EC 3.2.1.18) (N-acylneuraminate glycohydrolase) (Neuraminidase) (NANase) (STNA)
5yij	Q6RCR0			SdeA
1ywi	O75400			Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6)
4kw6	J7HJM3			Peroxiredoxin-1
6exs	A0A657M1C3			Peptide ABC transporter permease
