pdb_id	-logAffi	mw	logp	rotb	hbd	hba	q	HA
3eor	1.4	277.173	-3.0954299999999977	6.0	3.0	8.0	-2.0	18.0
3e81	1.43	308.263	-5.206499999999994	5.0	6.0	9.0	-1.0	21.0
1ozv	1.44	147.198	-3.2409999999999988	5.0	2.0	2.0	1.0	10.0
1utp	1.44	150.24499999999998	1.2511999999999992	4.0	1.0	0.0	1.0	11.0
5eb3	1.45	169.17999999999998	0.08021999999999996	2.0	3.0	4.0	0.0	12.0
1tnk	1.49	136.218	0.8610999999999993	3.0	1.0	0.0	1.0	10.0
4bh4	1.49	673.5980000000004	-9.41430000000001	12.0	12.0	19.0	-1.0	46.0
5vqe	1.49	166.14800000000002	-1.5625999999999998	1.0	3.0	4.0	0.0	11.0
4lh3	1.52	130.09900000000002	-2.343499999999999	4.0	0.0	4.0	-2.0	9.0
5ct1	1.52	207.29499999999996	-0.5722999999999994	4.0	1.0	3.0	0.0	13.0
5ele	1.52	878.8280000000003	-9.581800000000015	13.0	15.0	24.0	0.0	60.0
3mwe	1.54	148.07	-4.791999999999998	3.0	2.0	6.0	-2.0	10.0
4amw	1.55	180.13099999999997	-1.2041000000000002	1.0	4.0	5.0	0.0	12.0
1iig	1.57	151.034	-2.9598999999999993	3.0	0.0	5.0	-3.0	9.0
3rup	1.57	424.17900000000014	-3.6419999999999977	6.0	3.0	15.0	-3.0	27.0
5cs5	1.58	302.37400000000014	-5.139799999999997	6.0	2.0	6.0	0.0	18.0
5ofv	1.58	153.13199999999998	0.49762000000000006	1.0	0.0	2.0	-1.0	11.0
2b1q	1.59	342.29699999999997	-5.397199999999992	4.0	8.0	11.0	0.0	23.0
1w8m	1.6	185.22299999999996	0.5619999999999998	1.0	0.0	3.0	0.0	13.0
3itc	1.6	189.09899999999996	-5.252599999999998	5.0	1.0	7.0	-3.0	13.0
2it4	1.62	123.98799999999999	-1.4219000000000002	1.0	1.0	4.0	-2.0	7.0
1a7t	1.64	195.23999999999992	-2.5532999999999975	3.0	1.0	4.0	0.0	12.0
4d63	1.64	308.263	-5.206499999999994	5.0	6.0	9.0	-1.0	21.0
1hgj	1.66	322.314	-5.302799999999995	6.0	5.0	8.0	0.0	22.0
1rdj	1.66	164.157	-2.1937999999999986	0.0	4.0	5.0	0.0	11.0
2o9r	1.68	358.365	-4.680599999999992	4.0	8.0	11.0	0.0	23.0
4qsw	1.68	258.22999999999996	-2.466599999999998	2.0	4.0	6.0	0.0	18.0
2sfp	1.7	73.071	-0.8537000000000003	1.0	0.0	2.0	-1.0	5.0
3gf2	1.7	137.11399999999998	-0.2443000000000004	1.0	1.0	3.0	-1.0	10.0
3oay	1.7	180.156	-3.2197999999999976	1.0	5.0	6.0	0.0	12.0
4tyb	1.7	203.2649999999999	0.16637999999999975	2.0	1.0	2.0	1.0	15.0
6cex	1.7	207.29499999999996	-0.5722999999999994	4.0	1.0	3.0	0.0	13.0
6cf5	1.7	207.29499999999996	-0.5722999999999994	4.0	1.0	3.0	0.0	13.0
3g6m	1.71	194.194	-1.0293	0.0	0.0	6.0	0.0	14.0
2hdr	1.72	152.12899999999996	-0.6620999999999995	1.0	2.0	4.0	-1.0	11.0
3ern	1.72	321.1820000000001	-3.879629999999997	4.0	4.0	10.0	-2.0	21.0
3vzg	1.72	281.26099999999997	-5.448199999999995	5.0	5.0	8.0	0.0	19.0
3zst	1.72	972.8460000000001	-13.054799999999993	6.0	18.0	30.0	0.0	66.0
5y61	1.72	361.20700000000016	-3.8336999999999986	4.0	4.0	12.0	-2.0	24.0
1u2y	1.74	192.17100000000002	-3.1790999999999983	1.0	6.0	6.0	0.0	13.0
4qsx	1.74	226.23199999999997	-0.40820000000000034	2.0	2.0	4.0	0.0	16.0
5y62	1.74	361.20700000000016	-3.8336999999999986	4.0	4.0	12.0	-2.0	24.0
5ggj	1.75	301.251	-1.2265000000000004	4.0	4.0	8.0	0.0	21.0
4bgx	1.77	470.4040000000003	-7.382300000000001	8.0	9.0	14.0	-1.0	32.0
5ggl	1.78	342.3040000000001	-1.082699999999999	5.0	4.0	8.0	0.0	24.0
2zgm	1.79	342.29699999999997	-5.397199999999992	4.0	8.0	11.0	0.0	23.0
1ga8	1.8	326.29799999999994	-4.367999999999992	4.0	7.0	10.0	0.0	22.0
3rxh	1.8	112.15599999999999	-0.8058999999999998	2.0	2.0	1.0	1.0	8.0
1af6	1.82	342.29699999999997	-5.395599999999992	5.0	8.0	11.0	0.0	23.0
1bra	1.82	121.16299999999998	-0.8489999999999995	1.0	2.0	0.0	1.0	9.0
1d5r	1.82	148.07	-4.791999999999998	3.0	2.0	6.0	-2.0	10.0
1y1m	1.82	129.15900000000002	-1.7089999999999994	1.0	1.0	2.0	0.0	9.0
3eqb	1.82	476.22000000000025	3.155900000000001	6.0	3.0	5.0	1.0	26.0
4ahv	1.82	174.22699999999995	0.6142000000000001	2.0	1.0	2.0	1.0	13.0
1rdn	1.84	221.20899999999997	-3.077599999999997	2.0	5.0	6.0	0.0	15.0
1fd7	1.85	389.4040000000002	-0.20470000000000055	6.0	5.0	7.0	0.0	28.0
3khv	1.85	138.19	-0.0792000000000006	2.0	2.0	1.0	1.0	10.0
1mwt	1.88	336.4130000000001	-1.5537999999999963	6.0	2.0	5.0	0.0	23.0
1tnl	1.88	134.202	0.7843999999999993	1.0	1.0	0.0	1.0	10.0
2ay2	1.88	155.217	1.0967999999999996	3.0	0.0	2.0	-1.0	11.0
4x8s	1.89	203.035	2.1633000000000004	1.0	1.0	2.0	0.0	10.0
1f2p	1.9	165.19199999999998	-1.4104999999999992	3.0	1.0	2.0	0.0	12.0
4mrh	1.9	156.61599999999999	1.8128199999999999	0.0	2.0	2.0	0.0	10.0
1f2o	1.91	131.175	-1.607099999999999	3.0	1.0	2.0	0.0	9.0
1efi	1.92	271.269	-1.5524999999999984	3.0	5.0	7.0	0.0	19.0
3ehn	1.92	383.34999999999997	-5.253399999999992	5.0	8.0	11.0	0.0	26.0
4bh3	1.92	673.5980000000004	-9.41430000000001	12.0	12.0	19.0	-1.0	46.0
2rjr	1.94	199.15699999999998	-1.0301000000000007	3.0	2.0	4.0	-1.0	14.0
5nn4	1.94	162.19	-1.8291999999999997	3.0	2.0	4.0	-1.0	10.0
4mrf	1.95	134.202	0.3060999999999994	0.0	1.0	0.0	1.0	10.0
1tnj	1.96	122.19099999999999	0.4709999999999994	2.0	1.0	0.0	1.0	9.0
2gga	1.96	167.057	-4.8290999999999995	4.0	1.0	5.0	-2.0	10.0
5oxn	1.96	236.271	-1.9057999999999968	5.0	2.0	3.0	0.0	17.0
1wdq	1.98	340.28099999999995	-5.188999999999993	4.0	7.0	11.0	0.0	23.0
1gbt	2.0	166.20399999999998	-1.835599999999999	2.0	4.0	1.0	1.0	12.0
2bmv	2.0	121.16299999999998	-0.8489999999999995	1.0	2.0	0.0	1.0	9.0
2hds	2.0	214.222	-0.5783999999999996	3.0	1.0	4.0	-1.0	14.0
2r58	2.0	175.25199999999998	-3.3383999999999974	6.0	2.0	2.0	1.0	12.0
3c2f	2.0	385.0270000000001	-5.391299999999996	7.0	2.0	14.0	-5.0	22.0
3g2y	2.0	193.18999999999997	-0.8213800000000004	2.0	1.0	5.0	-1.0	14.0
3pce	2.0	151.141	-0.31540000000000057	2.0	1.0	3.0	-1.0	11.0
3rv3	2.0	424.17900000000014	-3.6419999999999977	6.0	3.0	15.0	-3.0	27.0
4awj	2.0	186.21099999999998	-1.2858999999999985	1.0	2.0	3.0	0.0	13.0
4ctk	2.0	151.19399999999996	1.2735	0.0	1.0	4.0	0.0	10.0
4kz5	2.0	293.6860000000001	0.7831199999999998	4.0	1.0	5.0	-1.0	20.0
4qsu	2.0	126.11499999999998	-0.05689999999999995	0.0	1.0	2.0	0.0	9.0
4qsv	2.0	242.231	-1.5142799999999985	2.0	3.0	6.0	0.0	17.0
4u58	2.0	327.4080000000001	0.744500000000001	8.0	3.0	3.0	1.0	24.0
4y4g	2.0	176.17600000000002	-4.058099999999999	5.0	3.0	4.0	0.0	12.0
6evq	2.0	321.40600000000006	2.1782000000000004	6.0	1.0	7.0	0.0	22.0
4ty8	2.03	160.17199999999997	2.1014199999999996	0.0	0.0	2.0	0.0	12.0
5ekx	2.03	156.61599999999999	1.8128199999999999	0.0	2.0	2.0	0.0	10.0
5nzq	2.03	160.17599999999996	1.9238	1.0	1.0	3.0	0.0	12.0
2ks9	2.04	1350.6569999999979	-7.799399999999984	42.0	15.0	15.0	2.0	95.0
1jfh	2.05	402.4870000000001	-2.655799999999993	6.0	6.0	11.0	0.0	25.0
4e4a	2.05	153.18199999999996	0.33879999999999993	1.0	1.0	3.0	-1.0	10.0
4ty9	2.05	162.11399999999998	1.6826	0.0	1.0	2.0	0.0	11.0
4x8t	2.05	181.62199999999996	1.6259000000000001	0.0	1.0	1.0	0.0	12.0
5eiw	2.05	176.141	1.8698000000000001	0.0	2.0	2.0	0.0	12.0
1qq9	2.06	149.215	-1.9000999999999986	4.0	1.0	3.0	0.0	9.0
1rdi	2.06	178.18400000000003	-1.539699999999999	1.0	3.0	5.0	0.0	12.0
2zg3	2.06	292.26399999999995	-4.526499999999994	5.0	5.0	8.0	-1.0	20.0
4u54	2.06	199.27699999999996	1.4418	3.0	1.0	1.0	1.0	15.0
3ao4	2.07	217.22799999999998	1.3980000000000004	1.0	1.0	5.0	0.0	16.0
4b0c	2.07	171.26899999999995	2.0869999999999997	5.0	1.0	3.0	0.0	11.0
3rxp	2.08	126.18299999999998	-0.5295799999999999	1.0	1.0	2.0	1.0	9.0
5tyh	2.08	177.13899999999995	0.033199999999999286	2.0	1.0	4.0	-1.0	13.0
1njj	2.1	500.5900000000002	-8.789600000000014	6.0	10.0	10.0	4.0	34.0
2zg1	2.1	308.263	-5.206499999999994	5.0	6.0	9.0	-1.0	21.0
4cs9	2.1	345.2080000000001	-3.126999999999997	4.0	3.0	12.0	-2.0	23.0
1qx1	2.12	166.14800000000002	-1.5625999999999998	1.0	3.0	4.0	0.0	11.0
2w8w	2.12	331.1970000000002	-3.029379999999996	7.0	2.0	10.0	-3.0	22.0
3gv9	2.12	184.19599999999997	0.06999999999999962	2.0	1.0	4.0	-1.0	12.0
1p2g	2.13	1297.1280000000002	-17.406399999999973	8.0	24.0	40.0	0.0	88.0
1uxb	2.15	470.4040000000003	-7.382300000000001	8.0	9.0	14.0	-1.0	32.0
3rxg	2.15	116.184	-0.46820000000000084	0.0	2.0	1.0	1.0	8.0
4b0j	2.15	181.21599999999998	1.8954	2.0	1.0	4.0	0.0	12.0
4q90	2.15	125.19599999999997	1.6787199999999998	0.0	1.0	2.0	0.0	8.0
5cs3	2.15	253.34399999999988	-4.3025999999999955	6.0	3.0	4.0	1.0	16.0
6fap	2.15	166.20399999999995	-0.5508000000000002	2.0	3.0	2.0	1.0	12.0
6fi1	2.15	166.20399999999995	-0.5508000000000002	2.0	3.0	2.0	1.0	12.0
2ay9	2.16	177.22299999999996	1.1492999999999995	5.0	0.0	2.0	-1.0	13.0
4tim	2.16	183.03199999999998	-4.057499999999999	4.0	1.0	7.0	-3.0	11.0
5fe6	2.16	167.232	-0.5946999999999996	1.0	1.0	1.0	1.0	12.0
6ghj	2.16	364.4020000000002	-3.1554999999999946	10.0	4.0	5.0	0.0	26.0
3gqz	2.17	246.24199999999996	-0.008000000000000895	3.0	0.0	4.0	-1.0	18.0
4y3j	2.17	169.18399999999997	-2.6769999999999987	3.0	1.0	4.0	0.0	12.0
5oxk	2.17	217.225	-3.8829999999999982	6.0	3.0	4.0	0.0	15.0
5z5f	2.17	150.13	-2.582299999999999	1.0	4.0	5.0	0.0	10.0
6gmx	2.17	198.67399999999995	3.0185000000000013	0.0	0.0	2.0	0.0	12.0
3l7d	2.18	363.3450000000002	0.4743999999999997	4.0	3.0	7.0	0.0	26.0
6g47	2.18	598.5110000000004	-9.367400000000009	12.0	10.0	17.0	-2.0	41.0
4ahr	2.19	193.17799999999994	0.09780000000000011	3.0	0.0	4.0	-1.0	14.0
4ahs	2.19	161.13599999999997	0.7963	1.0	0.0	3.0	-1.0	12.0
4amx	2.19	182.147	-2.2425999999999986	1.0	4.0	5.0	0.0	12.0
4jdf	2.19	145.24999999999997	-1.9556999999999978	6.0	3.0	1.0	2.0	10.0
4mre	2.19	122.17099999999998	1.1594199999999997	0.0	2.0	2.0	0.0	9.0
5nzp	2.19	135.12199999999999	1.1211	0.0	1.0	2.0	0.0	10.0
1w1v	2.2	254.31399999999994	-3.389999999999996	4.0	4.0	2.0	1.0	18.0
2vvo	2.2	258.11899999999997	-4.368399999999996	3.0	4.0	9.0	-2.0	16.0
4eh8	2.2	214.26399999999995	2.757900000000001	4.0	1.0	2.0	0.0	16.0
1x8d	2.21	162.141	-1.9855999999999991	0.0	3.0	5.0	0.0	11.0
4g0z	2.21	361.20700000000016	-3.8336999999999986	4.0	4.0	12.0	-2.0	24.0
1icj	2.22	414.4920000000004	-0.8961999999999934	25.0	2.0	10.0	0.0	28.0
1m0n	2.22	390.2250000000003	-0.9561799999999991	6.0	1.0	10.0	-4.0	25.0
2aac	2.22	164.157	-2.1937999999999986	0.0	4.0	5.0	0.0	11.0
4aci	2.22	189.09899999999996	-5.252599999999998	5.0	1.0	7.0	-3.0	13.0
4uru	2.22	270.33500000000004	1.9524999999999997	4.0	1.0	5.0	0.0	17.0
4ury	2.22	238.26800000000003	0.25970000000000004	3.0	2.0	4.0	0.0	16.0
4x11	2.22	308.263	-5.206499999999994	5.0	6.0	9.0	-1.0	21.0
5fsb	2.22	255.172	-0.7796999999999996	2.0	2.0	4.0	0.0	13.0
5hcl	2.22	87.12199999999999	0.09450000000000003	0.0	0.0	1.0	0.0	6.0
5jqb	2.22	205.27699999999996	1.7384999999999997	4.0	0.0	2.0	-1.0	15.0
1ajp	2.23	167.13999999999996	-0.6098000000000006	2.0	2.0	4.0	-1.0	12.0
2igv	2.23	202.21	-3.6698999999999966	3.0	2.0	4.0	0.0	14.0
3ao5	2.23	296.1240000000001	2.160499999999999	1.0	1.0	5.0	0.0	17.0
1rdl	2.24	180.156	-3.2213999999999983	1.0	5.0	6.0	0.0	12.0
2ay8	2.24	169.22499999999994	0.8207000000000001	4.0	0.0	3.0	-1.0	11.0
2os9	2.24	180.156	-3.8345999999999973	0.0	6.0	6.0	0.0	12.0
5f6v	2.24	186.20999999999998	2.764800000000001	1.0	2.0	2.0	0.0	14.0
5m9w	2.24	413.3670000000003	-0.7058999999999978	11.0	3.0	7.0	-2.0	28.0
5nzo	2.24	173.21899999999997	1.6692999999999993	1.0	1.0	3.0	0.0	13.0
1ukt	2.25	646.6160000000004	-9.59070000000001	9.0	14.0	18.0	1.0	44.0
1ew8	2.26	137.007	-3.3499999999999996	2.0	0.0	5.0	-3.0	8.0
3ao1	2.26	138.12199999999999	1.1209	0.0	1.0	3.0	0.0	10.0
4eh9	2.26	362.35100000000017	3.1266000000000016	1.0	0.0	3.0	0.0	26.0
4np2	2.26	228.3189999999999	0.8593200000000003	2.0	2.0	1.0	1.0	17.0
5v6u	2.26	271.317	2.4039	4.0	0.0	4.0	-1.0	19.0
1hge	2.27	322.28999999999996	-4.552399999999994	6.0	5.0	9.0	-1.0	22.0
1uto	2.27	122.19099999999999	0.4709999999999994	2.0	1.0	0.0	1.0	9.0
4ahu	2.27	160.15199999999996	0.5313999999999997	1.0	1.0	2.0	-1.0	12.0
4mfe	2.27	103.053	-2.7023	2.0	1.0	4.0	-1.0	7.0
1ps3	2.28	232.19199999999998	-4.271899999999996	1.0	5.0	6.0	0.0	16.0
2rjs	2.28	231.198	-0.6365999999999992	4.0	1.0	3.0	0.0	16.0
3fu0	2.28	201.19999999999996	2.4517000000000007	2.0	0.0	2.0	0.0	15.0
3ip8	2.28	170.10399999999998	0.1002999999999995	2.0	0.0	3.0	-2.0	11.0
2ay1	2.29	164.18399999999997	-0.04870000000000019	3.0	1.0	3.0	-1.0	12.0
4ddk	2.29	165.12399999999997	-0.22120000000000073	1.0	0.0	4.0	-1.0	12.0
4ehv	2.29	328.7990000000001	2.7612000000000014	1.0	0.0	3.0	0.0	23.0
5fnj	2.29	179.19499999999994	0.3776999999999996	4.0	0.0	3.0	-1.0	13.0
1jdj	2.3	172.55	1.1454	0.0	1.0	3.0	0.0	11.0
1n1g	2.3	233.45600000000002	1.7687999999999995	0.0	1.0	3.0	0.0	11.0
1o4g	2.3	236.163	0.7443999999999995	2.0	1.0	4.0	-2.0	16.0
1uxa	2.3	470.4040000000003	-7.382300000000001	8.0	9.0	14.0	-1.0	32.0
1w1p	2.3	154.169	-0.8928	0.0	1.0	2.0	0.0	11.0
2ay7	2.3	163.19599999999997	0.7591999999999997	4.0	0.0	2.0	-1.0	12.0
2hdu	2.3	184.19599999999997	0.06999999999999984	2.0	1.0	4.0	-1.0	12.0
2xix	2.3	99.09699999999998	-1.0309000000000004	0.0	3.0	4.0	0.0	7.0
2xlc	2.3	138.10299999999998	1.4490999999999998	4.0	0.0	3.0	0.0	8.0
3kgq	2.3	189.09899999999996	-5.252599999999998	5.0	1.0	7.0	-3.0	13.0
3mhw	2.3	150.20599999999996	1.8785	0.0	1.0	3.0	0.0	10.0
3pcg	2.3	151.141	-0.31540000000000057	2.0	1.0	3.0	-1.0	11.0
3rv4	2.3	424.17900000000014	-3.6419999999999977	6.0	3.0	15.0	-3.0	27.0
4b6e	2.3	133.15399999999997	1.1450999999999996	0.0	2.0	2.0	0.0	10.0
4e3d	2.3	153.11299999999997	-0.5387000000000006	1.0	2.0	4.0	-1.0	11.0
4g0y	2.3	345.2080000000001	-3.126999999999997	4.0	3.0	12.0	-2.0	23.0
4jsz	2.3	157.194	0.33399999999999985	1.0	1.0	2.0	0.0	10.0
4led	2.3	164.157	-2.1937999999999986	0.0	4.0	5.0	0.0	11.0
4wh7	2.3	137.11299999999997	1.4029800000000001	0.0	1.0	2.0	0.0	10.0
5enc	2.3	218.083	2.629500000000001	2.0	1.0	1.0	0.0	13.0
5eni	2.3	234.08199999999997	1.6018999999999999	3.0	2.0	2.0	0.0	14.0
5enj	2.3	232.10999999999999	2.971700000000001	2.0	0.0	1.0	0.0	14.0
5g42	2.3	194.62099999999998	2.2215	0.0	1.0	2.0	0.0	13.0
6gmq	2.3	173.21499999999997	1.9696	2.0	1.0	2.0	0.0	13.0
1m0o	2.31	378.2140000000002	-1.1002799999999988	7.0	1.0	10.0	-4.0	24.0
4y0a	2.31	175.16000000000003	-2.770999999999998	1.0	3.0	5.0	-1.0	12.0
5mz8	2.31	116.072	-2.733599999999999	3.0	0.0	4.0	-2.0	8.0
2qve	2.32	217.171	-0.9395999999999998	3.0	2.0	3.0	0.0	15.0
5aol	2.32	255.03699999999998	2.6323	0.0	2.0	2.0	0.0	13.0
1z6d	2.34	346.1920000000001	-3.415899999999997	4.0	3.0	11.0	-2.0	23.0
4iie	2.34	176.19200000000004	-3.502899999999996	0.0	5.0	4.0	1.0	12.0
5elf	2.34	837.7750000000005	-9.725600000000012	12.0	15.0	24.0	0.0	57.0
1qi0	2.35	342.29699999999997	-5.397199999999992	4.0	8.0	11.0	0.0	23.0
3gtc	2.35	226.28099999999998	0.11709999999999932	2.0	2.0	5.0	-1.0	15.0
4k3k	2.35	262.32899999999995	0.899999999999999	7.0	1.0	3.0	-1.0	19.0
4y3y	2.35	118.19999999999999	-0.36470000000000047	3.0	2.0	1.0	1.0	8.0
1o4j	2.36	227.156	0.6945999999999997	3.0	1.0	4.0	-2.0	15.0
3g2z	2.36	178.17499999999995	-0.12240000000000073	2.0	1.0	5.0	-1.0	13.0
5fsc	2.36	234.248	-1.356999999999998	5.0	3.0	6.0	0.0	16.0
4jck	2.37	358.365	-4.680599999999992	4.0	8.0	11.0	0.0	23.0
6rnt	2.37	345.2080000000001	-3.126999999999997	4.0	3.0	12.0	-2.0	23.0
3f6e	2.38	555.4460000000003	0.08754000000000217	11.0	2.0	13.0	-2.0	36.0
4aj2	2.38	179.59	1.1491999999999998	1.0	0.0	3.0	-1.0	12.0
1f73	2.39	310.279	-5.572099999999993	9.0	7.0	9.0	-1.0	21.0
1nwl	2.39	468.58100000000053	-0.2375999999999976	11.0	3.0	9.0	-1.0	31.0
4nyt	2.39	182.13599999999997	-1.4620999999999988	4.0	0.0	4.0	-1.0	11.0
4tya	2.39	189.11199999999997	1.0689000000000002	1.0	0.0	2.0	-1.0	13.0
2wi1	2.4	183.21099999999996	0.39241999999999977	4.0	1.0	5.0	0.0	13.0
3dxg	2.4	322.16600000000005	-3.9988999999999963	4.0	3.0	10.0	-2.0	21.0
3l7b	2.4	275.236	-2.224899999999998	2.0	4.0	8.0	0.0	19.0
3pcb	2.4	137.11399999999998	-0.2443000000000004	1.0	1.0	3.0	-1.0	10.0
3t2t	2.4	354.3550000000001	0.17662000000000022	5.0	2.0	8.0	0.0	25.0
4u5l	2.4	314.43300000000005	0.07810000000000161	9.0	3.0	2.0	2.0	23.0
4y38	2.4	180.22699999999998	0.012599999999999945	3.0	1.0	2.0	1.0	13.0
4zsm	2.4	170.281	1.6067	0.0	1.0	3.0	0.0	11.0
1o4r	2.41	248.067	-1.4873999999999994	3.0	0.0	6.0	-4.0	15.0
2wsx	2.41	145.202	-0.777299999999999	4.0	0.0	2.0	0.0	10.0
4u5s	2.41	601.7490000000005	-2.47449999999999	20.0	7.0	7.0	2.0	43.0
4u5o	2.42	314.43300000000005	0.07810000000000161	9.0	3.0	2.0	2.0	23.0
5os3	2.43	166.24399999999994	1.3881999999999992	3.0	1.0	1.0	1.0	12.0
1o4h	2.44	248.13400000000001	0.3139799999999998	2.0	0.0	6.0	-2.0	17.0
1oba	2.44	104.173	-0.31510000000000016	2.0	1.0	1.0	1.0	7.0
1t4s	2.44	117.14799999999998	-1.9971999999999988	2.0	1.0	2.0	0.0	8.0
2i2b	2.44	237.21900000000005	-1.3409	1.0	3.0	8.0	0.0	17.0
2xiy	2.44	148.165	1.0552000000000001	1.0	2.0	2.0	0.0	11.0
3ked	2.44	119.14399999999999	-4.021199999999999	3.0	2.0	2.0	1.0	8.0
3l7c	2.44	294.21	-2.374699999999998	2.0	4.0	7.0	0.0	20.0
3mjl	2.44	83.094	-0.00810000000000033	0.0	2.0	2.0	0.0	6.0
4d62	2.44	308.263	-5.206499999999994	5.0	6.0	9.0	-1.0	21.0
1gbq	2.46	1214.509999999998	-10.105399999999957	29.0	15.0	11.0	3.0	86.0
1o4o	2.46	172.076	-0.10590000000000088	2.0	0.0	4.0	-2.0	11.0
2aez	2.46	504.43800000000033	-7.569800000000004	9.0	11.0	16.0	0.0	34.0
3l79	2.46	276.21999999999997	-2.513799999999998	2.0	4.0	7.0	0.0	19.0
4ah9	2.46	261.37399999999997	0.9785999999999999	2.0	1.0	4.0	1.0	18.0
4ddm	2.46	179.17999999999998	0.05479999999999985	1.0	0.0	5.0	-1.0	12.0
4eh6	2.46	198.22499999999997	2.3339000000000008	2.0	1.0	2.0	0.0	15.0
4x8u	2.46	194.59699999999998	1.1847999999999999	1.0	1.0	2.0	-1.0	13.0
5aqh	2.46	188.19399999999996	0.028000000000000247	0.0	2.0	5.0	0.0	14.0
1tok	2.47	114.05599999999998	-2.9575999999999993	2.0	0.0	4.0	-2.0	8.0
1utl	2.47	136.218	0.8610999999999993	3.0	1.0	0.0	1.0	10.0
3rik	2.47	208.23399999999998	-4.6791999999999945	2.0	6.0	5.0	1.0	14.0
4gne	2.47	705.8150000000002	-10.635800000000021	24.0	13.0	10.0	2.0	49.0
4y4j	2.47	170.188	-0.6269	2.0	4.0	3.0	1.0	12.0
5dv4	2.47	620.6980000000003	-13.196100000000007	9.0	13.0	13.0	6.0	42.0
5jal	2.47	191.20499999999993	1.8377	1.0	0.0	1.0	0.0	14.0
6fhq	2.47	158.20599999999996	-0.6764999999999999	2.0	2.0	3.0	1.0	10.0
1gyx	2.48	121.11499999999998	0.05009999999999992	1.0	0.0	2.0	-1.0	9.0
4u5n	2.48	622.7910000000004	-2.4469999999999983	19.0	8.0	6.0	3.0	45.0
4ze6	2.48	145.202	-1.0713	6.0	1.0	2.0	0.0	10.0
5mn1	2.48	94.11699999999999	0.6637999999999998	0.0	1.0	2.0	0.0	7.0
5mnb	2.48	94.11699999999999	0.6637999999999998	0.0	1.0	2.0	0.0	7.0
