target_chembl_id	uniprot_id	target_name_from_uniprot	target_name_from_pharos	target_family_from_pharos
CHEMBL1163101	O75460	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	Serine/threonine-protein kinase/endoribonuclease IRE1	Kinase
CHEMBL1163125	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic
CHEMBL1169593	P26918	Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase II) (Carbapenem-hydrolyzing metallo-beta-lactamase) (Metallo-beta-lactamase type II)	None	Unclassified
CHEMBL1169597	P00349	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	None	Unclassified
CHEMBL1169598	P03433	Polymerase acidic protein (EC 3.1.-.-) (RNA-directed RNA polymerase subunit P2)	None	Unclassified
CHEMBL1250374	Q9KPI8	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-deoxyadenosine nucleosidase) (DOA nucleosidase) (dAdo nucleosidase) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)	None	Unclassified
CHEMBL1250378	Q15393	Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit) (SF3b130) (STAF130) (Spliceosome-associated protein 130) (SAP 130)	Splicing factor 3B subunit 3	Other
CHEMBL1250408	O88703	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 (Brain cyclic nucleotide-gated channel 2) (BCNG-2) (Hyperpolarization-activated cation channel 1) (HAC-1)	None	Unclassified
CHEMBL1255126	O15151	Protein Mdm4 (Double minute 4 protein) (Mdm2-like p53-binding protein) (Protein Mdmx) (p53-binding protein Mdm4)	Protein Mdm4	Other
CHEMBL1275212	P50053	Ketohexokinase (EC 2.7.1.3) (Hepatic fructokinase)	Ketohexokinase	Kinase
CHEMBL1275221	Q96LA8	Protein arginine N-methyltransferase 6 (EC 2.1.1.319) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 6) (Histone-arginine N-methyltransferase PRMT6)	Protein arginine N-methyltransferase 6	Epigenetic
CHEMBL1275223	P11142	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Lipopolysaccharide-associated protein 1) (LAP-1) (LPS-associated protein 1)	Heat shock cognate 71 kDa protein	Other
CHEMBL1287604	Q6XEC0	Beta-lactamase (EC 3.5.2.6)	None	Unclassified
CHEMBL1287618	P56109	Fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)	None	Unclassified
CHEMBL1287620	P9WQA3	Fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)	None	Unclassified
CHEMBL1287622	Q9Y468	Lethal(3)malignant brain tumor-like protein 1 (H-l(3)mbt) (H-l(3)mbt protein) (L(3)mbt-like) (L(3)mbt protein homolog) (L3MBTL1)	Lethal(3)malignant brain tumor-like protein 1	TF-Epigenetic
CHEMBL1293195	P29029	Endochitinase (EC 3.2.1.14) (Soluble cell wall protein 2)	None	Unclassified
CHEMBL1293197	Q9BZP6	Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Lung-specific protein TSA1902)	Acidic mammalian chitinase	Enzyme
CHEMBL1293226	B2RXH2	Lysine-specific demethylase 4E (EC 1.14.11.66) (KDM4D-like protein) (Lysine-specific demethylase 4D-like) ([histone H3]-trimethyl-L-lysine(9) demethylase 4E)	Lysine-specific demethylase 4E	Epigenetic
CHEMBL1293229	P22736	Nuclear receptor subfamily 4 group A member 1 (Early response protein NAK1) (Nuclear hormone receptor NUR/77) (Nur77) (Orphan nuclear receptor HMR) (Orphan nuclear receptor TR3) (ST-59) (Testicular receptor 3)	Nuclear receptor subfamily 4 group A member 1	Nuclear Receptor
CHEMBL1293244	Q79MP6	Beta-lactamase (EC 3.5.2.6)	None	Unclassified
CHEMBL1293287	P14735	Insulin-degrading enzyme (EC 3.4.24.56) (Abeta-degrading protease) (Insulin protease) (Insulinase) (Insulysin)	Insulin-degrading enzyme	Enzyme
CHEMBL1293289	P25440	Bromodomain-containing protein 2 (O27.1.1) (Really interesting new gene 3 protein)	Bromodomain-containing protein 2	Epigenetic
CHEMBL1293295	P54578	Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)	Ubiquitin carboxyl-terminal hydrolase 14	Enzyme
CHEMBL1293313	Q8IL11	M17 leucyl aminopeptidase (EC 3.4.11.1)	None	Unclassified
CHEMBL1615381	O00255	Menin	Menin	Other
CHEMBL1667695	C7C422	Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase type II) (Metallo-beta-lactamase NDM-1) (Metallo-beta-lactamase type II) (New Delhi metallo-beta-lactamase-1) (NDM-1)	None	Unclassified
CHEMBL1671608	P56470	Galectin-4 (Gal-4) (Antigen NY-CO-27) (L-36 lactose-binding protein) (L36LBP) (Lactose-binding lectin 4)	Galectin-4	Other
CHEMBL1681620	P0A017	Dihydrofolate reductase (DHFR) (EC 1.5.1.3)	None	Unclassified
CHEMBL1681631	O75608	Acyl-protein thioesterase 1 (APT-1) (hAPT1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I)	Acyl-protein thioesterase 1	Enzyme
CHEMBL1741186	P51449	Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuclear receptor subfamily 1 group F member 3) (RAR-related orphan receptor C) (Retinoid-related orphan receptor-gamma)	Nuclear receptor ROR-gamma	Nuclear Receptor
CHEMBL1741220	Q9UIF8	Bromodomain adjacent to zinc finger domain protein 2B (hWALp4)	Bromodomain adjacent to zinc finger domain protein 2B	TF-Epigenetic
CHEMBL1744522	Q99814	Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2)	Endothelial PAS domain-containing protein 1	Other
CHEMBL1744525	P43490	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1) (Pre-B cell-enhancing factor) (Visfatin)	Nicotinamide phosphoribosyltransferase	Enzyme
CHEMBL1764940	P27694	Replication protein A 70 kDa DNA-binding subunit (RP-A p70) (Replication factor A protein 1) (RF-A protein 1) (Single-stranded DNA-binding protein) [Cleaved into: Replication protein A 70 kDa DNA-binding subunit, N-terminally processed]	Replication protein A 70 kDa DNA-binding subunit	Other
CHEMBL1764946	O95931	Chromobox protein homolog 7	Chromobox protein homolog 7	Epigenetic
CHEMBL1770044	P9WKD7	Ribose-5-phosphate isomerase B (EC 5.3.1.6) (Phosphoriboisomerase B)	None	Unclassified
CHEMBL1770045	Q9N1E2	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	None	Unclassified
CHEMBL1772929	P9WMC1	HTH-type transcriptional regulator EthR	None	Unclassified
CHEMBL1781862	Q9BJF5	Calmodulin-domain protein kinase 1	None	Unclassified
CHEMBL1781865	P11021	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	Endoplasmic reticulum chaperone BiP	Other
CHEMBL1782	P14324	Farnesyl pyrophosphate synthase (FPP synthase) (FPS) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase)	Farnesyl pyrophosphate synthase	Enzyme
CHEMBL1795116	O14744	Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]	Protein arginine N-methyltransferase 5	Epigenetic
CHEMBL1795117	Q8TEK3	Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.360) (DOT1-like protein) (Histone H3-K79 methyltransferase) (H3-K79-HMTase) (Lysine N-methyltransferase 4)	Histone-lysine N-methyltransferase, H3 lysine-79 specific	Epigenetic
CHEMBL1795155	P95276	Epoxide hydrolase B (EHB) (EC 3.3.2.10)	None	Unclassified
CHEMBL1795176	Q9NQR1	N-lysine methyltransferase KMT5A (EC 2.1.1.-) (H4-K20-HMTase KMT5A) (Histone-lysine N-methyltransferase KMT5A) (EC 2.1.1.361) (Lysine N-methyltransferase 5A) (Lysine-specific methylase 5A) (PR/SET domain-containing protein 07) (PR-Set7) (PR/SET07) (SET domain-containing protein 8)	N-lysine methyltransferase KMT5A	Epigenetic
CHEMBL1795184	Q86U86	Protein polybromo-1 (hPB1) (BRG1-associated factor 180) (BAF180) (Polybromo-1D)	Protein polybromo-1	TF-Epigenetic
CHEMBL1795185	Q58F21	Bromodomain testis-specific protein (Cancer/testis antigen 9) (CT9) (RING3-like protein)	Bromodomain testis-specific protein	Epigenetic
CHEMBL1795187	Q48935	Acetylpolyamine amidohydrolase (APAH) (EC 3.5.1.-) (Acetylcadaverine deacetylase) (Acetylpolyamine deacetylase) (Acetylputrescine deacetylase) (EC 3.5.1.62) (Acetylspermidine deacetylase) (EC 3.5.1.48)	None	Unclassified
CHEMBL1800	P34998	Corticotropin-releasing factor receptor 1 (CRF-R-1) (CRF-R1) (CRFR-1) (Corticotropin-releasing hormone receptor 1) (CRH-R-1) (CRH-R1)	Corticotropin-releasing factor receptor 1	GPCR
CHEMBL1801	P00747	Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]	Plasminogen	Enzyme
CHEMBL1803	P20701	Integrin alpha-L (CD11 antigen-like family member A) (Leukocyte adhesion glycoprotein LFA-1 alpha chain) (LFA-1A) (Leukocyte function-associated molecule 1 alpha chain) (CD antigen CD11a)	Integrin alpha-L	Other
CHEMBL1808	P12821	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]	Angiotensin-converting enzyme	Enzyme
CHEMBL1824	P04626	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	Receptor tyrosine-protein kinase erbB-2	Kinase
CHEMBL1825	P01375	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	Tumor necrosis factor	Other
CHEMBL1826	P0AES6	DNA gyrase subunit B (EC 5.6.2.2) (Type IIA topoisomerase subunit GyrB)	None	Unclassified
CHEMBL1827	O76074	cGMP-specific 3',5'-cyclic phosphodiesterase (EC 3.1.4.35) (cGMP-binding cGMP-specific phosphodiesterase) (CGB-PDE)	cGMP-specific 3',5'-cyclic phosphodiesterase	Enzyme
CHEMBL1830	P23921	Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit)	Ribonucleoside-diphosphate reductase large subunit	Enzyme
CHEMBL1833	P41595	5-hydroxytryptamine receptor 2B (5-HT-2B) (5-HT2B) (Serotonin receptor 2B)	5-hydroxytryptamine receptor 2B	GPCR
CHEMBL1841	P06241	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	Tyrosine-protein kinase Fyn	Kinase
CHEMBL1844	P07333	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	Macrophage colony-stimulating factor 1 receptor	Kinase
CHEMBL1860	P10827	Thyroid hormone receptor alpha (Nuclear receptor subfamily 1 group A member 1) (V-erbA-related protein 7) (EAR-7) (c-erbA-1) (c-erbA-alpha)	Thyroid hormone receptor alpha	Nuclear Receptor
CHEMBL1862	P00519	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	Tyrosine-protein kinase ABL1	Kinase
CHEMBL1865	Q9UBN7	Histone deacetylase 6 (HD6) (EC 3.5.1.98) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-)	Histone deacetylase 6	Epigenetic
CHEMBL1868	P17948	Vascular endothelial growth factor receptor 1 (VEGFR-1) (EC 2.7.10.1) (Fms-like tyrosine kinase 1) (FLT-1) (Tyrosine-protein kinase FRT) (Tyrosine-protein kinase receptor FLT) (FLT) (Vascular permeability factor receptor)	Vascular endothelial growth factor receptor 1	Kinase
CHEMBL1871	P10275	Androgen receptor (Dihydrotestosterone receptor) (Nuclear receptor subfamily 3 group C member 4)	Androgen receptor	Nuclear Receptor
CHEMBL1892	Q04609	Glutamate carboxypeptidase 2 (EC 3.4.17.21) (Cell growth-inhibiting gene 27 protein) (Folate hydrolase 1) (Folylpoly-gamma-glutamate carboxypeptidase) (FGCP) (Glutamate carboxypeptidase II) (GCPII) (Membrane glutamate carboxypeptidase) (mGCP) (N-acetylated-alpha-linked acidic dipeptidase I) (NAALADase I) (Prostate-specific membrane antigen) (PSM) (PSMA) (Pteroylpoly-gamma-glutamate carboxypeptidase)	Glutamate carboxypeptidase 2	Enzyme
CHEMBL1902	P62942	Peptidyl-prolyl cis-trans isomerase FKBP1A (PPIase FKBP1A) (EC 5.2.1.8) (12 kDa FK506-binding protein) (12 kDa FKBP) (FKBP-12) (Calstabin-1) (FK506-binding protein 1A) (FKBP-1A) (Immunophilin FKBP12) (Rotamase)	Peptidyl-prolyl cis-trans isomerase FKBP1A	Enzyme
CHEMBL1904	Q13224	Glutamate receptor ionotropic, NMDA 2B (GluN2B) (Glutamate [NMDA] receptor subunit epsilon-2) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B) (N-methyl-D-aspartate receptor subunit 3) (NR3) (hNR3)	Glutamate receptor ionotropic, NMDA 2B	Ion Channel
CHEMBL1905	P05556	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	Integrin beta-1	Other
CHEMBL1907598	P05106	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	Integrin beta-3	Other
CHEMBL1907608	Q8VHN2	Glutamate receptor ionotropic, NMDA 3B (GluN3B) (N-methyl-D-aspartate receptor subtype 3B) (NMDAR3B) (NR3B)	None	Unclassified
CHEMBL1907	P15144	Aminopeptidase N (AP-N) (hAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (Myeloid plasma membrane glycoprotein CD13) (gp150) (CD antigen CD13)	Aminopeptidase N	Enzyme
CHEMBL1908385	P9WI81	Serine/threonine-protein kinase PknB (EC 2.7.11.1)	None	Unclassified
CHEMBL1908389	Q12852	Mitogen-activated protein kinase kinase kinase 12 (EC 2.7.11.25) (Dual leucine zipper bearing kinase) (DLK) (Leucine-zipper protein kinase) (ZPK) (MAPK-upstream kinase) (MUK) (Mixed lineage kinase)	Mitogen-activated protein kinase kinase kinase 12	Kinase
CHEMBL1909482	P31947	14-3-3 protein sigma (Epithelial cell marker protein 1) (Stratifin)	14-3-3 protein sigma	Other
CHEMBL1914	P06276	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	Cholinesterase	Enzyme
CHEMBL1918	P39086	Glutamate receptor ionotropic, kainate 1 (GluK1) (Excitatory amino acid receptor 3) (EAA3) (Glutamate receptor 5) (GluR-5) (GluR5)	Glutamate receptor ionotropic, kainate 1	Ion Channel
CHEMBL1921666	P0A0K8	DNA gyrase subunit B (EC 5.6.2.2)	None	Unclassified
CHEMBL1926492	Q5TCY1	Tau-tubulin kinase 1 (EC 2.7.11.1) (Brain-derived tau kinase)	Tau-tubulin kinase 1	Kinase
CHEMBL1926	P16184	Dihydrofolate reductase (EC 1.5.1.3)	None	Unclassified
CHEMBL1932891	O95372	Acyl-protein thioesterase 2 (APT-2) (EC 3.1.2.-) (Lysophospholipase II) (LPL-II) (LysoPLA II)	Acyl-protein thioesterase 2	Enzyme
CHEMBL1935	P05091	Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)	Aldehyde dehydrogenase, mitochondrial	Enzyme
CHEMBL1936	P10721	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)	Mast/stem cell growth factor receptor Kit	Kinase
CHEMBL1937	Q92769	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	Histone deacetylase 2	Epigenetic
CHEMBL1938211	O15054	Lysine-specific demethylase 6B (EC 1.14.11.68) (JmjC domain-containing protein 3) (Jumonji domain-containing protein 3) (Lysine demethylase 6B) ([histone H3]-trimethyl-L-lysine(27) demethylase 6B)	Lysine-specific demethylase 6B	Epigenetic
CHEMBL1938217	Q8NB16	Mixed lineage kinase domain-like protein (hMLKL)	Mixed lineage kinase domain-like protein	Kinase
CHEMBL1944497	Q8WSF8	Soluble acetylcholine receptor	None	Unclassified
CHEMBL1944	P08473	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)	Neprilysin	Enzyme
CHEMBL1947	P10828	Thyroid hormone receptor beta (Nuclear receptor subfamily 1 group A member 2) (c-erbA-2) (c-erbA-beta)	Thyroid hormone receptor beta	Nuclear Receptor
CHEMBL1949488	Q96C86	m7GpppX diphosphatase (EC 3.6.1.59) (DCS-1) (Decapping scavenger enzyme) (Hint-related 7meGMP-directed hydrolase) (Histidine triad nucleotide-binding protein 5) (Histidine triad protein member 5) (HINT-5) (Scavenger mRNA-decapping enzyme DcpS)	m7GpppX diphosphatase	Enzyme
CHEMBL1949	P62937	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	Peptidyl-prolyl cis-trans isomerase A	Enzyme
CHEMBL1952	P04818	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Thymidylate synthase	Enzyme
CHEMBL1957	P08069	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	Insulin-like growth factor 1 receptor	Kinase
CHEMBL1962	P14867	Gamma-aminobutyric acid receptor subunit alpha-1 (GABA(A) receptor subunit alpha-1)	Gamma-aminobutyric acid receptor subunit alpha-1	Ion Channel
CHEMBL1977	P11473	Vitamin D3 receptor (VDR) (1,25-dihydroxyvitamin D3 receptor) (Nuclear receptor subfamily 1 group I member 1)	Vitamin D3 receptor	Nuclear Receptor
CHEMBL1981	P06213	Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]	Insulin receptor	Kinase
CHEMBL1985	P47871	Glucagon receptor (GL-R)	Glucagon receptor	GPCR
CHEMBL1994	P08235	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	Mineralocorticoid receptor	Nuclear Receptor
CHEMBL2000	P03952	Plasma kallikrein (EC 3.4.21.34) (Fletcher factor) (Kininogenin) (Plasma prekallikrein) (PKK) [Cleaved into: Plasma kallikrein heavy chain; Plasma kallikrein light chain]	Plasma kallikrein	Enzyme
CHEMBL2001	Q9H244	P2Y purinoceptor 12 (P2Y12) (ADP-glucose receptor) (ADPG-R) (P2T(AC)) (P2Y(AC)) (P2Y(cyc)) (P2Y12 platelet ADP receptor) (P2Y(ADP)) (SP1999)	P2Y purinoceptor 12	GPCR
CHEMBL2003	P13631	Retinoic acid receptor gamma (RAR-gamma) (Nuclear receptor subfamily 1 group B member 3)	Retinoic acid receptor gamma	Nuclear Receptor
CHEMBL2007625	O75874	Isocitrate dehydrogenase [NADP] cytoplasmic (IDH) (EC 1.1.1.42) (Cytosolic NADP-isocitrate dehydrogenase) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	Isocitrate dehydrogenase [NADP] cytoplasmic	Enzyme
CHEMBL2007628	P54829	Tyrosine-protein phosphatase non-receptor type 5 (EC 3.1.3.48) (Neural-specific protein-tyrosine phosphatase) (Striatum-enriched protein-tyrosine phosphatase) (STEP)	Tyrosine-protein phosphatase non-receptor type 5	Enzyme
CHEMBL2008	P10826	Retinoic acid receptor beta (RAR-beta) (HBV-activated protein) (Nuclear receptor subfamily 1 group B member 2) (RAR-epsilon)	Retinoic acid receptor beta	Nuclear Receptor
CHEMBL2010627	O00625	Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)	Pirin	Other
CHEMBL2010635	P68826	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	None	Unclassified
CHEMBL2010636	Q8WQX9	Phosphodiesterase (EC 3.1.4.-)	None	Unclassified
CHEMBL2014	P41146	Nociceptin receptor (Kappa-type 3 opioid receptor) (KOR-3) (Orphanin FQ receptor)	Nociceptin receptor	GPCR
CHEMBL2016430	Q8TBC4	NEDD8-activating enzyme E1 catalytic subunit (EC 6.2.1.64) (NEDD8-activating enzyme E1C) (Ubiquitin-activating enzyme E1C) (Ubiquitin-like modifier-activating enzyme 3) (Ubiquitin-activating enzyme 3)	NEDD8-activating enzyme E1 catalytic subunit	Other
CHEMBL2016	P00740	Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]	Coagulation factor IX	Enzyme
