PLANet_hold_out_2019_cpnd_name	PLANet_hold_out_2019_cpnd_affi	PLANet_hold_out_2019_cpnd_smiles	PDBbind_v18_subset_cpnd_name	PDBbind_v18_subset_cpnd_affi	PDBbind_v18_subset_cpnd_smiles	similarity
CHEMBL2085_6b1k_CHEMBL3798149	6.259637310505756	COCCOc1ccc2nc(-c3cn(-c4ccc(O)cc4)nn3)ccc2c1	4wrb	6.19	COCCOc1ccc2nc(-c3cn(-c4ccc(O)cc4)nn3)ccc2c1	1.0
CHEMBL2146302_5wj6_CHEMBL3771098	7.154901959985742	O=C(Cc1ccccc1)Nc1nnc(N[C@H]2CCN(c3nnc(NC(=O)Cc4ccccc4)s3)C2)s1	5fi6	7.52	O=C(Cc1ccccc1)Nc1nnc(N[C@H]2CCN(c3nnc(NC(=O)Cc4ccccc4)s3)C2)s1	1.0
CHEMBL2424504_6dq4_CHEMBL3188597	4.920818753952375	O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1	4ask	7.22	O=C(O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1	1.0
CHEMBL2835_6bbu_CHEMBL4100431	7.045757490560675	CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(C)(=O)=O)C1	5khx	7.85	CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(C)(=O)=O)C1	1.0
CHEMBL301_6gue_CHEMBL477786	7.769551078621726	Cc1ncc(-c2ccnc(Nc3ccc(N4CCN(C(=O)CO)CC4)cc3)n2)n1C(C)C	2vv9	7.77	Cc1ncc(-c2ccnc(Nc3ccc(N4CCN(C(=O)CO)CC4)cc3)n2)n1C(C)C	1.0
CHEMBL301_6gue_CHEMBL478409	9.0	COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1	2w05	9.0	COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc(C)n3C(C)C)n2)cc1	1.0
CHEMBL3130_6g6w_CHEMBL3901527	8.327902142064282	C[C@H](Nc1ncnc(N)c1C#N)c1nn2cccc2c(=O)n1-c1ccccc1	5m6u	8.37	C[C@H](Nc1ncnc(N)c1C#N)c1nn2cccc2c(=O)n1-c1ccccc1	1.0
CHEMBL3231_5hvu_CHEMBL3581121	7.040460953811962	COc1cccc(CC(=O)Nc2nc(-c3ccncc3)cs2)c1	4yve	7.0	COc1cccc(CC(=O)Nc2nc(-c3ccncc3)cs2)c1	1.0
CHEMBL3242_5msb_CHEMBL2333417	6.6020599913279625	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F	4hu1	7.54	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F	1.0
CHEMBL3242_5msb_CHEMBL2333417	6.6020599913279625	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F	4pzh	8.0	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(F)c1F	1.0
CHEMBL3242_5msb_CHEMBL2333418	7.721246399047171	CCCSc1c(F)c(F)c(S(N)(=O)=O)c(F)c1F	4ww6	10.21	CCCSc1c(F)c(F)c(S(N)(=O)=O)c(F)c1F	1.0
CHEMBL3242_5msb_CHEMBL2333418	7.721246399047171	CCCSc1c(F)c(F)c(S(N)(=O)=O)c(F)c1F	4wr7	11.7	CCCSc1c(F)c(F)c(S(N)(=O)=O)c(F)c1F	1.0
CHEMBL3594_6fe0_CHEMBL3359179	7.823908740944319	NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1NC1CCCCCCC1	4pyx	6.14	NS(=O)(=O)c1c(F)c(F)c(SCCO)c(F)c1NC1CCCCCCC1	1.0
CHEMBL3594_6g98_CHEMBL3359181	9.5	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NC2CCCCCCC2)c1F	4pyy	7.23	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NC2CCCCCCC2)c1F	1.0
CHEMBL3594_6g98_CHEMBL3359181	9.5	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NC2CCCCCCC2)c1F	5e2m	7.23	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NC2CCCCCCC2)c1F	1.0
CHEMBL3594_6g98_CHEMBL3359181	9.5	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NC2CCCCCCC2)c1F	4q0l	7.7	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NC2CCCCCCC2)c1F	1.0
CHEMBL3594_6g98_CHEMBL3359181	9.5	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NC2CCCCCCC2)c1F	4q09	8.17	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NC2CCCCCCC2)c1F	1.0
CHEMBL3594_6g98_CHEMBL3359181	9.5	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NC2CCCCCCC2)c1F	5e2n	9.54	NS(=O)(=O)c1c(F)c(F)c(S(=O)(=O)CCO)c(NC2CCCCCCC2)c1F	1.0
CHEMBL3885801_6f92_CHEMBL1213397	3.576831443935097	OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)c2nccn21	2vmf	5.85	OC[C@@H]1[C@@H](O)[C@H](O)[C@H](O)c2nccn21	1.0
CHEMBL4225_6fyl_CHEMBL1230165	8.397940008672037	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	5o11	6.67	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
CHEMBL4225_6fyl_CHEMBL1230165	8.397940008672037	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	3nga	8.0	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
CHEMBL4225_6fyl_CHEMBL1230165	8.397940008672037	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	3pe1	9.65	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
CHEMBL4226_6fyp_CHEMBL1230165	8.0	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	5o11	6.67	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
CHEMBL4226_6fyp_CHEMBL1230165	8.0	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	3nga	8.0	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
CHEMBL4226_6fyp_CHEMBL1230165	8.0	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	3pe1	9.65	O=C(O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12	1.0
CHEMBL4575_5y86_CHEMBL269538	6.096910013008057	COc1ccc2c(c1)[nH]c1c(C)nccc12	3anr	6.46	COc1ccc2c(c1)[nH]c1c(C)nccc12	1.0
CHEMBL4601_6cz3_CHEMBL1836848	6.906578314837764	O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1CCOCC1	5da3	7.1	O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)cc1Cl)N1CCOCC1	1.0
CHEMBL5284_6cmj_CHEMBL550795	6.699991797446188	O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1	3hdm	7.4	O=C(O)c1ccc(-c2c[nH]c3ncc(-c4ccccc4)cc23)cc1	1.0
