pdbid	crylig_smiles	crylig_heavy_atom_number
4mro	Nc1ccc(S(=O)(=O)N2CCN(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)CC2)cn1	32
4ohk	CC#C[C@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc([C@](O)(CCCC)C(F)(F)F)cc1	35
5vfd	CC1=C[C@@H](C(N)=O)N2C[C@@H]1N(OS(=O)(=O)[O-])C2=O	18
4uwh	O=c1cc(N2CCOCC2)[nH]c2[n+]1CC[C@@H](C(F)(F)F)N2C[C@H](O)c1ccccc1	30
4ph4	Nc1ncc(-c2ccnc(Nc3ccncc3)n2)c(CC2CC2)n1	24
4uwf	O=c1cc(N2CCOCC2)[nH]c2[n+]1CC[C@@H](C(F)(F)F)N2c1cc(F)cc(F)c1	29
3djv	N=c1ccn([C@H]2O[C@H](CO)[C@@H](O[PH](O)(O)O)[C@@H]2O)c(=O)[nH]1	21
3djq	O=c1ccn([C@@H]2O[C@H](CO[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	25
3djo	O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O[PH](O)(O)O)c(=O)[nH]1	21
4en4	COCc1c(CO)cnc(C)c1O	13
1wm1	CC(C)(C)c1nnc(C(=O)[C@@H]2CCC[NH2+]2)o1	16
4es0	C[C@H](NC(=O)[C@H](CS)NC(=O)C[NH3+])C(=O)N[C@@H](CCCNC(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)O	46
3uvo	C[C@H](NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(N)N)NC(=O)[C@H](C)NC(=O)[C@@H]([NH3+])CS)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)[C@@H](C)O	55
3psl	CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)N)NC(=O)[C@H](C)NC(C)=O)[C@@H](C)O)C(=O)O	33
2h9n	CC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)N)NC(=O)[C@H](C)[NH3+])[C@@H](C)O)C(=O)N[C@@H](CCC(N)=O)C(=O)O	39
3emh	CC(C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(N)N)NC(=O)[C@H](C)[NH3+])C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O	48
5vfc	CC[C@@H]1NC(=O)[C@H](CCCN[C@H](N)NC)NC(=O)[C@](C)(NC(=O)C(C)C)CCNC(=O)[C@@H](c2ccccc2)NC1=O	41
4gm8	CCC(CC)(NC(=O)C(C)C)C(=O)N[C@@H](CCCNC(N)N)C(=O)NC1(C(=O)NC(c2ccc(F)cc2)c2ccc(F)cc2)CCCC1	48
6dar	COc1cccc(C(=O)N(Cc2cccc(-c3cn4c(n3)CCC4)c2)CC2CC2)c1	30
6das	COc1cc(C(=O)N[C@@H]2CCc3ccc(-c4cn5c(n4)CCC5)cc32)ccc1C	29
3mlb	O=C(CCC(=O)Nc1ccccc1Cl)N/N=C\c1ccc(/C=N/NC(=O)CCC(=O)Nc2ccccc2Cl)cc1	40
4nh9	Cc1cn(-c2cc(F)c(C(N)=O)c(N[C@H]3CCOC3)c2)c2c1C(=O)CC(C)(C)C2	29
4u6r	Cc1cc(NS(=O)(=O)c2ccccc2Cl)c2ccccc2c1Oc1ncccc1-c1ccnc(N[C@H]2CC[C@H]([NH3+])CC2)n1	43
4yzc	C[NH2+][C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)[C@@H](O)[NH2+]C4	35
4z7h	COc1cc(-c2cnc3ccc(NC(C)C)nn23)ccc1C(N)=O	24
4hbv	CN1Cc2cc(Br)ccc2NC1=O	13
3p5o	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	30
5kj0	CC[C@@H]1C(=O)N(C)c2cnc(N(C)c3ccc(C(=O)N[C@H]4CC[N@H+](C)CC4)cc3OC)nc2N1C1CCCC1	39
4o76	Cc1cnc(Nc2ccc(N3CC[NH+](C)CC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1	36
5h21	COc1cc(C(=O)NCCC2=CCCS2)cc(OC)c1OC	22
5d0c	CCN1C(=O)c2cccc3c(S(=O)(=O)NCC4CCN(C(C)=O)CC4)ccc1c23	29
6afr	Oc1ccc(Cn2cnc(F)c2)c2cccnc12	18
4cfl	O=c1cc(N2CC[NH2+]CC2)oc2c(-c3ccccc3)cccc12	23
4o7b	Cc1cccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CC[NH2+]CC3)n2)c1C	33
5y1y	O=[N+]([O-])c1ccc(O)c2ncccc12	14
5cp5	CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccc(F)cc4)ccc1c23	26
4uyd	Cn1c(=O)n(C)c2cc(C(N)=O)ccc21	15
4pci	CN1C(=O)C[C@@H](c2ccccc2)Nc2ccccc21	19
6cj1	CC[C@@H](C)N1c2ccccc2C(=O)N(C)c2cnc(Nc3ccc(C(=O)N4CCC([N@H+]5CC[N@H+](C)CC5)CC4)cc3OC)nc21	45
5eis	CCn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccc(Cl)cc1	21
2yem	Cc1nnc2n1-c1ccccc1C(c1ccccc1)=N[C@H]2NC(=O)OCc1ccccc1	32
4j0s	Cc1noc(C)c1-c1cc(O)cc([C@@H](O)c2ccccc2)c1	22
4o72	O=c1cc(N2CCOCC2)oc2c(-c3cccc4c3sc3ccccc34)cccc12	30
4hbx	CN1Cc2cc(S(=O)(=O)N3CCCC3)ccc2NC1=O	20
5ueu	COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21	28
3u5l	Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NN2C	23
4ogj	Cc1cnc(Nc2ccc(OCC[NH+]3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1	37
4bw1	Cc1noc(C)c1-c1ccc2c(Nc3ccccc3C(C)(C)C)c(C(=O)O)cnc2c1	31
4bw2	Cc1noc(C)c1-c1ccc2c(Nc3ccccc3C(C)(C)C)c(C(=O)O)cnc2n1	31
4bw3	COc1nc2c(Nc3ccccc3C(C)(C)C)c(C(=O)O)cnc2cc1-c1c(C)noc1C	33
4bw4	COc1nc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n(-c3ccccc3OC(F)(F)F)c12	34
3zyu	COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12	31
4o70	CCc1cnn2c(NCC3=CC=CN(O)C3)cc(N3CCCC[C@H]3CCO)nc12	29
4cl9	CC(=O)N1c2ccc(-c3ccc(NC(=O)CCCCCCC(=O)NO)cc3)cc2[C@H](NC(=O)OC(C)C)C[C@@H]1C	40
4e96	COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2	24
4hby	CN1Cc2cc(S(=O)(=O)Nc3ccccc3)ccc2NC1=O	22
4j0r	Cc1noc(C)c1-c1cc(O)cc([C@H](O)c2ccccc2)c1	22
5khm	COc1nnc2ccc(N3CCC(c4ccc(OCC[N@H+]5CCN(C)C(=O)[C@H]5C)cc4)CC3)nn12	35
6boy	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCCCCCCNC(=O)COc1cccc3c1C(=O)N([C@H]1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2	59
4hxr	O=c1[nH]c(-c2cccc(NS(=O)(=O)c3cccs3)c2)cs1	21
4hxl	O=C(CCC1CCCCC1)Nc1cc(NS(=O)(=O)c2cccs2)cc(-c2csc(=O)[nH]2)c1	32
4hxm	CCCC(=O)Nc1cc(NS(=O)(=O)c2cccs2)cc(-c2csc(=O)[nH]2)c1	27
4mr4	COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCO)c(C)c3)nc2c1	27
2yel	Cc1nnc2n1-c1ccccc1C(c1ccccc1)=N[C@H]2NC(=O)OCc1ccccc1	32
4qzs	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2	31
3u5j	Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2	22
5hls	Cc1noc2c1-c1ccccc1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O	26
4men	Cc1ccc(CN(C)c2cc(C)nc3ncnn23)cc1	20
4o7e	Oc1cccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)c1	24
4nuc	Cc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)cc(C)c1O	27
5igk	CCOC(=O)Nc1cc(-c2ccc(C)c(NS(C)(=O)=O)c2)nn2c(C)nnc12	28
4clb	C[NH2+]Cc1ccc(-c2ccc3c(c2)[C@H](NC(=O)OC(C)C)C[C@H](C)N3C(C)=O)cc1	30
5acy	CC(=O)N1c2ccc(-c3ccc(C[NH+]4CCCCC4)cc3)cc2[C@H](Nc2ccccc2)C[C@@H]1C	34
5cqt	CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCCCC4)ccc1c23	25
4pce	CCc1cc2c(n1Cc1ccccc1)CCCC2=O	19
4wiv	Cc1noc(C)c1-c1ccc(-c2[nH]c3cncc[n+]3c2NC(C)(C)C)cc1	27
4bjx	CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C	31
4qr3	O=c1[nH]c(-c2cccc(S(=O)(=O)NC3CCCC3)c2)cs1	21
4qr4	O=c1[nH]c(-c2ccc(Cl)c(S(=O)(=O)NC3CCCC3)c2)cs1	22
4qr5	O=C(Nc1cc(-c2csc(=O)[nH]2)cc(S(=O)(=O)NC2CCCC2)c1)C1CC1	27
4f3i	COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21	28
5uoo	COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(-c3ccnc4ccccc34)c12	33
4z93	COc1cc2c(cc1-c1c(C)noc1C)[nH]c1ccnc(-c3c(C4CC4)n[nH]c3C)c12	31
5lj1	CO[C@H]1C[NH2+]C[C@@H](OCC2CCC(F)(F)CC2)[C@@H]1Nc1ncc(-c2cncc(C)c2)c2cc(C)c(=O)[nH]c12	38
5a5s	COc1cncc(-c2cnc(NC3CC[NH2+]CC3)c3[nH]c(=O)c(C)cc23)c1	27
5a85	Cc1cc2ccnc(N[C@@H]3CC[NH2+]C[C@H]3OCC3CCCCC3)c2[nH]c1=O	27
5lj2	Cc1cc2c(-c3cncc(N)c3)cnc(N[C@@H]3CC[NH2+]C[C@H]3OCC3CCS(=O)(=O)CC3)c2[nH]c1=O	36
4yh3	COc1ccc(/C=C(/C(=O)N2CC(=O)Nc3ccccc32)c2ccccc2)cc1	29
4yh4	O=C1CN(C(=O)c2cncc(-c3ccccc3)c2)c2ccccc2N1	25
4o74	CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[N@H+](C)CC4)cc3OC)nc2N1C1CCCC1	38
4uiz	COc1ccc(-c2cn(C)c(=O)c3cc(C(=O)N4CCN(S(C)(=O)=O)CC4)sc23)cc1OC	33
4uiy	Cn1cc(-c2cccc(C(F)(F)F)c2)c2sc([C@H](N)NC3CCS(=O)(=O)CC3)cc2c1=O	32
4uix	COc1ccc(-c2cn(C)c(=O)c3cc(C(=O)NC4CCS(=O)(=O)CC4)sc23)cc1OC	32
4qb3	CC(=O)NCCCCn1c2c(c3ccccc31)C(=O)NCC2	22
5egu	CCCCc1c(C)nc2nc(SCc3nc4c(c(=O)[nH]c(=O)n4CCCC)n3CC)nn2c1C	34
6fo5	CCn1cnc2c1c(=O)[nH]c(=O)n2Cc1ccc(CNS(=O)(=O)c2ccc3c(c2)CCCC(=O)N3)cc1	37
5cy9	CCCCS(=O)(=O)Nc1ccc2c3c(cccc13)C(=O)N2CC	23
5dx4	CCN1C(=O)c2cccc3c(NS(=O)(=O)c4cc(Br)ccc4OC)ccc1c23	28
5d25	CCN(CC)S(=O)(=O)c1ccc(O)c(NC(=O)c2[nH]c(C)c(C(C)=O)c2C)c1	28
5d24	CCc1c(C(=O)Nc2cccc(OCC(N)=O)c2)[nH]c(C)c1C(C)=O	25
5d3t	CCc1c(C(=O)N(C)Cc2cccc(C(N)=O)c2)[nH]c(C)c1C(C)=O	25
5d3h	CCc1c(C(=O)Nc2cc(S(=O)(=O)N(CC)CC)ccc2O)[nH]c(C)c1C(=O)CO	30
5d3s	CCc1c(C(=O)Nc2ccc(F)c(S(=O)(=O)N3CCOCC3)c2)[nH]c(C)c1C(C)=O	30
5uex	CCS(=O)(=O)Nc1ccc2c(c1)-c1cn(C)c(=O)cc1OCCCCc1cc(F)cc(F)c1O2	34
5d3n	CCc1c(C(=O)Nc2cc(S(=O)(=O)NC)ccc2C)[nH]c(C)c1C(C)=O	26
6cks	CCS(=O)(=O)c1ccc(OC)c(-c2cn(C)c(=O)c3ccc(-c4cnn(C)c4)cc23)c1	31
5uey	CCOc1cc(=O)n(C)cc1-c1cc(NS(=O)(=O)CC)ccc1Oc1ccc(F)cc1F	32
5ku3	CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3F)nn2[C@H]2CCOC2)C1	31
5i80	CN(C)C(=O)c1cccc(-c2cn(C)c(=O)c3[nH]ccc23)c1	22
5i88	C/C=C/Cn1cc(-c2cccc(C(=O)N(C)C)c2)c2cc[nH]c2c1=O	25
3mxf	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2	31
4c66	CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl	23
5m3a	Cc1nnc2ccc(-c3cnn(C)c3Oc3ccccc3)nn12	23
6cis	CC(C)Oc1cc(C(=O)N2CCC([N@H+]3CC[N@H+](C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)c1ccccc1C(=O)N2C	48
5luu	CCC(=O)N1CCc2[nH]nc(-c3ccccc3)c2C1	19
6ciy	COc1cc(C(=O)N2CCC([N@H+]3CC[N@H+](C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C1CCC1)c1ccccc1C(=O)N2C	45
5uez	COc1cc(=O)n(C)nc1-c1ccccc1Oc1ccccc1	23
4j3i	COc1cc(OC)c2c(=O)[nH]c(-c3cc(C)c(OCCO)c(C)c3)nc2c1	27
5uf0	CNc1cc(=O)n(C)nc1-c1ccccc1	16
5m39	COc1ccc(-c2ccc3nnc(C)n3n2)cc1OC	20
5wuu	CN(CCCNc1cc(=O)oc2ccccc12)C(=O)C1=CCCS1	24
6c7r	COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(Nc3cc(C4C=C4)nn3C)c12	33
4o7f	COc1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CC[NH2+]CC2)n1	33
6c7q	COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(Nc3nn(C)c4ccccc34)c12	34
5vom	CNC(=O)c1cccc(-c2ccc3c(c2)N(C(=O)c2ccco2)C[C@H](C)N3C(C)=O)c1	31
6ckr	Cn1cc(-c2ccc3c(=O)n(C)cc(-c4cccc(NS(C)(=O)=O)c4)c3c2)cn1	29
6czu	Cc1noc(C)c1-c1ccc(=O)n(Cc2ccc([C@@H](C)O)cc2)c1	24
6hdq	Cc1cncc(-c2cnc(N[C@@H]3C[C@H]4CC[C@H]([NH2+]4)[C@H]3CCC3CCC(F)(F)CC3)c3[nH]c(=O)c(C)cc23)c1	38
6e4a	Cn1cc(-c2ccc3nc(N4CC[NH+](CC[NH+](C)C)CC4)nc(NCc4cccc(Cl)c4)c3c2)ccc1=O	38
5ei4	CCn1c(CSC2=N[C@@H](N)NN2)nc2c1c(=O)[nH]c(=O)n2Cc1ccc(Cl)cc1	29
4ogi	CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[N@H+](C)CC4)cc3OC)nc2N1C1CCCC1	38
3iof	CC(C)OP(=O)(OC(C)C)c1ccccc1CS	18
3iog	O[PH](O)(O)[C@H](S)c1ccc(Cl)cc1Cl	14
1pgp	O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO[PH](O)(O)O	17
4yyl	O=C(COc1ccc(F)cc1)c1ccc(O)c(O)c1O	20
3dp9	CCCCSC[C@H]1C[N@@H+](Cc2c[nH]c3c(N)ncnc23)C[C@@H]1O	23
6en4	CC[C@H](O)[C@@H](C)[C@H]1O[C@@H]1C[C@H](C)/C=C/C=C(\C)[C@H]1OC(=O)C[C@H](O)CC[C@@](C)(O)[C@@H](OC(C)=O)/C=C\[C@@H]1C	38
5khk	Nc1ncc2ncn([C@@H]3O[C@@H]4CO[PH](O)(O)O[C@H]4[C@H]3O)c2n1	22
3lbj	C[NH+](C)CCC[N@H+](C)[C@H]1CCN(C(=O)c2[nH]c3cc(Cl)ccc3c2-c2c(-c3ccccc3)ncn2Cc2ccc(Cl)cc2)C1	44
2n0u	CC(C)Oc1cc(C#N)ccc1C1=N[C@@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N1C(=O)N1CCNC(=O)C1	40
3u15	Cc1c(Cl)ccc2c(/C=C3\NC(=O)N(Cc4ccc(F)c(F)c4)C3=O)c[nH]c12	28
3nc9	CSc1nn(-c2ccccc2)c2cc(NC(=O)C3CC[NH2+]CC3)ccc12	26
5wbo	Cc1cc(C)c(C#N)c(N2CCOCC2)n1	16
3ro4	CCc1nn(-c2ccccc2)c2cc(N3C[C@@H]4C[NH2+]C[C@@H]4C3)ccc12	25
3q92	CSc1ccccc1Nc1nc(N2CC[NH2+]CC2)nc2c(NCC3CC3)ncnc12	30
3qa2	Cc1ccccc1Nc1nc(N2CC[NH2+]CC2)nc2c(NCC3CC3)ncnc12	29
3qai	CSc1ccccc1Nc1nc(N2CC3(C[NH2+]C3)C2)nc2c(NCC3CC3)ncnc12	31
5wbq	CCc1cc2nc(C(F)(F)F)c(C#N)c(N3CC[C@](C)(O)C3)c2[nH]1	24
5wbr	N#Cc1c(C(F)(F)F)cc(N2CC[NH+](CCO)CC2)nc1N1CCC[C@H](CO)C1	29
5wbz	C[C@]1(O)CCN(c2nc(N3C[C@H](O)[C@@H](O)C3)cc(C(F)(F)F)c2C#N)C1	26
5wbm	Cc1c[nH]c2ncnc(N3CCC[C@@H](CO)C3)c12	18
5egs	[NH3+]CC[N@H+]1CC[C@@H](Cc2ccccc2)CC1	16
5e8r	CC(C)Oc1ccc(-c2c[nH]cc2C[N@@H+](C)CC[NH3+])cc1	21
5aqg	Cn1[nH+]c(N)c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc1c23	23
3ldq	Nc1ncnc2c1nc(NCc1ccc3ccccc3n1)n2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	31
3m3z	CNc1nc2c(N)ncnc2n1[C@@H]1O[C@H](COCC(N)=O)[C@@H](O)[C@H]1O	25
5aqf	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	19
5dts	O=C(O)c1cccc(-c2cccnc2)c1	15
5qb0	O=C(O)c1cccc(-c2ccccn2)c1	15
5qb2	O=C(O)c1cc(-c2ccc3ncccc3c2)cc(-c2ccc3cccnc3c2)c1	29
5qax	O=C(O)c1cccc(-c2ccc3ncccc3c2)c1	19
5dtt	O=C(O)c1cccc(-c2nccs2)c1	14
3c56	O=C(CO[PH](O)(O)O)N(O)CCCO[PH](O)(O)O	18
4a22	O=C(CO[PH](O)(O)O)N(O)CCCCO[PH](O)(O)O	19
4lv4	O=C(O)c1ccc2cccc(O)c2n1	14
3p8h	O=C(c1cncc(Br)c1)N1CCC([NH+]2CCCC2)CC1	20
2uy4	CC(=O)Nc1nnc(S(N)(=O)=O)s1	13
2uy5	c1coc(CNc2ncnc3[nH]cnc23)c1	16
2uy3	Cn1c(=O)c2nc(Cl)[nH]c2n(C)c1=O	14
3rm4	Nc1nc(N2CC[NH+](CCOc3ccc(Br)cc3)CC2)n[nH]1	22
3rm8	Cc1[nH]c2ccccc2c1C[NH+]1CCN(c2ccccn2)CC1	23
3rm9	NC(N)N1CCN(c2ccc(Cl)cc2)CC1	16
3rme	CCNC(=O)c1cccnc1N1CC[NH+](C)CC1	18
2w2i	O=C(O)c1ccnc(C(=O)O)c1	12
3v3q	CCCCCCCC(=O)c1cc(OC)c(OC)c(OC)c1CC(=O)OCC	27
1jje	O=C(O)[C@@H](Cc1ccccc1)[C@H](Cc1ccc2c(c1)OCO2)C(=O)O	25
3e4a	NC(=O)CNC(=O)CNC(=O)[C@H](CCCNC(N)N)NC(=O)[C@@H](CC(=O)NO)Cc1ccc2ccccc2c1	39
4gsc	COC(=O)[C@H](Cc1cnc[nH]1)NC(=O)C[N@@H+](CCc1ccccc1)CC(=O)O	28
4dtt	COC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C[N@@H+](CC(=O)O)Cc1ccccc1	27
4gs8	CNC(=O)[C@H](Cc1cnc[nH]1)NC(=O)C[N@H+](CCCc1ccccc1)CC(=O)O	29
4lte	NC(=O)[C@H](CCCCNC(=O)[C@@H](Cc1ccc(C(=O)c2ccccc2)cc1)NC(=O)CCC1CCCCC1)NC(=O)/C=C/C(=O)O	46
4re9	O=C(C[C@@H](Cc1ccc2ccccc2c1)n1nncc1CNC(=O)c1ccc(F)cc1)NO	33
2yek	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	30
3aqa	C[n+]1c(S)n(CCSc2nc3ccccc3[nH]2)c2ccccc21	23
2ydw	Cc1nnc2n1-c1ccccc1C(c1ccccc1)=N[C@H]2NC(=O)OCc1ccccc1	32
4a9i	CC(=O)c1cc(-c2ccccn2)c2ccccn12	18
4qew	CC[C@@H](C(=O)OC)[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	31
4akn	Cc1noc(C)c1-c1ccc2c(Nc3ccccc3C(C)(C)C)c(C(=O)O)cnc2c1	31
4alg	COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12	31
4uyf	CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C	31
4a9n	Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1C=C1	21
4a9m	Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCCC1	23
4mr5	COc1cc(OC)c2c(=O)nc(-c3cc(C)c(O)c(C)c3)[nH]c2c1	24
4uyg	CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C	31
5ek9	CC(=O)N1c2ccc(-c3ccco3)cc2[C@H](NC(=O)OC(C)C)C[C@@H]1C	26
4uyh	CC(=O)N1c2ccc(-c3ccc(C[NH+]4CCCCC4)cc3)cc2[C@H](Nc2ccccc2)C[C@@H]1C	34
5u6v	Cc1nnn2c1-c1ccc(-c3ccc(N)nc3)cc1N(c1ccc(Cl)cc1)CC2	29
6iik	Cc1cc(C(=O)C[NH+]2CCCC2)c(C)n1-c1ccc(F)cc1	22
3kr5	[NH3+][C@H](CCc1ccccc1)[P](O)(O)C[C@@H](Cc1ccccc1)C(=O)O	25
4r6t	CC(C)(C)OC(=O)N[C@H](C(=O)NO)c1ccc(-n2cccn2)cc1	24
4r7m	Nc1ccc(C(=O)N[C@@H](C(=O)NO)c2ccc(-n3cccn3)cc2)cc1	26
5dd9	Cc1nnc(N2CCN(c3ncnc4sc(CC(F)(F)F)cc34)CC2)s1	26
5dde	CC1(C)CNC(=[N+]2CCN(c3ncnc4sc(CC(F)F)cc34)CC2)S1	26
