target_chembl_id	pdbid	compound	total_sampled_num	calculated_binding_energy	calculated_delta_lig_conform_energy	core_RMSD
CHEMBL1075127	3gta	CHEMBL1091044	6	-75.18	-6.39	0.4
CHEMBL1075127	3gta	CHEMBL1091045	36	-82.43	-4.33	0.36
CHEMBL1075127	3gta	CHEMBL1091215	6	-82.98	-4.64	0.37
CHEMBL1075127	3gt9	CHEMBL1091216	6	-76.45	-5.73	0.39
CHEMBL1075127	3gta	CHEMBL1091442	6	-81.13	-4.04	0.37
CHEMBL1075127	3gta	CHEMBL1091453	6	-82.74	-4.14	0.37
CHEMBL1075127	3gta	CHEMBL1091484	6	-82.52	-5.18	0.37
CHEMBL1075127	3gta	CHEMBL1091485	6	-82.26	-4.63	0.31
CHEMBL1075127	3gta	CHEMBL1091762	6	-76.79	-7.86	0.3
CHEMBL1075127	3gta	CHEMBL1092172	6	-73.74	-4.4	0.38
CHEMBL1075127	3gta	CHEMBL1092173	6	-76.93	-4.21	0.45
CHEMBL1075127	3gta	CHEMBL1092174	36	-79.33	-8.9	0.87
CHEMBL1075127	3gt9	CHEMBL1092184	6	-76.89	-5.11	0.34
CHEMBL1075127	3gt9	CHEMBL1092185	6	-78.19	-4.98	0.33
CHEMBL1075127	3gta	CHEMBL1092759	6	-81.9	-3.95	0.32
CHEMBL1075127	3gta	CHEMBL1092760	6	-82.51	-4.37	0.36
CHEMBL1075127	3gta	CHEMBL1092761	6	-81.97	-4.64	0.36
CHEMBL1075127	3gta	CHEMBL1093339	6	-82.46	-4.39	0.32
CHEMBL1075127	3gta	CHEMBL1093356	6	-81.27	-4.15	0.37
CHEMBL1075127	3gt9	CHEMBL1093598	36	-78.21	-5.35	0.33
CHEMBL1075127	3gta	CHEMBL1093691	6	-70.99	-4.57	0.36
CHEMBL1075127	3gta	CHEMBL1093692	6	-80.04	-3.72	0.41
CHEMBL1075127	3gta	CHEMBL1093708	6	-82.49	-4.27	0.33
CHEMBL1075127	3gt9	CHEMBL1094001	6	-64.42	-5.09	0.44
CHEMBL1075127	3uw5	CHEMBL2063869	6	-81.86	-4.97	0.53
CHEMBL1075132	5y3n	CHEMBL4068596	6	-16.08	-1.57	0.6
CHEMBL1075132	5y3o	CHEMBL4080323	6	-16.19	-2.21	0.28
CHEMBL1075132	5y3n	CHEMBL4095912	6	-15.94	-1.9	0.51
CHEMBL1075152	4ly9	CHEMBL3113979	6	-60.32	-7.23	0.36
CHEMBL1075152	4msu	CHEMBL3113992	6	-37.62	-3.97	0.48
CHEMBL1075152	4ohm	CHEMBL3114185	12	-50.45	-4.1	0.26
CHEMBL1075152	4mqu	CHEMBL3114187	6	-51.04	-2.86	0.29
CHEMBL1075152	4ly9	CHEMBL3127340	72	-39.48	-6.88	0.45
CHEMBL1075152	4ly9	CHEMBL3127341	72	-36.73	-4.36	0.54
CHEMBL1075152	4ly9	CHEMBL3127342	72	-46.92	-6.68	0.34
CHEMBL1075152	4msu	CHEMBL3127343	36	-47.0	-4.82	0.5
CHEMBL1075152	4ly9	CHEMBL3127344	72	-48.26	-4.04	0.41
CHEMBL1075152	4ly9	CHEMBL3127345	72	-46.34	-7.46	0.42
CHEMBL1075152	4ly9	CHEMBL3127346	72	-45.16	-6.06	0.38
CHEMBL1075152	4ly9	CHEMBL3127347	72	-44.82	-6.04	0.42
CHEMBL1075152	4ly9	CHEMBL3127348	12	-62.26	-10.06	0.29
CHEMBL1075152	4ly9	CHEMBL3127349	12	-66.42	-9.2	0.3
CHEMBL1075152	4ly9	CHEMBL3127350	36	-47.26	-5.88	0.39
CHEMBL1075152	4ly9	CHEMBL3127351	36	-47.26	-5.86	0.39
CHEMBL1075152	4ly9	CHEMBL3127352	6	-60.32	-7.23	0.36
CHEMBL1075152	4msu	CHEMBL3127353	6	-39.64	-3.33	0.49
CHEMBL1075152	4msu	CHEMBL3127354	6	-39.63	-3.32	0.49
CHEMBL1075152	4msu	CHEMBL3127355	6	-38.82	-9.79	0.58
CHEMBL1075152	4msu	CHEMBL3127356	6	-37.33	-8.65	0.62
CHEMBL1075152	4msu	CHEMBL3127357	6	-40.75	-3.16	0.5
CHEMBL1075152	4msu	CHEMBL3127358	6	-40.28	-4.01	0.59
CHEMBL1075152	4ly9	CHEMBL3127360	72	-48.22	-3.31	0.43
CHEMBL1075152	4ly9	CHEMBL3127361	72	-48.56	-14.1	0.45
CHEMBL1075152	4oho	CHEMBL3237978	6	-39.86	-3.01	0.4
CHEMBL1075152	4ohm	CHEMBL3237979	6	-41.46	-3.71	0.24
CHEMBL1075152	4ohp	CHEMBL3237980	36	-51.46	-15.06	0.24
CHEMBL1075152	4oho	CHEMBL3237981	36	-54.8	-6.63	0.25
CHEMBL1075152	4mqu	CHEMBL3237982	6	-30.71	-5.03	0.4
CHEMBL1075152	4oho	CHEMBL3237983	36	-31.98	-7.95	0.23
CHEMBL1075152	4ohp	CHEMBL3237984	36	-53.39	-8.08	0.25
CHEMBL1075152	4ohp	CHEMBL3237985	216	-55.87	-5.39	0.23
CHEMBL1075152	4oho	CHEMBL3237986	36	-55.5	-7.84	0.35
CHEMBL1075152	4mro	CHEMBL3237987	6	-58.27	-6.58	0.41
CHEMBL1075152	4ohk	CHEMBL3237988	6	-47.6	-4.36	0.32
CHEMBL1075152	4ohk	CHEMBL3237989	6	-48.03	-4.61	0.3
CHEMBL1075152	4oho	CHEMBL3237990	6	-54.15	-4.84	0.34
CHEMBL1075152	4oho	CHEMBL3237991	12	-52.55	-3.89	0.38
CHEMBL1075152	4oho	CHEMBL3237992	12	-52.04	-3.83	0.3
CHEMBL1075152	4oho	CHEMBL3237993	12	-52.15	-5.99	0.3
CHEMBL1075152	4oho	CHEMBL3237994	72	-51.6	-8.77	0.35
CHEMBL1075152	4oho	CHEMBL3238296	72	-53.6	-14.11	0.33
CHEMBL1075152	4oho	CHEMBL3238297	432	-52.44	-10.2	0.3
CHEMBL1075152	4oho	CHEMBL3238298	72	-56.85	-12.38	0.47
CHEMBL1075152	4oho	CHEMBL3238299	6	-53.02	-3.9	0.43
CHEMBL1075152	4ohk	CHEMBL3238300	36	-49.74	-6.07	0.28
CHEMBL1075152	4oho	CHEMBL3238301	6	-51.92	-4.32	0.66
CHEMBL1075152	4oho	CHEMBL3238302	6	-54.24	-4.3	1.13
CHEMBL1075152	4oho	CHEMBL3238303	6	-51.92	-4.32	0.66
CHEMBL1075152	4oho	CHEMBL3238304	6	-58.86	-5.57	0.63
CHEMBL1075152	4ohp	CHEMBL3238305	36	-56.03	-2.86	0.26
CHEMBL1075152	4ohm	CHEMBL3238306	36	-51.22	-4.85	0.2
CHEMBL1075152	4mqu	CHEMBL3238307	36	-50.89	-4.41	0.28
CHEMBL1075152	4ohm	CHEMBL3238308	36	-53.43	-4.56	0.22
CHEMBL1075152	4ohm	CHEMBL3238309	36	-50.11	-9.4	0.21
CHEMBL1075152	4ohm	CHEMBL3238310	36	-49.8	-6.42	0.23
CHEMBL1075152	4oho	CHEMBL3238311	216	-57.18	-4.29	0.23
CHEMBL1075152	4ohm	CHEMBL3238312	216	-54.02	-8.0	0.21
CHEMBL1075152	4ohk	CHEMBL3238313	216	-50.99	-17.5	0.33
CHEMBL1075152	4ohk	CHEMBL3238314	216	-56.28	-7.26	0.31
CHEMBL1075159	5vfd	CHEMBL4298137	6	-6.63	-3.02	0.68
CHEMBL1075165	4uwh	CHEMBL3622372	6	-10.27	-6.29	1.35
CHEMBL1075165	4ph4	CHEMBL3780029	6	-24.7	-4.62	0.39
CHEMBL1075165	4ph4	CHEMBL3780077	36	-21.52	-13.91	0.42
CHEMBL1075165	4ph4	CHEMBL3780339	36	-13.39	-9.64	0.65
CHEMBL1075165	4ph4	CHEMBL3780762	36	1.18	-18.54	0.42
CHEMBL1075165	4ph4	CHEMBL3780864	36	-15.33	-8.09	0.53
CHEMBL1075165	4ph4	CHEMBL3780896	36	-22.59	-9.28	0.38
CHEMBL1075165	4ph4	CHEMBL3781020	6	-27.76	-2.82	0.42
CHEMBL1075165	4ph4	CHEMBL3781076	1000	-26.65	-9.61	0.42
CHEMBL1075165	4ph4	CHEMBL3781236	216	-20.97	-9.49	0.37
CHEMBL1075165	4ph4	CHEMBL3781415	6	-31.48	-2.48	0.61
CHEMBL1075165	4ph4	CHEMBL3781466	216	-27.66	-5.18	0.76
CHEMBL1075165	4ph4	CHEMBL3781615	216	-26.55	-3.24	0.73
CHEMBL1075165	4ph4	CHEMBL3781634	6	-22.0	-7.69	0.36
CHEMBL1075165	4ph4	CHEMBL3781916	36	-20.18	-14.15	0.49
CHEMBL1075165	4ph4	CHEMBL3781926	6	9.75	-17.77	1.42
CHEMBL1075165	4ph4	CHEMBL3781964	36	-23.09	-11.12	0.43
CHEMBL1075165	4ph4	CHEMBL3782016	36	-21.03	-10.07	0.37
CHEMBL1075165	4ph4	CHEMBL3913746	216	-31.7	-14.41	0.38
CHEMBL1075165	4uwf	CHEMBL4470174	1000	-25.71	-4.73	0.27
CHEMBL1075165	4uwh	CHEMBL4517404	6	-12.32	-5.4	0.56
CHEMBL1075165	4uwh	CHEMBL4536755	6	-16.35	-6.38	0.55
CHEMBL1075165	4uwf	CHEMBL4536855	6	-20.32	-2.9	0.35
CHEMBL1075165	4uwh	CHEMBL4586628	6	-20.87	-7.98	0.42
CHEMBL1075179	3djv	CHEMBL130266	1000	-41.71	-6.97	1.64
CHEMBL1075179	3djv	CHEMBL258728	6	-19.14	-6.05	1.95
CHEMBL1075179	3djq	CHEMBL307679	6	-13.97	-11.22	1.8
CHEMBL1075179	3djo	CHEMBL447360	6	-38.82	-3.49	0.25
CHEMBL1075179	3djo	CHEMBL460741	36	-28.02	-9.49	0.82
CHEMBL1075181	4en4	CHEMBL3244684	6	-18.26	-3.38	0.31
CHEMBL1075181	4en4	CHEMBL3244690	6	-18.31	-0.5	0.36
CHEMBL1075181	4en4	CHEMBL3245268	6	-18.93	-5.34	0.35
CHEMBL1075181	4en4	CHEMBL3275146	6	-16.96	-3.55	0.63
CHEMBL1075256	1wm1	CHEMBL403772	6	-119.84	-12.86	1.87
CHEMBL1075317	4es0	CHEMBL1084621	6	-61.05	-3.93	0.57
CHEMBL1075317	3uvo	CHEMBL1084623	6	-62.31	-7.51	0.64
CHEMBL1075317	4es0	CHEMBL1085604	6	-56.26	-4.95	0.69
CHEMBL1075317	3psl	CHEMBL1085605	6	-56.53	-4.05	0.25
CHEMBL1075317	4es0	CHEMBL1085864	6	-76.54	-5.0	0.45
CHEMBL1075317	2h9n	CHEMBL1085865	6	-58.81	-5.71	0.28
CHEMBL1075317	4es0	CHEMBL1086083	6	-57.12	-3.88	0.51
CHEMBL1075317	3emh	CHEMBL1086453	1000	-55.67	-17.52	0.44
CHEMBL1075317	3emh	CHEMBL1086454	6	-32.83	-5.93	0.68
CHEMBL1075317	4es0	CHEMBL1086455	6	-59.72	-3.86	0.57
CHEMBL1075317	2h9n	CHEMBL1086531	432	-61.82	-5.95	0.72
CHEMBL1075317	5vfc	CHEMBL3798088	1000	-54.15	-16.79	0.24
CHEMBL1075317	4gm8	CHEMBL3799591	6	-55.31	-9.33	0.92
CHEMBL1075317	4gm8	CHEMBL3883592	6	-55.59	-9.28	0.75
CHEMBL1075317	4gm8	CHEMBL3957384	6	-56.81	-9.65	0.64
CHEMBL1075317	6dar	CHEMBL4276691	6	3.31	-5.68	0.41
CHEMBL1075317	6dar	CHEMBL4276791	6	5.07	-7.15	0.44
CHEMBL1075317	6dar	CHEMBL4276998	6	11.49	-4.22	0.33
CHEMBL1075317	6dar	CHEMBL4277278	6	9.69	-4.31	0.54
CHEMBL1075317	6dar	CHEMBL4278066	36	10.96	-4.52	0.31
CHEMBL1075317	6dar	CHEMBL4278618	36	-2.68	-5.96	0.38
CHEMBL1075317	6dar	CHEMBL4278737	6	4.98	-6.49	0.44
CHEMBL1075317	6das	CHEMBL4279907	36	8.86	-7.47	0.17
CHEMBL1075317	6dar	CHEMBL4280115	6	2.63	-6.04	0.7
CHEMBL1075317	6dar	CHEMBL4280428	6	13.32	-6.58	1.43
CHEMBL1075317	6dar	CHEMBL4281521	6	10.85	-4.23	0.54
CHEMBL1075317	6dar	CHEMBL4283339	1000	1.92	-5.15	0.67
CHEMBL1075317	6dar	CHEMBL4283374	36	3.64	-2.92	0.49
CHEMBL1075317	6dar	CHEMBL4283572	6	10.03	-4.74	0.34
CHEMBL1075317	6das	CHEMBL4284408	6	10.36	-3.25	0.18
CHEMBL1075317	6dar	CHEMBL4284629	36	5.92	-3.34	0.39
CHEMBL1075317	6dar	CHEMBL4284733	36	1.43	-7.32	0.48
CHEMBL1075317	6dar	CHEMBL4284948	6	6.23	-6.58	0.44
CHEMBL1075317	6dar	CHEMBL4285902	36	3.49	-6.77	0.41
CHEMBL1075317	6dar	CHEMBL4286527	36	-0.76	-5.97	0.4
CHEMBL1075317	6dar	CHEMBL4286932	12	4.29	-4.52	0.33
CHEMBL1075317	6dar	CHEMBL4287245	6	9.04	-4.24	0.32
CHEMBL1075317	6das	CHEMBL4287817	216	8.04	-2.97	0.17
CHEMBL1075317	6dar	CHEMBL4288010	6	0.2	-6.18	0.38
CHEMBL1075317	6dar	CHEMBL4288332	6	6.59	-6.76	0.4
CHEMBL1075317	6dar	CHEMBL4288521	1000	-2.73	-5.18	0.45
CHEMBL1075317	6dar	CHEMBL4288724	36	8.67	-4.98	0.3
CHEMBL1075317	6dar	CHEMBL4289405	6	9.52	-2.69	0.45
CHEMBL1075317	6das	CHEMBL4291223	1000	3.63	-5.95	0.3
CHEMBL1075317	6dar	CHEMBL4291414	6	2.94	-3.75	0.35
CHEMBL1075317	6das	CHEMBL4291641	12	6.01	-5.11	0.17
CHEMBL1075317	6dar	CHEMBL4292147	6	8.77	-4.87	0.48
CHEMBL1075317	6dar	CHEMBL4294133	36	3.19	-2.66	0.47
CHEMBL1075317	6das	CHEMBL4294174	36	5.28	-4.45	0.14
CHEMBL1075317	6dar	CHEMBL4294825	6	3.92	-5.49	0.7
CHEMBL1075317	6dar	CHEMBL4295183	6	7.87	-4.18	0.32
CHEMBL1075320	3mlb	CHEMBL1084867	6	-50.99	-3.34	0.32
CHEMBL1075323	4nh9	CHEMBL3104858	6	-28.19	-3.04	0.55
CHEMBL1075323	4nh9	CHEMBL3104860	6	-28.92	-3.2	0.55
CHEMBL1075323	4nh9	CHEMBL3235333	6	-36.09	-3.93	0.73
CHEMBL1075323	4nh9	CHEMBL3235334	6	-29.47	-10.67	0.7
CHEMBL1075323	4nh9	CHEMBL3235335	6	-33.45	-4.35	0.55
CHEMBL1075323	4nh9	CHEMBL3235336	36	-31.53	-12.01	0.63
CHEMBL1075323	4nh9	CHEMBL3235338	6	-33.75	-8.6	0.53
CHEMBL1075323	4nh9	CHEMBL3235339	36	-37.18	-5.35	0.57
CHEMBL1075323	4nh9	CHEMBL3235341	36	-36.63	-4.6	0.59
CHEMBL1075323	4nh9	CHEMBL3235342	36	-35.98	-4.6	0.6
CHEMBL1075323	4nh9	CHEMBL3235343	6	-32.8	-8.18	0.71
CHEMBL1075323	4nh9	CHEMBL3235344	6	-33.64	-8.38	0.67
CHEMBL1163101	4u6r	CHEMBL3355993	1000	-40.4	-8.21	0.78
CHEMBL1163101	4u6r	CHEMBL3355999	36	-44.02	-11.52	0.42
CHEMBL1163101	4u6r	CHEMBL3356000	36	-51.7	-9.33	0.46
CHEMBL1163101	4u6r	CHEMBL3356001	36	-38.42	-16.1	0.31
CHEMBL1163101	4u6r	CHEMBL3356002	216	-36.73	-12.39	0.56
CHEMBL1163101	4u6r	CHEMBL3356003	36	-43.16	-17.27	0.33
CHEMBL1163101	4u6r	CHEMBL3356004	6	-66.35	-10.31	0.46
CHEMBL1163101	4u6r	CHEMBL3356005	6	-65.08	-10.02	0.48
CHEMBL1163101	4u6r	CHEMBL3356006	6	-63.07	-13.06	0.53
CHEMBL1163101	4u6r	CHEMBL3356007	6	-61.48	-9.88	0.48
CHEMBL1163101	4u6r	CHEMBL3356008	216	-59.38	-12.97	0.35
CHEMBL1163101	4u6r	CHEMBL3356009	1000	-53.15	-14.78	0.72
CHEMBL1163101	4u6r	CHEMBL3356010	6	-59.65	-9.86	0.48
CHEMBL1163101	4yzc	CHEMBL388978	6	-38.7	-5.87	0.55
CHEMBL1163101	4z7h	CHEMBL4554474	6	-37.39	-6.21	0.46
CHEMBL1163101	4yzc	CHEMBL603469	6	-30.42	-1.44	0.24
CHEMBL1163101	4yzc	CHEMBL608533	12	-23.97	-12.21	0.52
CHEMBL1163125	4hbv	CHEMBL1230189	6	-16.6	-0.2	0.5
CHEMBL1163125	3p5o	CHEMBL1232461	6	-31.89	-4.06	0.68
CHEMBL1163125	5kj0	CHEMBL1233528	1000	-44.34	-17.04	0.62
CHEMBL1163125	4o76	CHEMBL1287853	1000	-37.91	-3.68	0.4
CHEMBL1163125	5h21	CHEMBL1313432	216	-18.23	-2.03	0.42
CHEMBL1163125	5d0c	CHEMBL1344420	6	-21.5	-1.17	0.43
CHEMBL1163125	6afr	CHEMBL1361699	6	-3.38	-0.54	0.76
CHEMBL1163125	4cfl	CHEMBL1363184	6	-18.71	-1.5	0.77
CHEMBL1163125	4o7b	CHEMBL13880	6	-27.65	-2.13	0.51
CHEMBL1163125	4o7b	CHEMBL14212	6	-28.76	-2.57	0.27
CHEMBL1163125	5y1y	CHEMBL1454910	6	-19.31	-2.03	0.67
CHEMBL1163125	4o7b	CHEMBL14682	6	-27.04	-1.5	0.6
CHEMBL1163125	5cp5	CHEMBL1485571	6	-28.22	-0.63	0.25
CHEMBL1163125	4uyd	CHEMBL1487662	6	-17.71	-1.9	0.92
CHEMBL1163125	4pci	CHEMBL1620811	6	-21.19	-0.03	0.22
CHEMBL1163125	6cj1	CHEMBL1673046	36	-17.99	-2.29	0.61
CHEMBL1163125	5eis	CHEMBL1721265	6	-30.04	-1.05	0.38
CHEMBL1163125	2yem	CHEMBL1738926	6	-32.5	-2.33	0.46
CHEMBL1163125	4j0s	CHEMBL1828982	6	-17.91	-0.74	0.49
CHEMBL1163125	4j0s	CHEMBL1828983	216	-28.07	-3.49	0.72
CHEMBL1163125	4j0s	CHEMBL1828984	36	-11.24	-1.69	0.53
CHEMBL1163125	4j0s	CHEMBL1828986	36	-21.36	-1.83	0.56
CHEMBL1163125	4o72	CHEMBL188678	6	-28.79	-1.35	0.33
CHEMBL1163125	4hbx	CHEMBL1950957	6	-21.48	-4.53	0.68
CHEMBL1163125	5ueu	CHEMBL1957266	6	-31.64	-2.45	0.43
CHEMBL1163125	3u5l	CHEMBL1958337	6	-27.67	-1.27	0.25
CHEMBL1163125	3p5o	CHEMBL1958347	6	-31.61	-3.78	0.7
CHEMBL1163125	5kj0	CHEMBL1968380	6	-25.83	-7.06	1.34
CHEMBL1163125	4ogj	CHEMBL1995703	6	-33.78	-6.35	0.97
CHEMBL1163125	4bw1	CHEMBL2017264	6	-21.97	-3.34	1.35
CHEMBL1163125	4bw2	CHEMBL2017269	1000	-14.84	-0.93	0.72
CHEMBL1163125	4bw1	CHEMBL2017273	6	-22.23	-3.44	1.17
CHEMBL1163125	4bw3	CHEMBL2017281	1000	-20.78	-2.43	0.59
CHEMBL1163125	4bw4	CHEMBL2017282	36	-4.71	-10.59	0.92
CHEMBL1163125	4bw4	CHEMBL2017283	36	-3.39	-6.02	1.89
CHEMBL1163125	3zyu	CHEMBL2017285	36	-25.36	-0.45	0.39
CHEMBL1163125	3zyu	CHEMBL2017286	36	-23.74	-0.65	0.4
CHEMBL1163125	3zyu	CHEMBL2017288	36	-26.38	-0.92	0.3
CHEMBL1163125	3zyu	CHEMBL2017289	36	-25.51	-0.89	0.42
CHEMBL1163125	3zyu	CHEMBL2017291	36	-26.47	-0.97	0.31
CHEMBL1163125	6afr	CHEMBL2094437	6	-3.87	-1.49	0.52
CHEMBL1163125	4o70	CHEMBL2103840	6	-23.25	-1.89	0.44
CHEMBL1163125	5ueu	CHEMBL2132936	6	-31.66	-2.3	0.43
CHEMBL1163125	2yem	CHEMBL2153434	6	-32.52	-2.32	0.46
CHEMBL1163125	4cl9	CHEMBL2177300	36	-27.03	-7.36	0.42
CHEMBL1163125	4e96	CHEMBL2179378	6	-21.94	-1.51	0.7
CHEMBL1163125	4e96	CHEMBL2179379	6	-27.87	-0.8	0.34
CHEMBL1163125	4e96	CHEMBL2179380	6	-24.77	-2.13	0.78
CHEMBL1163125	4hbv	CHEMBL2179381	6	-19.12	-0.76	0.54
CHEMBL1163125	4hbx	CHEMBL2179382	6	-24.7	-1.24	0.33
CHEMBL1163125	4hbx	CHEMBL2179383	36	-25.35	-1.08	0.41
CHEMBL1163125	4hby	CHEMBL2179384	6	-22.23	-1.95	0.45
CHEMBL1163125	4e96	CHEMBL2179385	6	-23.71	-1.6	0.97
CHEMBL1163125	4e96	CHEMBL2179386	6	-28.07	-1.41	0.25
CHEMBL1163125	4e96	CHEMBL2179387	6	-28.41	-1.16	0.24
CHEMBL1163125	4e96	CHEMBL2179388	6	-27.06	-0.88	0.47
CHEMBL1163125	4e96	CHEMBL2179389	6	-25.99	-1.25	0.69
CHEMBL1163125	4e96	CHEMBL2179390	6	-20.67	-4.23	1.54
CHEMBL1163125	4e96	CHEMBL2179391	6	-18.64	-4.9	1.01
CHEMBL1163125	4bw1	CHEMBL2181818	6	-14.25	-1.85	1.4
CHEMBL1163125	3zyu	CHEMBL2181820	36	-26.32	-0.33	0.44
CHEMBL1163125	4j0r	CHEMBL2331593	6	-24.76	-2.03	0.31
CHEMBL1163125	4j0r	CHEMBL2335143	6	-26.88	-2.0	0.55
CHEMBL1163125	4j0s	CHEMBL2335144	1000	-33.35	-4.74	0.36
CHEMBL1163125	4j0r	CHEMBL2335145	216	-31.84	-3.81	0.32
CHEMBL1163125	4j0r	CHEMBL2335146	6	-28.75	-3.15	1.05
CHEMBL1163125	4j0s	CHEMBL2335147	6	-19.0	-1.23	0.49
CHEMBL1163125	4j0s	CHEMBL2335148	36	-25.86	-3.39	0.5
CHEMBL1163125	4j0r	CHEMBL2335149	36	-26.86	-3.14	0.37
CHEMBL1163125	4j0s	CHEMBL2335150	36	-22.85	-4.2	0.33
CHEMBL1163125	4j0r	CHEMBL2335151	36	-23.41	-3.03	0.35
CHEMBL1163125	4j0r	CHEMBL2335152	36	-27.05	-2.77	0.3
CHEMBL1163125	4j0s	CHEMBL2335153	6	-26.45	-3.4	0.4
CHEMBL1163125	4j0r	CHEMBL2335154	6	-25.78	-1.75	0.69
CHEMBL1163125	5khm	CHEMBL2346974	6	-44.07	-5.81	0.57
CHEMBL1163125	6boy	CHEMBL2349340	216	-16.02	-2.94	0.41
CHEMBL1163125	4hxr	CHEMBL2349346	36	-18.22	-0.69	0.95
CHEMBL1163125	4hxl	CHEMBL2349349	6	-22.93	-1.74	0.81
CHEMBL1163125	4hxr	CHEMBL2349350	6	-20.7	-1.18	0.59
CHEMBL1163125	4hxr	CHEMBL2349351	6	-23.54	-1.22	0.51
CHEMBL1163125	4hxr	CHEMBL2349354	6	24.58	-5.94	0.73
CHEMBL1163125	4hxm	CHEMBL2349355	6	-24.43	-1.79	0.83
CHEMBL1163125	4hxm	CHEMBL2349356	1000	-23.62	-7.91	1.14
CHEMBL1163125	4hxm	CHEMBL2349357	1000	-25.23	-3.12	0.79
CHEMBL1163125	4hxm	CHEMBL2349358	216	-22.77	-3.16	1.05
CHEMBL1163125	4hxm	CHEMBL2349359	1000	-23.2	-3.49	0.76
CHEMBL1163125	4hxr	CHEMBL2349361	36	-24.31	-4.77	0.36
CHEMBL1163125	4hxr	CHEMBL2349362	1000	-29.42	-4.93	0.34
CHEMBL1163125	4hxm	CHEMBL2349363	6	-24.67	-5.23	0.58
CHEMBL1163125	4hxr	CHEMBL2349462	216	-28.45	-2.36	0.39
CHEMBL1163125	4mr4	CHEMBL2393130	6	-22.83	-1.54	0.49
CHEMBL1163125	2yem	CHEMBL2430869	6	-32.8	-1.8	0.47
