pdbid	uniprot_id_for_pdbid	uniprot_id	target_name_from_uniprot	target_name_from_pharos	target_family_from_pharos	target_chembl_id	uniprot_id_from_chembl	target_name_from_chembl	target_type_from_chembl
3iqi	P45040	P45040	Cysteine synthase (CSase) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase) (OAS-TL) (O-acetylserine sulfhydrylase)	None	Unclassified	CHEMBL1075088	P45040	Cysteine synthase	SINGLE PROTEIN
3iqh	P45040	P45040	Cysteine synthase (CSase) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase) (OAS-TL) (O-acetylserine sulfhydrylase)	None	Unclassified	CHEMBL1075088	P45040	Cysteine synthase	SINGLE PROTEIN
3iqg	P45040	P45040	Cysteine synthase (CSase) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase) (OAS-TL) (O-acetylserine sulfhydrylase)	None	Unclassified	CHEMBL1075088	P45040	Cysteine synthase	SINGLE PROTEIN
3mfw	P05089	P05089	Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase)	Arginase-1	Enzyme	CHEMBL1075097	P05089	Arginase-1	SINGLE PROTEIN
3mfv	P05089	P05089	Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase)	Arginase-1	Enzyme	CHEMBL1075097	P05089	Arginase-1	SINGLE PROTEIN
3kv2	P05089	P05089	Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase)	Arginase-1	Enzyme	CHEMBL1075097	P05089	Arginase-1	SINGLE PROTEIN
3lp4	P05089	P05089	Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase)	Arginase-1	Enzyme	CHEMBL1075097	P05089	Arginase-1	SINGLE PROTEIN
3mjl	P05089	P05089	Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase)	Arginase-1	Enzyme	CHEMBL1075097	P05089	Arginase-1	SINGLE PROTEIN
3gta	Q96CA5	Q96CA5	Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (Kidney inhibitor of apoptosis protein) (KIAP) (Livin) (Melanoma inhibitor of apoptosis protein) (ML-IAP) (RING finger protein 50) (RING-type E3 ubiquitin transferase BIRC7) [Cleaved into: Baculoviral IAP repeat-containing protein 7 30kDa subunit (Truncated livin) (p30-Livin) (tLivin)]	Baculoviral IAP repeat-containing protein 7	Other	CHEMBL1075127	Q96CA5	Baculoviral IAP repeat-containing protein 7	SINGLE PROTEIN
3gt9	Q96CA5	Q96CA5	Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (Kidney inhibitor of apoptosis protein) (KIAP) (Livin) (Melanoma inhibitor of apoptosis protein) (ML-IAP) (RING finger protein 50) (RING-type E3 ubiquitin transferase BIRC7) [Cleaved into: Baculoviral IAP repeat-containing protein 7 30kDa subunit (Truncated livin) (p30-Livin) (tLivin)]	Baculoviral IAP repeat-containing protein 7	Other	CHEMBL1075127	Q96CA5	Baculoviral IAP repeat-containing protein 7	SINGLE PROTEIN
3uw5	Q96CA5,P98170	Q96CA5	Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (Kidney inhibitor of apoptosis protein) (KIAP) (Livin) (Melanoma inhibitor of apoptosis protein) (ML-IAP) (RING finger protein 50) (RING-type E3 ubiquitin transferase BIRC7) [Cleaved into: Baculoviral IAP repeat-containing protein 7 30kDa subunit (Truncated livin) (p30-Livin) (tLivin)]	Baculoviral IAP repeat-containing protein 7	Other	CHEMBL1075127	Q96CA5	Baculoviral IAP repeat-containing protein 7	SINGLE PROTEIN
5y3n	Q12931	Q12931	Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)	Heat shock protein 75 kDa, mitochondrial	Other	CHEMBL1075132	Q12931	Heat shock protein 75 kDa, mitochondrial	SINGLE PROTEIN
5y3o	Q12931	Q12931	Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)	Heat shock protein 75 kDa, mitochondrial	Other	CHEMBL1075132	Q12931	Heat shock protein 75 kDa, mitochondrial	SINGLE PROTEIN
4ly9	Q14397	Q14397	Glucokinase regulatory protein (GKRP) (Glucokinase regulator)	Glucokinase regulatory protein	Enzyme	CHEMBL1075152	Q14397	Glucokinase regulatory protein	SINGLE PROTEIN
4msu	Q14397	Q14397	Glucokinase regulatory protein (GKRP) (Glucokinase regulator)	Glucokinase regulatory protein	Enzyme	CHEMBL1075152	Q14397	Glucokinase regulatory protein	SINGLE PROTEIN
4ohm	Q14397	Q14397	Glucokinase regulatory protein (GKRP) (Glucokinase regulator)	Glucokinase regulatory protein	Enzyme	CHEMBL1075152	Q14397	Glucokinase regulatory protein	SINGLE PROTEIN
4mqu	Q14397	Q14397	Glucokinase regulatory protein (GKRP) (Glucokinase regulator)	Glucokinase regulatory protein	Enzyme	CHEMBL1075152	Q14397	Glucokinase regulatory protein	SINGLE PROTEIN
4oho	Q14397	Q14397	Glucokinase regulatory protein (GKRP) (Glucokinase regulator)	Glucokinase regulatory protein	Enzyme	CHEMBL1075152	Q14397	Glucokinase regulatory protein	SINGLE PROTEIN
4ohp	Q14397	Q14397	Glucokinase regulatory protein (GKRP) (Glucokinase regulator)	Glucokinase regulatory protein	Enzyme	CHEMBL1075152	Q14397	Glucokinase regulatory protein	SINGLE PROTEIN
4mro	Q14397	Q14397	Glucokinase regulatory protein (GKRP) (Glucokinase regulator)	Glucokinase regulatory protein	Enzyme	CHEMBL1075152	Q14397	Glucokinase regulatory protein	SINGLE PROTEIN
4ohk	Q14397	Q14397	Glucokinase regulatory protein (GKRP) (Glucokinase regulator)	Glucokinase regulatory protein	Enzyme	CHEMBL1075152	Q14397	Glucokinase regulatory protein	SINGLE PROTEIN
5vfd	Q8RLA6	Q8RLA6	Beta-lactamase (Carbapenem-hydrolyzing beta-lactamase OXA-40) (Carbapenem-hydrolyzing class D beta-lactamase OXA-24) (Carbapenem-hydrolyzing oxacillinase) (Carbapenem-hydrolyzing oxacillinase OXA-40) (Carbapenemase OXA-24) (Class D beta-lactamase OXA-40) (OXA-24 class D beta-lactamase) (OXA24 B-lactamase) (Oxa40)	None	Unclassified	CHEMBL1075159	Q8RLA6	Beta-lactamase	SINGLE PROTEIN
4uwh	Q8NEB9	Q8NEB9	Phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3-kinase type 3) (PI3K type 3) (PtdIns-3-kinase type 3) (EC 2.7.1.137) (Phosphatidylinositol 3-kinase p100 subunit) (Phosphoinositide-3-kinase class 3) (hVps34)	Phosphatidylinositol 3-kinase catalytic subunit type 3	Kinase	CHEMBL1075165	Q8NEB9	Phosphatidylinositol 3-kinase catalytic subunit type 3	SINGLE PROTEIN
4ph4	Q8NEB9	Q8NEB9	Phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3-kinase type 3) (PI3K type 3) (PtdIns-3-kinase type 3) (EC 2.7.1.137) (Phosphatidylinositol 3-kinase p100 subunit) (Phosphoinositide-3-kinase class 3) (hVps34)	Phosphatidylinositol 3-kinase catalytic subunit type 3	Kinase	CHEMBL1075165	Q8NEB9	Phosphatidylinositol 3-kinase catalytic subunit type 3	SINGLE PROTEIN
4uwf	Q8NEB9	Q8NEB9	Phosphatidylinositol 3-kinase catalytic subunit type 3 (PI3-kinase type 3) (PI3K type 3) (PtdIns-3-kinase type 3) (EC 2.7.1.137) (Phosphatidylinositol 3-kinase p100 subunit) (Phosphoinositide-3-kinase class 3) (hVps34)	Phosphatidylinositol 3-kinase catalytic subunit type 3	Kinase	CHEMBL1075165	Q8NEB9	Phosphatidylinositol 3-kinase catalytic subunit type 3	SINGLE PROTEIN
3djv	P00669	P00669	Seminal ribonuclease (S-RNase) (Seminal RNase) (EC 4.6.1.18) (Ribonuclease BS-1)	None	Unclassified	CHEMBL1075179	P00669	Seminal ribonuclease	SINGLE PROTEIN
3djq	P00669	P00669	Seminal ribonuclease (S-RNase) (Seminal RNase) (EC 4.6.1.18) (Ribonuclease BS-1)	None	Unclassified	CHEMBL1075179	P00669	Seminal ribonuclease	SINGLE PROTEIN
3djo	P00669	P00669	Seminal ribonuclease (S-RNase) (Seminal RNase) (EC 4.6.1.18) (Ribonuclease BS-1)	None	Unclassified	CHEMBL1075179	P00669	Seminal ribonuclease	SINGLE PROTEIN
4en4	O00764	O00764	Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase)	Pyridoxal kinase	Kinase	CHEMBL1075181	O00764	Pyridoxal kinase	SINGLE PROTEIN
1wm1	O32449	O32449	Proline iminopeptidase (PIP) (EC 3.4.11.5) (Prolyl aminopeptidase) (PAP)	None	Unclassified	CHEMBL1075256	O32449	Proline iminopeptidase	SINGLE PROTEIN
4es0	Q9UPS6,P61964	P61964	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	WD repeat-containing protein 5	Other	CHEMBL1075317	P61964	WD repeat-containing protein 5	SINGLE PROTEIN
3uvo	Q9UPS6,P61964	P61964	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	WD repeat-containing protein 5	Other	CHEMBL1075317	P61964	WD repeat-containing protein 5	SINGLE PROTEIN
3psl	P61964	P61964	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	WD repeat-containing protein 5	Other	CHEMBL1075317	P61964	WD repeat-containing protein 5	SINGLE PROTEIN
2h9n	P61964	P61964	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	WD repeat-containing protein 5	Other	CHEMBL1075317	P61964	WD repeat-containing protein 5	SINGLE PROTEIN
3emh	Q03164,P61964	P61964	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	WD repeat-containing protein 5	Other	CHEMBL1075317	P61964	WD repeat-containing protein 5	SINGLE PROTEIN
5vfc	P61964	P61964	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	WD repeat-containing protein 5	Other	CHEMBL1075317	P61964	WD repeat-containing protein 5	SINGLE PROTEIN
4gm8	P61964	P61964	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	WD repeat-containing protein 5	Other	CHEMBL1075317	P61964	WD repeat-containing protein 5	SINGLE PROTEIN
6dar	P61964	P61964	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	WD repeat-containing protein 5	Other	CHEMBL1075317	P61964	WD repeat-containing protein 5	SINGLE PROTEIN
6das	P61964	P61964	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	WD repeat-containing protein 5	Other	CHEMBL1075317	P61964	WD repeat-containing protein 5	SINGLE PROTEIN
3mlb	C3L5T6	C3L5T6	Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	None	Unclassified	CHEMBL1075320	C3L5T6	Nicotinate-nucleotide adenylyltransferase	SINGLE PROTEIN
4nh9	P14625	P14625	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog)	Endoplasmin	Other	CHEMBL1075323	P14625	Endoplasmin	SINGLE PROTEIN
4u6r	O75460	O75460	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	Serine/threonine-protein kinase/endoribonuclease IRE1	Kinase	CHEMBL1163101	O75460	Serine/threonine-protein kinase/endoribonuclease IRE1	SINGLE PROTEIN
4yzc	O75460	O75460	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	Serine/threonine-protein kinase/endoribonuclease IRE1	Kinase	CHEMBL1163101	O75460	Serine/threonine-protein kinase/endoribonuclease IRE1	SINGLE PROTEIN
4z7h	O75460	O75460	Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]	Serine/threonine-protein kinase/endoribonuclease IRE1	Kinase	CHEMBL1163101	O75460	Serine/threonine-protein kinase/endoribonuclease IRE1	SINGLE PROTEIN
4hbv	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
3p5o	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5kj0	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4o76	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5h21	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5d0c	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
6afr	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4cfl	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4o7b	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5y1y	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5cp5	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4uyd	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4pci	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
6cj1	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5eis	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
2yem	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4j0s	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4o72	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4hbx	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5ueu	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
3u5l	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4ogj	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4bw1	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4bw2	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4bw3	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4bw4	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
3zyu	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4o70	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4cl9	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4e96	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4hby	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4j0r	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5khm	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
6boy	Q16531,Q96SW2,O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4hxr	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4hxl	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4hxm	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4mr4	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
2yel	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4qzs	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
3u5j	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5hls	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4men	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4o7e	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4nuc	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5igk	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4clb	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5acy	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5cqt	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4pce	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4wiv	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4bjx	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4qr3	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4qr4	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4qr5	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4f3i	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5uoo	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4z93	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5lj1	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5a5s	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5a85	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
5lj2	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
4yh3	O60885	O60885	Bromodomain-containing protein 4 (Protein HUNK1)	Bromodomain-containing protein 4	Epigenetic	CHEMBL1163125	O60885	Bromodomain-containing protein 4	SINGLE PROTEIN
