pdb_id	-logAffi
3b3x	3.6
2oq6	3.6
2xdk	3.6
3ftu	3.61
4qp1	3.61
4bkt	3.62
4nrc	3.62
1pb9	3.62
3px8	3.64
2v00	3.66
3oy8	3.66
3fts	3.67
2za3	3.68
4mx1	3.68
2a8g	3.69
5ai0	3.69
4tte	3.69
3n7a	3.7
1loq	3.7
1uyd	3.7
3mrt	3.7
5j41	3.7
3l59	3.7
1uy6	3.7
3zlw	3.7
3ms2	3.72
4tln	3.72
2vta	3.73
4yk0	3.74
3gep	3.75
3d6q	3.76
3nuu	3.77
3wkd	3.77
3qi3	3.78
1nje	3.8
1li6	3.8
3vv6	3.8
5uf0	3.8
3ai8	3.81
4q9s	3.81
3g2h	3.82
5acw	3.84
3ril	3.84
2yb0	3.85
5dtq	3.86
3npa	3.87
4ijl	3.87
3h03	3.87
5lm4	3.88
5eqe	3.88
3u4i	3.89
3ti1	3.89
1xfv	3.89
4n9c	3.9
2vth	3.92
2v3d	3.94
2h9n	3.94
1mrs	3.96
5c3k	3.96
3fu6	3.97
4agn	3.97
5c85	3.98
2uup	3.98
2g8r	3.99
4i7l	3.99
4tuh	4.0
2c8y	4.0
2ohr	4.0
5a5p	4.0
1lgw	4.0
5jao	4.0
1gfz	4.0
2vtl	4.01
4eym	4.01
2wvz	4.02
4k8a	4.02
5u5k	4.02
4msn	4.03
2ohp	4.03
3mt7	4.03
4wmv	4.03
5hng	4.03
2qrm	4.03
1hi5	4.04
5epr	4.04
3thd	4.05
3fjz	4.05
3h2f	4.06
5h9s	4.06
4b85	4.06
2va5	4.07
5mpz	4.07
1wax	4.07
3kwa	4.08
1y2g	4.08
1o0n	4.09
3g2n	4.09
1y2b	4.09
4uyd	4.1
3ewz	4.1
5t7s	4.1
2qiq	4.1
4do3	4.1
3iod	4.1
4c66	4.1
3oyw	4.11
3l5d	4.11
2exm	4.11
4mi3	4.12
3fu5	4.12
3qto	4.13
4i7m	4.14
4trw	4.14
3tvx	4.14
3adu	4.14
5fpi	4.14
5lvq	4.14
5ow1	4.15
4esi	4.15
5aan	4.15
3dz2	4.15
3q8h	4.15
2alv	4.15
4cr5	4.15
4w54	4.17
3qfd	4.17
5op8	4.18
3sv2	4.19
3cft	4.19
1ghw	4.2
5n20	4.21
1yon	4.21
4tw6	4.21
2qmj	4.21
3wkb	4.21
5wbo	4.21
5ut6	4.24
2bes	4.24
5csp	4.24
1li3	4.25
5om9	4.25
5ei3	4.25
3u4h	4.25
5uiq	4.26
5mgf	4.27
3ijg	4.27
4y2s	4.28
2wmr	4.28
5f2r	4.28
3i4a	4.28
5al1	4.28
4i3z	4.29
4z7q	4.29
2xnn	4.3
5aic	4.3
5dtm	4.3
4jc1	4.3
2ylq	4.3
4wyz	4.3
4b7z	4.31
3wk8	4.31
4rsk	4.32
4u43	4.32
2ha6	4.32
3l7a	4.33
2uze	4.33
4ijh	4.33
1z6s	4.34
1e3v	4.34
3wpn	4.36
4idz	4.36
1wbw	4.36
1bhf	4.38
2wmu	4.38
3u9q	4.38
4bek	4.39
3djo	4.39
4b82	4.39
5e8w	4.39
3e62	4.39
3zls	4.4
2ohs	4.4
2vio	4.4
1p57	4.4
3np9	4.4
1no6	4.41
3rsx	4.41
3iqi	4.41
5dtr	4.41
3zqt	4.41
5bot	4.41
5ka9	4.41
4q7s	4.42
5sz9	4.42
4nrb	4.42
4cc5	4.42
1h00	4.42
5h9q	4.42
5eps	4.42
5tus	4.43
2a3c	4.43
5f2p	4.43
4zw5	4.43
2f6v	4.43
3pxq	4.43
5g4o	4.43
2pu2	4.43
4zsr	4.44
4x2l	4.44
2amt	4.44
1v1k	4.46
5akg	4.46
3hl5	4.47
2r2w	4.47
2f70	4.47
3hec	4.47
5tya	4.48
3p17	4.48
2wwj	4.48
1jaq	4.48
3h26	4.49
2prj	4.49
5ovx	4.5
5lj1	4.5
4d2w	4.51
5aqg	4.51
2xf0	4.52
1a85	4.52
3ccb	4.52
2opy	4.52
2bua	4.52
1mrn	4.52
3h30	4.53
1oko	4.54
4m5h	4.54
5etb	4.54
3zn1	4.54
1h08	4.55
3p8p	4.55
3vby	4.55
4mx5	4.55
3djv	4.55
4dhr	4.57
1w2g	4.57
4xua	4.59
3f3t	4.59
3iqh	4.59
3h2o	4.59
4zun	4.59
1kak	4.59
4yh3	4.59
1l2s	4.59
3msk	4.59
3iqg	4.6
2vb8	4.6
1u33	4.6
4p58	4.6
2yof	4.6
2jaj	4.6
3cpb	4.6
2ybp	4.62
2ybk	4.62
2f6t	4.62
5m39	4.62
5ngr	4.62
3mtb	4.63
5etl	4.64
4hbv	4.64
3wbl	4.64
2yhd	4.64
4w9c	4.65
3qtv	4.65
4i1r	4.65
1bzj	4.66
4b84	4.66
3rme	4.66
1h01	4.66
4xum	4.67
2uy4	4.68
5op6	4.68
1ol1	4.68
5aoj	4.68
5eq1	4.68
4tpw	4.69
4agp	4.69
4o7b	4.7
4uy1	4.7
1agw	4.7
5wbm	4.7
4huo	4.7
3uqf	4.7
1gpy	4.7
1c86	4.7
1v2t	4.71
2qrh	4.71
4m5l	4.72
184l	4.72
1urc	4.72
4o70	4.72
1vso	4.72
4jfi	4.74
3gxt	4.74
3f3u	4.74
4m5m	4.74
2xg3	4.74
3rl7	4.74
2xzg	4.74
3g2j	4.75
4p7e	4.76
5lp6	4.76
3rm9	4.77
3t3i	4.77
5ho7	4.77
5mks	4.77
5wbr	4.77
5ccl	4.77
2qn1	4.77
3g2k	4.79
5eko	4.8
3kce	4.8
3mlb	4.8
2nta	4.8
3o2m	4.8
5jq7	4.8
4kwf	4.82
4ie5	4.82
2xp8	4.82
2gzl	4.82
3unk	4.82
3wk5	4.82
3kmx	4.82
4l7n	4.84
4njd	4.84
4m5j	4.84
4w57	4.85
5u5l	4.85
3ru1	4.85
4wmx	4.85
2r9x	4.85
1uu7	4.85
5fbe	4.85
3ik1	4.85
5lyy	4.85
5i40	4.86
3g2i	4.86
2brb	4.86
1zd5	4.87
3lp4	4.88
2ylo	4.88
4l7o	4.88
5ipc	4.89
5l3a	4.89
4o7f	4.89
5ku3	4.89
4cd1	4.89
1pxj	4.89
5ii2	4.89
4a9i	4.9
3chd	4.92
3i6c	4.92
4re9	4.92
5d3t	4.92
5whc	4.92
3k15	4.92
5ehp	4.92
3dgq	4.92
4n8d	4.92
1bzc	4.92
4j47	4.92
1e1v	4.92
3uxk	4.93
5f32	4.94
4f1q	4.95
4cft	4.95
3n87	4.96
4jsa	4.96
5sy2	4.96
1gj5	4.96
3udr	4.96
2c6i	4.96
3unj	4.96
5sxn	4.96
4c16	4.96
2yoh	4.96
5al3	4.96
4e3g	4.97
3zn0	4.97
2rox	4.98
3gjs	4.99
3hrf	4.99
4rn1	5.0
3ezr	5.0
4n5g	5.0
2bgd	5.0
3vbv	5.0
1w2h	5.0
5lj2	5.0
1fv9	5.0
1gsf	5.0
2oiq	5.0
3new	5.0
4g11	5.0
1fgi	5.0
3cfn	5.0
4lv4	5.0
1c84	5.0
3ads	5.01
4uzh	5.01
4l7r	5.02
2or4	5.02
5d1s	5.02
3smq	5.02
4yat	5.03
4trz	5.03
2oht	5.04
5f25	5.04
2wmv	5.04
5d3n	5.04
4z7o	5.04
1qxk	5.05
1dgm	5.05
2brc	5.05
5acx	5.05
4ie7	5.05
3s2o	5.05
4y2y	5.05
5auw	5.05
4yzu	5.05
5c1w	5.06
5i0b	5.06
4ebw	5.06
3f68	5.06
5luu	5.06
3r00	5.07
4yab	5.07
2c3l	5.07
4xx9	5.08
4drk	5.08
4ie0	5.08
3w2o	5.08
4oiv	5.08
4mho	5.08
1enu	5.08
4cq0	5.09
1zkl	5.09
4r4q	5.09
5fhm	5.09
1w7g	5.1
2r9w	5.1
5d3h	5.1
4cdr	5.1
4rn6	5.1
5f39	5.1
4b77	5.1
3nif	5.1
1zaj	5.1
3p4v	5.1
1t4j	5.1
4e49	5.11
5lbq	5.11
4gj6	5.12
3kad	5.12
2yjw	5.12
4f1l	5.12
5vsb	5.12
4bio	5.12
4ay6	5.12
1uv6	5.12
3hb8	5.12
3wk4	5.13
3s9e	5.13
1gcz	5.13
3o8g	5.13
2yaz	5.14
4xjt	5.14
4iks	5.14
2hqu	5.14
1pb8	5.15
5alw	5.15
4pce	5.15
2ooz	5.15
1t1s	5.15
1g6s	5.15
1ljt	5.15
3msl	5.15
4b83	5.15
5v83	5.16
3b27	5.16
1q1m	5.16
1oe0	5.16
3nzx	5.17
5fdz	5.17
2zfp	5.17
4m5i	5.17
3kag	5.18
2qrg	5.18
5tbp	5.18
1xur	5.18
2c5o	5.19
2xey	5.19
5h21	5.19
1ogg	5.19
3ov1	5.2
4mk0	5.2
4bw2	5.2
3wk6	5.2
3rth	5.21
1re1	5.21
5ty1	5.21
2hxm	5.22
2xwy	5.22
1gjd	5.22
1gi9	5.22
3iof	5.22
3ijz	5.22
3vbw	5.22
1o5c	5.22
1zz2	5.22
3udp	5.22
1pw6	5.22
4qp7	5.23
2q38	5.23
4mh7	5.23
3e16	5.24
2jfz	5.24
1zrz	5.24
3okh	5.24
4o7e	5.24
2vvt	5.24
4drm	5.24
3r01	5.24
3mqf	5.24
4r5x	5.26
4jaj	5.26
2az5	5.27
3chp	5.27
3o5x	5.28
2vip	5.28
4n9b	5.28
2x2l	5.28
5urj	5.28
4wy1	5.29
5x9o	5.3
3elj	5.3
1di9	5.3
1yxd	5.3
3ckr	5.3
3ri1	5.3
2o1v	5.3
3p8h	5.3
2ww0	5.3
1vyq	5.3
5a85	5.3
1w0x	5.3
4wvt	5.31
5t4u	5.32
5nhz	5.33
1zgi	5.34
1k08	5.34
3r8i	5.35
3hkn	5.35
4wgi	5.35
3ldq	5.36
4hby	5.36
4c1d	5.36
5drt	5.36
2qn3	5.36
5t4e	5.36
3bv9	5.36
2vd7	5.38
1hs6	5.38
2xke	5.38
4umq	5.38
4hlw	5.38
4ebv	5.38
4kz0	5.38
1hy7	5.39
3hkt	5.39
4btm	5.39
2xpa	5.39
1qbv	5.39
5i83	5.39
4hxr	5.39
4nwd	5.4
4c5d	5.4
3qcl	5.4
3gwx	5.4
2g24	5.4
5m2v	5.4
1yi3	5.4
1bp0	5.4
5eqp	5.4
5mqe	5.4
5etm	5.41
3kai	5.41
5m7t	5.41
5cbs	5.41
5u5t	5.41
4dro	5.41
3arn	5.41
3qci	5.42
1xot	5.42
1gja	5.42
1nu8	5.42
5ksx	5.43
1fq7	5.43
2qu2	5.43
4p2t	5.43
2qln	5.43
3k0k	5.43
3ggc	5.44
3my1	5.45
4zly	5.46
5txy	5.46
2fie	5.46
4qb3	5.47
1gi1	5.47
5u0f	5.47
5nn5	5.47
2hz4	5.47
3qch	5.48
3vp1	5.48
4ycu	5.48
4c5w	5.48
4jfm	5.48
5lkr	5.48
2qyk	5.48
4kp8	5.48
4d2r	5.48
4ie4	5.48
2o0u	5.49
2h4k	5.49
3bvb	5.49
2uy5	5.49
4w9f	5.49
3lfn	5.5
2ajb	5.5
3cn0	5.51
2uym	5.51
4zgk	5.51
3da9	5.51
3u51	5.51
3cgo	5.52
5nn6	5.52
3i97	5.52
5juz	5.52
2gz8	5.52
3hqr	5.52
4en4	5.52
2ga2	5.52
1a8i	5.52
3iog	5.52
5a81	5.54
4dtt	5.54
4o0t	5.54
1ha2	5.54
4r4c	5.54
5lgn	5.54
4fri	5.55
3sdg	5.55
5l2n	5.55
4p5e	5.55
4ie6	5.55
5vcx	5.55
1njd	5.57
5all	5.57
5t9w	5.59
4kxm	5.59
3sha	5.59
5n9r	5.59
5toe	5.6
3qcf	5.6
2f71	5.6
1lev	5.6
5boy	5.6
3bl1	5.6
5lhg	5.6
4zzy	5.6
3cbp	5.6
3qce	5.6
5d6p	5.6
5a82	5.6
4btl	5.6
3u5j	5.61
1fyr	5.62
1a08	5.62
1cqp	5.62
2xk8	5.62
5d0c	5.63
1f57	5.64
3hv6	5.64
3fwv	5.64
3s8l	5.64
1hlf	5.64
3iw7	5.64
2ojg	5.64
2xkd	5.64
4zs0	5.64
1z9g	5.64
5tcc	5.66
5c28	5.66
4yo6	5.66
4hxl	5.66
3oxi	5.66
1n5r	5.66
1o43	5.66
5g3m	5.66
4l70	5.66
2f4j	5.66
2h15	5.67
3zmp	5.67
3vi5	5.68
5o2d	5.68
1nhx	5.68
2vr4	5.68
4jfj	5.68
4d2p	5.68
4c52	5.68
2i4z	5.7
2gpp	5.7
5lz4	5.7
3c4h	5.7
4tky	5.7
5m3a	5.7
3g0c	5.7
1n1m	5.7
2a14	5.7
3b0w	5.7
4aa7	5.7
5k1v	5.7
1g4k	5.7
4f39	5.7
4b13	5.7
4l2l	5.7
3kku	5.7
2xpb	5.7
5ajz	5.7
2ya6	5.7
2x7c	5.7
2o3z	5.7
2oz2	5.71
2uz9	5.71
4obz	5.72
5lx6	5.72
5y9l	5.72
4hbx	5.72
5b5o	5.72
3b1u	5.72
3c4f	5.72
4xuh	5.73
5q0y	5.73
3m3z	5.73
3bqc	5.73
5cbr	5.74
2c68	5.74
4p4d	5.74
2viy	5.74
3jyj	5.74
2ph8	5.74
4f70	5.74
3bzi	5.74
3pb7	5.74
4zsp	5.74
1zdp	5.74
1o5e	5.74
4dk8	5.74
4j3i	5.74
5am5	5.74
4o2b	5.74
4mn3	5.75
5ntt	5.75
4iku	5.75
5y5n	5.76
4nwc	5.76
4a95	5.76
1rhm	5.76
2h44	5.77
2pg2	5.77
2xp7	5.77
4lbo	5.77
1jj9	5.77
5jas	5.77
3rm4	5.77
1jmf	5.77
5f37	5.77
3njy	5.77
5fsn	5.77
5dda	5.78
4z2k	5.78
2y5h	5.79
1y57	5.79
3e63	5.8
5kyk	5.8
2i40	5.8
1ppm	5.8
3k16	5.8
5t23	5.8
1jvp	5.8
1wug	5.8
3il5	5.8
1lkl	5.81
4xs2	5.82
4e9u	5.82
1ktt	5.82
1zyj	5.82
5tb6	5.82
3fzs	5.82
4a9n	5.82
5w5j	5.82
3iue	5.82
2ym4	5.82
2nn1	5.82
2xk7	5.82
4k9g	5.82
5a3w	5.82
2xez	5.82
4p5d	5.82
3ind	5.82
4rqk	5.82
4yax	5.82
4edy	5.83
4bzn	5.84
4oex	5.84
1utz	5.85
1tqf	5.85
4bis	5.85
1yw7	5.85
4gsc	5.85
5egu	5.85
1qbn	5.85
2bro	5.85
3duy	5.85
5q0z	5.85
4qr3	5.85
6bfe	5.85
4mga	5.86
3vf3	5.86
5akj	5.86
4cfl	5.88
5h09	5.88
1u6q	5.88
2ooh	5.89
5u62	5.89
1e1x	5.89
3wzu	5.89
3wgw	5.89
5ngt	5.89
2viq	5.89
5oxg	5.89
3f9n	5.89
2qlb	5.89
1fpi	5.89
4qmu	5.89
5d3s	5.89
1ydk	5.89
5u5h	5.89
4p6e	5.89
2tmn	5.89
5a5s	5.9
4lkt	5.9
1v2n	5.9
4bw1	5.9
5fhn	5.9
2g01	5.91
5cp5	5.91
3jzk	5.91
5ivc	5.92
2q96	5.92
4qye	5.92
4h1j	5.92
4ot6	5.92
5i12	5.92
4ztl	5.92
5eq0	5.92
1yet	5.92
5ax3	5.92
4gja	5.92
3vqh	5.92
2g9v	5.92
1pph	5.92
4mdq	5.92
4l3p	5.92
4i6b	5.93
4mr4	5.94
3lmk	5.94
3lnk	5.94
2c4g	5.94
5ale	5.95
5ekh	5.95
5ttw	5.96
6eqp	5.96
4urk	5.96
2q92	5.96
5ho8	5.96
4qxs	5.96
5jzn	5.96
5n21	5.96
4msc	5.96
5vcw	5.96
4w9i	5.96
1nl9	5.96
1d6w	5.96
4n1b	5.96
2fhy	5.96
4yvc	5.96
5vse	5.97
4fm8	5.97
5ald	5.97
3ezv	5.98
3huc	5.99
2am1	6.0
1zgv	6.0
1a1e	6.0
3uh2	6.0
2ym3	6.0
4jv7	6.0
1xgj	6.0
1ceb	6.0
2r3i	6.0
5vd1	6.0
2w8g	6.0
1tou	6.0
3f69	6.0
1i7g	6.0
4g2y	6.0
5ekj	6.0
4rs0	6.0
4l7l	6.0
1f40	6.0
1ke8	6.0
4pzx	6.0
1uym	6.0
1di8	6.0
2qhn	6.01
1awf	6.01
5lz8	6.01
2vl4	6.01
5y1y	6.01
5uez	6.01
3coy	6.02
3pi5	6.02
5f5i	6.02
2xwe	6.02
4tjw	6.02
1okl	6.03
4nuc	6.04
2wbb	6.04
5ll5	6.04
3lbk	6.04
3zlq	6.04
2w1d	6.04
2w2i	6.04
1xbo	6.04
3gus	6.05
5ur9	6.05
3max	6.05
4eon	6.05
3f66	6.05
5h17	6.05
5f3c	6.05
5tur	6.05
2q11	6.05
2nns	6.05
5avi	6.06
5jhb	6.06
1jmi	6.06
2xkf	6.06
3b25	6.07
2vtn	6.07
1mmp	6.07
2wmx	6.07
5jv1	6.07
3le8	6.07
2w5g	6.07
1awh	6.08
5ll9	6.08
3bkk	6.08
1nhz	6.08
5h9r	6.08
3rhx	6.08
1kz8	6.08
4kp5	6.08
4pni	6.09
5wuu	6.09
1ftj	6.09
5e7n	6.09
4e8y	6.09
5a3x	6.1
4ya8	6.1
5vom	6.1
4hxm	6.1
1zxv	6.1
4kxn	6.1
2vwz	6.1
2flr	6.1
1azm	6.1
4r5t	6.1
4l19	6.1
4kzq	6.1
4akn	6.1
2zu3	6.1
4j1h	6.11
4kao	6.11
4tqn	6.11
4c9w	6.11
5dd9	6.11
2o63	6.11
4aw5	6.12
5l2o	6.12
1o2g	6.12
5alo	6.13
4jlj	6.13
2uue	6.13
3kme	6.14
2fqt	6.14
5u49	6.14
4zx1	6.14
2zdz	6.15
3fpd	6.15
3usn	6.15
3v6r	6.15
2y1g	6.15
4hnf	6.15
3r7b	6.15
3bbt	6.15
3rm8	6.15
4r5v	6.15
1zs0	6.15
5dit	6.15
5lyw	6.15
4msl	6.15
2gfs	6.15
5etp	6.15
4p4j	6.15
1w6r	6.15
4mse	6.16
2evm	6.16
1ppc	6.16
4o04	6.16
5h0h	6.16
4b9k	6.17
3bkl	6.17
1a9q	6.17
1ndy	6.17
1yc1	6.17
5tzh	6.17
4ikt	6.17
1shd	6.17
1k1o	6.17
1okv	6.17
1xhy	6.18
1ke9	6.18
3wff	6.18
5km1	6.18
2c3j	6.18
2vti	6.18
4i4f	6.19
5l2t	6.19
3zcw	6.19
3fr4	6.19
3u5l	6.19
2p98	6.19
4umu	6.19
3v8s	6.19
5c84	6.19
2qyl	6.19
1f92	6.19
4b72	6.2
2gmv	6.2
2aj8	6.2
1owe	6.2
4k6i	6.2
4bw4	6.2
2zm3	6.21
4deh	6.21
3lmp	6.21
4eyj	6.21
3s8n	6.21
3n0h	6.21
5en3	6.21
3i7i	6.21
5ukk	6.21
5ktu	6.21
2uzl	6.21
4ir5	6.21
1l8g	6.22
4bqg	6.22
4b14	6.22
5bsk	6.22
2b53	6.22
3hvc	6.22
6aud	6.22
2ze1	6.22
4mdn	6.22
4kxl	6.22
4anq	6.22
2g6p	6.22
4mjo	6.22
4m0e	6.22
2viz	6.22
3h0w	6.22
2n0u	6.22
2qu3	6.23
4ikr	6.23
1pmu	6.23
3dv1	6.23
3ro4	6.23
4wr8	6.23
3s3v	6.23
1xn0	6.24
3vh9	6.24
4z22	6.24
3fqh	6.24
2qyn	6.24
1tow	6.24
5ajv	6.24
2fix	6.24
5mat	6.24
5ais	6.24
2q93	6.25
1ke5	6.25
2zdn	6.25
3bgz	6.26
3su4	6.26
1oyn	6.26
4li5	6.26
4wiv	6.26
2ok1	6.26
2wqb	6.27
4gb9	6.27
5arf	6.27
4uhg	6.27
4r4i	6.27
1pbq	6.27
2j94	6.27
6aol	6.27
3wix	6.27
4wvs	6.27
3oc0	6.28
2viv	6.28
4djw	6.28
2wo8	6.28
5i86	6.28
2g0g	6.29
4fjz	6.29
4y2x	6.29
4r06	6.29
3ipy	6.29
4qt0	6.29
5vsc	6.29
3g3n	6.29
1wm1	6.3
2w8f	6.3
4oq5	6.3
5brn	6.3
4a9m	6.3
5nar	6.3
4uyh	6.3
5ar5	6.3
3o23	6.3
4eor	6.3
6ayd	6.3
3vzd	6.3
4f63	6.3
2w4i	6.3
3g1m	6.3
5d25	6.3
4wf6	6.3
1a2c	6.3
5nb6	6.3
3s7b	6.3
1pwp	6.3
2zv2	6.3
4kio	6.3
4yfi	6.3
4alg	6.3
2op3	6.31
3q44	6.31
4z6i	6.31
2bal	6.31
4awq	6.32
2uyi	6.32
4qq5	6.32
2zb1	6.32
1t69	6.32
3ebh	6.32
5n49	6.33
2y1w	6.33
3nsh	6.33
3hv3	6.33
5x72	6.33
5fue	6.33
5up0	6.34
3iut	6.34
1i00	6.34
4hev	6.34
1cbx	6.35
1gjc	6.35
3eid	6.35
5tuy	6.35
5lz5	6.35
5k5e	6.35
3fr5	6.35
3ctt	6.35
2f2c	6.35
4zpe	6.35
5ant	6.36
1o49	6.36
3g90	6.36
3oku	6.36
2owb	6.36
1fta	6.36
4j0y	6.36
1gx8	6.37
2w9h	6.37
5qbv	6.37
4r91	6.37
5uqv	6.37
3i7g	6.37
5tln	6.37
5u7l	6.37
2zdk	6.37
2ym5	6.37
1xnx	6.38
1xm6	6.38
3oqk	6.38
3l3a	6.38
1o79	6.39
5tex	6.4
4e26	6.4
1a1c	6.4
1yvm	6.4
3dz4	6.4
4je7	6.4
5v24	6.4
3kmc	6.4
2g9q	6.4
1jrs	6.4
4cga	6.4
5ura	6.4
5uk8	6.4
5iuh	6.4
2zaz	6.4
1a1b	6.4
4hcv	6.4
3sfi	6.4
4dpf	6.4
4pmp	6.4
10gs	6.4
4r1y	6.4
2y8c	6.4
2a4l	6.4
1pye	6.41
5ihh	6.41
2wmw	6.41
5wbz	6.41
1xor	6.41
4j0r	6.41
5jxn	6.41
4zyc	6.42
2fw3	6.42
4j0s	6.42
1w0y	6.42
4wnk	6.42
1thl	6.42
1o5a	6.42
4i5p	6.42
1t46	6.43
4nh9	6.43
4cik	6.43
4deb	6.43
1n7j	6.43
1nax	6.43
2bzz	6.43
4z2j	6.43
1qti	6.44
4jfk	6.44
4ea1	6.44
5w84	6.44
2xnp	6.44
5al2	6.44
5m7m	6.45
5jss	6.45
5iwg	6.46
2xdx	6.46
1ro6	6.46
3tnh	6.46
1w2k	6.46
3pd8	6.46
1wbn	6.46
3o8p	6.46
4w4y	6.46
4n07	6.46
5ndd	6.46
5dbm	6.46
5he5	6.47
3gcq	6.47
5mes	6.47
3zh8	6.47
5nsp	6.47
1wbt	6.47
4zji	6.47
3cm2	6.47
6b4l	6.47
3nc9	6.48
2oz5	6.48
4n7e	6.48
1gpn	6.48
3p3u	6.48
3ara	6.49
5ar7	6.49
3u6a	6.49
3mho	6.49
2h02	6.49
5cu4	6.49
5vd0	6.49
3qar	6.49
5h19	6.49
1ru2	6.49
4hw3	6.49
4oc0	6.5
4yxi	6.5
4ith	6.5
2g72	6.5
4zbi	6.51
3hv4	6.51
5fdp	6.51
3hf8	6.51
5jvi	6.51
2y56	6.51
2wtc	6.51
5lgt	6.51
4krs	6.52
3uo4	6.52
4qps	6.52
2nt7	6.52
2f9b	6.52
4nj3	6.52
3qkk	6.52
2v3e	6.52
5fcw	6.52
2ima	6.52
2gz7	6.52
2vev	6.52
3c10	6.52
2x2k	6.52
3wtk	6.53
2p7g	6.53
1vyz	6.54
1hvy	6.54
4a4v	6.54
4pv5	6.54
3mxc	6.54
2zns	6.54
3hii	6.54
4w9k	6.54
5lsy	6.54
3sr4	6.54
1h39	6.54
4ht2	6.54
1d3q	6.54
3sl8	6.54
3g4k	6.54
2evc	6.54
3fuz	6.54
3piy	6.54
5cqu	6.54
1h3a	6.55
1hmr	6.55
1yc4	6.55
5sym	6.55
5he1	6.55
4frj	6.55
4iue	6.55
4qp8	6.55
4o9s	6.55
4og3	6.55
4tkf	6.55
5evz	6.57
3qox	6.57
5g1a	6.57
3ove	6.57
2c6l	6.57
4ge5	6.57
4byj	6.57
3cm7	6.57
5itd	6.58
3sd5	6.58
1k1i	6.58
2p7z	6.58
5em5	6.58
4xas	6.59
5ddd	6.59
4j51	6.59
4rn0	6.59
3kah	6.59
3kdt	6.59
5akh	6.59
1n7i	6.59
2y77	6.6
2xhx	6.6
4bie	6.6
5lma	6.6
5i88	6.6
3lxe	6.6
4qr4	6.6
3mpt	6.6
4ybi	6.6
1kwr	6.6
1jzs	6.6
5lqf	6.6
3eyl	6.6
3v3q	6.6
2gtk	6.6
4mr5	6.6
2a4z	6.6
5alk	6.6
1g7g	6.6
4f08	6.6
3tu1	6.6
4bib	6.6
5f00	6.6
3f7u	6.61
3qpo	6.61
3rjm	6.61
3kig	6.61
5syn	6.62
3opm	6.62
1soj	6.62
2zb0	6.62
4btk	6.62
5ugd	6.62
5q0j	6.62
5yjp	6.62
1afk	6.62
2vww	6.62
2cnf	6.62
5v42	6.62
5mw3	6.62
5t37	6.62
4l0v	6.63
4xip	6.63
6b97	6.63
2yfe	6.63
2qlq	6.63
2exc	6.63
4nw7	6.63
4jit	6.64
2srt	6.64
2za0	6.64
5jat	6.64
5i2e	6.64
5jap	6.64
3b26	6.64
2h96	6.64
1sln	6.64
5ko1	6.64
4cc6	6.64
3eoc	6.64
3eio	6.65
4z7h	6.66
2c5n	6.66
