"id","UniProt","Name","Family"
41,"Q9GZY4","Cytochrome c oxidase assembly factor 1 homolog","Enzyme"
42,"P10643","Complement component C7","Other"
43,"Q7L8W6","Diphthine--ammonia ligase","Enzyme"
44,"Q9BTV6","Diphthine methyltransferase","Enzyme"
45,"Q13057","Bifunctional coenzyme A synthase","Enzyme"
46,"P00414","Cytochrome c oxidase subunit 3","Enzyme"
47,"Q9NRP2","COX assembly mitochondrial protein 2 homolog","Other"
48,"O60397","Putative cytochrome c oxidase subunit 7A3, mitochondrial","Enzyme"
49,"Q6UWD8","Transmembrane protein C16orf54","Other"
50,"Q6ZW13","Uncharacterized protein C16orf86","Other"
51,"O43174","Cytochrome P450 26A1","Enzyme"
52,"P22680","Cholesterol 7-alpha-monooxygenase","Enzyme"
53,"P05177","Cytochrome P450 1A2","Other"
54,"O43809","Cleavage and polyadenylation specificity factor subunit 5","Other"
55,"Q02318","Sterol 26-hydroxylase, mitochondrial","Enzyme"
56,"Q16678","Cytochrome P450 1B1","Other"
57,"Q6UW02","Cytochrome P450 20A1","Other"
58,"P10635","Cytochrome P450 2D6","Enzyme"
59,"P05813","Beta-crystallin A3","Other"
60,"Q9NQ79","Cartilage acidic protein 1","Other"
61,"P43320","Beta-crystallin B2","Other"
62,"Q96RY5","Protein cramped-like","Other"
63,"O94985","Calsyntenin-1","Other"
64,"Q9GZN8","UPF0687 protein C20orf27","Other"
65,"Q8N8Q3","Endonuclease V","Enzyme"
66,"Q9H4G1","Cystatin-9-like","Other"
67,"Q5W188","Putative cystatin-9-like protein CST9LP1","Other"
68,"Q5W186","Cystatin-9","Other"
69,"Q9HC47","Cutaneous T-cell lymphoma-associated antigen 1","Other"
70,"Q96RT6","cTAGE family member 2","Other"
71,"Q8IX95","Putative cTAGE family member 3","Other"
72,"Q53GD3","Choline transporter-like protein 4","Transporter"
73,"O43310","CBP80/20-dependent translation initiation factor","Other"
74,"Q8NCS7","Choline transporter-like protein 5","Transporter"
75,"Q8WVB6","Chromosome transmission fidelity protein 18 homolog","Other"
76,"P26232","Catenin alpha-2","Other"
77,"A4FU28","cTAGE family member 9","Other"
78,"P29279","Connective tissue growth factor","Other"
79,"P52569","Cationic amino acid transporter 2","Transporter"
80,"Q8WZ74","Cortactin-binding protein 2","Other"
81,"Q7RTX7","Cation channel sperm-associated protein 4","Ion Channel"
82,"Q9N2K0","HERV-H_2q24.3 provirus ancestral Env polyprotein","Other"
83,"O42043","Endogenous retrovirus group K member 18 Env polyprotein","Other"
84,"Q6ZRH7","Cation channel sperm-associated protein subunit gamma","Other"
85,"Q9NTU4","Cation channel sperm-associated protein subunit zeta","Other"
86,"Q69384","Endogenous retrovirus group K member 6 Env polyprotein","Other"
87,"P61567","Endogenous retrovirus group K member 7 Env polyprotein","Other"
88,"Q902F8","Endogenous retrovirus group K member 8 Env polyprotein","Other"
89,"Q9H0I2","Enkurin domain-containing protein 1","Other"
90,"P58513","Putative uncharacterized protein encoded by LINC00158","Other"
91,"P58512","Uncharacterized protein encoded by LINC01547","Other"
92,"Q8TCZ7","Putative uncharacterized protein encoded by LINC00308","Other"
93,"P59091","Putative uncharacterized protein encoded by LINC00315","Other"
94,"O60494","Cubilin","Other"
95,"A0A1B0GTU2","Cortexin domain-containing 1","Other"
96,"A0A1B0GV90","Cortexin domain containing 2","Other"
97,"O60888","Protein CutA","Other"
98,"P06733","Alpha-enolase","Enzyme"
99,"P39880","Homeobox protein cut-like 1","Other"
100,"Q6ZV56","Putative uncharacterized protein C22orf34","Other"
101,"P13929","Beta-enolase","Enzyme"
102,"P09104","Gamma-enolase","Enzyme"
103,"Q02221","Cytochrome c oxidase subunit 6A2, mitochondrial","Enzyme"
104,"P14854","Cytochrome c oxidase subunit 6B1","Enzyme"
105,"Q969M2","Gap junction alpha-10 protein","Other"
106,"P48165","Gap junction alpha-8 protein","Other"
107,"P35212","Gap junction alpha-4 protein","Other"
108,"O95452","Gap junction beta-6 protein","Other"
109,"P19876","C-X-C motif chemokine 3","Other"
110,"P08034","Gap junction beta-1 protein","Other"
111,"P80162","C-X-C motif chemokine 6","Other"
112,"P02775","Platelet basic protein","Other"
113,"O75712","Gap junction beta-3 protein","Other"
114,"Q96KN9","Gap junction delta-4 protein","Other"
115,"P25025","C-X-C chemokine receptor type 2","GPCR"
116,"A6NN92","Putative gap junction epsilon-1 protein","Other"
117,"P61073","C-X-C chemokine receptor type 4","GPCR"
118,"P00167","Cytochrome b5","Other"
119,"Q9BQA9","Cytochrome b-245 chaperone 1","Other"
120,"Q9HB71","Calcyclin-binding protein","Other"
121,"P00156","Cytochrome b","Other"
122,"P00403","Cytochrome c oxidase subunit 2","Enzyme"
123,"Q7Z7K0","COX assembly mitochondrial protein homolog","Other"
124,"O14548","Cytochrome c oxidase subunit 7A-related protein, mitochondrial","Enzyme"
125,"P10632","Cytochrome P450 2C8","Other"
126,"P51589","Cytochrome P450 2J2","Other"
127,"Q86X59","Putative uncharacterized protein C17orf82","Other"
128,"A8MU93","Uncharacterized protein C17orf100","Other"
129,"Q96SQ9","Cytochrome P450 2S1","Other"
130,"O75718","Cartilage-associated protein","Other"
131,"O75462","Cytokine receptor-like factor 1","Other"
132,"Q9HC73","Cytokine receptor-like factor 2","Other"
133,"P02489","Alpha-crystallin A chain","Other"
134,"Q9Y2W7","Calsenilin","Ion Channel"
135,"P0DML2","Chorionic somatomammotropin hormone 1","Other"
136,"Q9BV81","ER membrane protein complex subunit 6","Other"
137,"Q9Y3B6","ER membrane protein complex subunit 9","Other"
138,"P50402","Emerin","Other"
139,"P15509","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha","Other"
140,"Q99062","Granulocyte colony-stimulating factor receptor","Other"
141,"Q96A84","EMI domain-containing protein 1","Other"
142,"Q8WXE0","Caskin-2","Other"
143,"Q7L5N1","COP9 signalosome complex subunit 6","Other"
144,"Q9UBW8","COP9 signalosome complex subunit 7a","Other"
145,"Q99708","DNA endonuclease RBBP8","Enzyme"
146,"P35221","Catenin alpha-1","Other"
147,"Q8WWI5","Choline transporter-like protein 1","Transporter"
148,"A4D2H0","cTAGE family member 15","Other"
149,"Q13618","Cullin-3","Other"
150,"Q13619","Cullin-4A","Other"
151,"Q9NTM9","Copper homeostasis protein cutC homolog","Other"
152,"O14529","Homeobox protein cut-like 2","Transcription Factor"
153,"P19875","C-X-C motif chemokine 2","Other"
154,"P42830","C-X-C motif chemokine 5","Other"
155,"P32302","C-X-C chemokine receptor type 5","GPCR"
156,"Q9NTQ9","Gap junction beta-4 protein","Other"
157,"O43927","C-X-C motif chemokine 13","Other"
158,"O95715","C-X-C motif chemokine 14","Other"
159,"Q6UXB2","C-X-C motif chemokine 17","Other"
160,"O15255","CAAX box protein 1","Other"
161,"P49447","Cytochrome b561","Other"
162,"P04839","Cytochrome b-245 heavy chain","Ion Channel"
163,"Q53TN4","Cytochrome b reductase 1","Enzyme"
164,"O95674","Phosphatidate cytidylyltransferase 2","Enzyme"
165,"Q5SZL2","Centrosomal protein of 85 kDa-like","Other"
166,"Q2WEN9","Carcinoembryonic antigen-related cell adhesion molecule 16","Other"
167,"A8MTB9","Carcinoembryonic antigen-related cell adhesion molecule 18","Other"
168,"Q9UPV0","Centrosomal protein of 164 kDa","Other"
169,"A6NDU8","UPF0600 protein C5orf51","Other"
170,"Q03701","CCAAT/enhancer-binding protein zeta","Other"
171,"Q9HCU4","Cadherin EGF LAG seven-pass G-type receptor 2","GPCR"
172,"Q711Q0","Cardiac-enriched FHL2-interacting protein","Other"
173,"Q16739","Ceramide glucosyltransferase","Enzyme"
174,"Q96LK0","Centrosomal protein of 19 kDa","Other"
175,"Q9BS16","Centromere protein K","Other"
176,"P07199","Major centromere autoantigen B","Other"
177,"Q9NYQ6","Cadherin EGF LAG seven-pass G-type receptor 1","GPCR"
178,"Q9BU64","Centromere protein O","Other"
179,"O15182","Centrin-3","Other"
180,"Q4VX62","Putative uncharacterized protein C6orf99","Other"
181,"Q6ZQR2","Cilia- and flagella-associated protein 77","Other"
182,"Q6P656","Cilia- and flagella-associated protein 161","Other"
183,"Q8IZ16","Uncharacterized protein C7orf61","Other"
184,"Q6ZUL3","Uncharacterized protein C8orf86","Other"
185,"E5RJ46","Uncharacterized protein C8orf87","Other"
186,"Q96KT6","Putative uncharacterized protein encoded by LINC00208","Other"
187,"Q96MT7","Cilia- and flagella-associated protein 44","Other"
188,"Q8N6G5","Chondroitin sulfate N-acetylgalactosaminyltransferase 2","Enzyme"
189,"Q8N1V2","Cilia- and flagella-associated protein 52","Other"
190,"Q96NF6","Putative uncharacterized protein C8orf49","Other"
191,"Q5T655","Cilia- and flagella-associated protein 58","Other"
192,"P61604","10 kDa heat shock protein, mitochondrial","Other"
193,"P09622","Dihydrolipoyl dehydrogenase, mitochondrial","Enzyme"
194,"Q9BUK0","Coiled-coil-helix-coiled-coil-helix domain-containing protein 7","Other"
195,"Q12873","Chromodomain-helicase-DNA-binding protein 3","Epigenetic"
196,"Q8TBE1","Protein cornichon homolog 3","Other"
197,"Q8IV77","Cyclic nucleotide-gated cation channel alpha-4","Ion Channel"
198,"Q9P003","Protein cornichon homolog 4","Other"
199,"Q14028","Cyclic nucleotide-gated cation channel beta-1","Ion Channel"
200,"P04440","HLA class II histocompatibility antigen, DP beta 1 chain","Other"
201,"P51911","Calponin-1","Other"
202,"Q86SG4","Putative Dresden prostate carcinoma protein 2","Other"
203,"Q9NRU3","Metal transporter CNNM1","Other"
204,"Q9BV87","Protein CNPPD1","Other"
205,"O75175","CCR4-NOT transcription complex subunit 3","Other"
206,"O95628","CCR4-NOT transcription complex subunit 4","Other"
207,"P21554","Cannabinoid receptor 1","GPCR"
208,"Q9UHC6","Contactin-associated protein-like 2","Other"
209,"Q9UFF9","CCR4-NOT transcription complex subunit 8","Other"
210,"Q92600","CCR4-NOT transcription complex subunit 9","Other"
211,"Q8N137","Centrobin","Other"
212,"Q7Z7A1","Centriolin","Other"
213,"A6NNL5","Uncharacterized protein C15orf61","Other"
214,"Q9BZG8","2-(3-amino-3-carboxypropyl)histidine synthase subunit 1","Other"
215,"P07358","Complement component C8 beta chain","Other"
216,"P01024","Complement C3","Other"
217,"Q14055","Collagen alpha-2(IX) chain","Other"
218,"P12109","Collagen alpha-1(VI) chain","Other"
219,"P12111","Collagen alpha-3(VI) chain","Other"
220,"A8TX70","Collagen alpha-5(VI) chain","Other"
221,"A6NMZ7","Collagen alpha-6(VI) chain","Other"
222,"P13671","Complement component C6","Other"
223,"Q9H2P9","Diphthine methyl ester synthase","Enzyme"
224,"O60762","Dolichol-phosphate mannosyltransferase subunit 1","Enzyme"
225,"O94777","Dolichol phosphate-mannose biosynthesis regulatory protein","Other"
226,"Q9P2X0","Dolichol-phosphate mannosyltransferase subunit 3","Enzyme"
227,"Q9H8M1","Coenzyme Q-binding protein COQ10 homolog B, mitochondrial","Other"
228,"Q10570","Cleavage and polyadenylation specificity factor subunit 1","Other"
229,"Q8TEY5","Cyclic AMP-responsive element-binding protein 3-like protein 4","Transcription Factor"
230,"Q7Z7G2","Complexin-4","Other"
231,"Q07973","1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial","Enzyme"
232,"Q8N1N5","Cysteine-rich PAK1 inhibitor","Other"
233,"P60606","Cortexin-1","Other"
234,"Q4LDR2","Cortexin-3","Other"
235,"Q2VPK5","Cytoplasmic tRNA 2-thiolation protein 2","Other"
236,"Q96M42","Putative uncharacterized protein encoded by LINC00479","Other"
237,"Q6ZN03","Putative uncharacterized protein encoded by LINC00322","Other"
238,"P58505","Uncharacterized protein C21orf58","Other"
239,"Q9NV44","Putative uncharacterized protein encoded by LINC00846","Other"
240,"P59036","Putative uncharacterized protein encoded by LINC00310","Other"
241,"P59037","Putative uncharacterized protein encoded by LINC00313","Other"
242,"P59089","Putative uncharacterized protein encoded by LINC00205","Other"
243,"Q9UJ94","Putative uncharacterized protein encoded by LINC00527","Other"
244,"Q13616","Cullin-1","Other"
245,"Q8IWT3","Cullin-9","Other"
246,"Q7L5Y1","Mitochondrial enolase superfamily member 1","Enzyme"
247,"P0DO92","Putative protein T-ENOL","Other"
248,"Q9NXE8","Pre-mRNA-splicing factor CWC25 homolog","Other"
249,"Q9UHY7","Enolase-phosphatase E1","Enzyme"
250,"Q9HAI6","Uncharacterized protein CXorf21","Other"
251,"Q8N9T2","Putative uncharacterized protein CXorf42","Other"
252,"Q96LI9","Putative uncharacterized protein CXorf58","Other"
253,"A0A1B0GTR3","Uncharacterized protein CXorf51A","Other"
254,"P0DPH9","Uncharacterized protein CXorf51B","Other"
255,"Q8N2A0","Putative uncharacterized protein encoded by LINC00269","Other"
256,"A6NEN9","Uncharacterized protein CXorf65","Other"
257,"Q16206","Ecto-NOX disulfide-thiol exchanger 2","Other"
258,"P49238","CX3C chemokine receptor 1","GPCR"
259,"P12074","Cytochrome c oxidase subunit 6A1, mitochondrial","Enzyme"
260,"P24310","Cytochrome c oxidase subunit 7A1, mitochondrial","Enzyme"
261,"P14406","Cytochrome c oxidase subunit 7A2, mitochondrial","Enzyme"
262,"Q6YFQ2","Cytochrome c oxidase subunit 6B2","Enzyme"
263,"P17302","Gap junction alpha-1 protein","Other"
264,"P36382","Gap junction alpha-5 protein","Other"
265,"P57773","Gap junction alpha-9 protein","Other"
266,"P78310","Coxsackievirus and adenovirus receptor","Other"
267,"Q6PEY0","Gap junction beta-7 protein","Other"
268,"P29033","Gap junction beta-2 protein","Other"
269,"Q8N144","Gap junction delta-3 protein","Other"
270,"O95377","Gap junction beta-5 protein","Other"
271,"O14625","C-X-C motif chemokine 11","Other"
272,"P49682","C-X-C chemokine receptor type 3","GPCR"
273,"Q7LFL8","CXXC-type zinc finger protein 5","Other"
274,"Q9P0U4","CXXC-type zinc finger protein 1","Epigenetic"
275,"P13498","Cytochrome b-245 light chain","Other"
276,"O43169","Cytochrome b5 type B","Other"
277,"P99999","Cytochrome c","Other"
278,"Q9NQC7","Ubiquitin carboxyl-terminal hydrolase CYLD","Enzyme"
279,"Q5TYM5","Protein FAM72A","Other"
280,"H0Y354","Protein FAM72C","Other"
281,"Q86UY5","Protein FAM83A","Other"
282,"Q5TA50","Ceramide-1-phosphate transfer protein","Other"
283,"Q9UNU6","7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase","Enzyme"
284,"P33261","Cytochrome P450 2C19","Other"
285,"P11509","Cytochrome P450 2A6","Other"
286,"O14810","Complexin-1","Other"
287,"Q8N436","Inactive carboxypeptidase-like protein X2","Enzyme"
288,"Q8IZJ3","C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8","Other"
289,"Q9Y4K1","Beta/gamma crystallin domain-containing protein 1","Other"
290,"Q9Y262","Eukaryotic translation initiation factor 3 subunit L","Other"
291,"Q6WN34","Chordin-like protein 2","Other"
292,"Q96D31","Calcium release-activated calcium channel protein 1","Ion Channel"
293,"Q8TCG5","Carnitine O-palmitoyltransferase 1, brain isoform","Enzyme"
294,"P23508","Colorectal mutant cancer protein","Other"
295,"Q9UGL9","Cysteine-rich C-terminal protein 1","Other"
296,"Q8IUH2","Protein CREG2","Other"
297,"Q494W8","CHRNA7-FAM7A fusion protein","Other"
298,"P02741","C-reactive protein","Other"
299,"Q9H336","Cysteine-rich secretory protein LCCL domain-containing 1","Other"
300,"Q5TZA2","Rootletin","Other"
301,"Q5IJ48","Protein crumbs homolog 2","Other"
302,"Q9BUF7","Protein crumbs homolog 3","Other"
303,"O43186","Cone-rod homeobox protein","Transcription Factor"
304,"O60716","Catenin delta-1","Other"
305,"Q9UQB3","Catenin delta-2","Other"
306,"Q9UBT7","Alpha-catulin","Other"
307,"Q8N4M1","Choline transporter-like protein 3","Transporter"
308,"Q8WY07","Cationic amino acid transporter 3","Transporter"
309,"Q05D32","CTD small phosphatase-like protein 2","Enzyme"
310,"Q8NEC5","Cation channel sperm-associated protein 1","Ion Channel"
311,"Q86XQ3","Cation channel sperm-associated protein 3","Ion Channel"
312,"Q99895","Chymotrypsin-C","Enzyme"
313,"Q9H7T0","Cation channel sperm-associated protein subunit beta","Other"
314,"Q86XM0","Cation channel sperm-associated protein subunit delta","Other"
315,"P61568","Putative endogenous retrovirus group K member 11-1 Env polyprotein","Other"
316,"Q9NX77","Endogenous retrovirus group K member 13-1 Env polyprotein","Other"
317,"O71037","Endogenous retrovirus group K member 19 Env polyprotein","Other"
318,"P61570","Endogenous retrovirus group K member 25 Env polyprotein","Other"
319,"Q9HDB8","Endogenous retrovirus group K member 5 Env polyprotein","Other"
320,"Q9UKH3","Endogenous retrovirus group K member 9 Env polyprotein","Other"
321,"Q7Z7A3","Cytoplasmic tRNA 2-thiolation protein 1","Other"
322,"Q03111","Protein ENL","Other"
323,"P0C2S0","Cortexin-2","Other"
324,"Q6XXX2","Putative uncharacterized protein encoded by LINC00114","Other"
325,"A6NIU2","Putative uncharacterized protein encoded by LINC01549","Other"
326,"A6NM66","Uncharacterized protein encoded by LINC01548","Other"
327,"Q9NYP8","Uncharacterized protein C21orf62","Other"
328,"Q9H467","CUE domain-containing protein 2","Other"
329,"Q93034","Cullin-5","Other"
330,"O00574","C-X-C chemokine receptor type 6","GPCR"
331,"Q07325","C-X-C motif chemokine 9","Other"
332,"Q9UKL4","Gap junction delta-2 protein","Other"
333,"P25024","C-X-C chemokine receptor type 1","GPCR"
334,"Q8NBI2","Cytochrome b ascorbate-dependent protein 3","Other"
335,"Q49AR2","UPF0489 protein C5orf22","Other"
336,"P06493","Cyclin-dependent kinase 1","Kinase"
337,"Q96MH7","Uncharacterized protein C5orf34","Other"
338,"Q15517","Corneodesmosin","Other"
339,"Q92903","Phosphatidate cytidylyltransferase 1","Enzyme"
340,"Q9C0D2","Centrosomal protein of 295 kDa","Other"
341,"P19835","Bile salt-activated lipase","Enzyme"
342,"Q03188","Centromere protein C","Other"
343,"Q6IPU0","Centromere protein P","Other"
344,"Q92879","CUGBP Elav-like family member 1","Other"
345,"Q9H3R5","Centromere protein H","Other"
346,"Q68CQ4","Digestive organ expansion factor homolog","Other"
347,"P49450","Histone H3-like centromeric protein A","Other"
348,"Q9BZC1","CUGBP Elav-like family member 4","Other"
349,"Q9Y592","Centrosomal protein of 83 kDa","Other"
350,"Q71F23","Centromere protein U","Other"
351,"Q6ZMG9","Ceramide synthase 6","Transcription Factor"
352,"Q5T699","Putative uncharacterized protein C6orf183","Other"
353,"Q96MT4","Uncharacterized protein encoded by LINC01600","Other"
354,"Q6ZU64","Cilia- and flagella-associated protein 65","Other"
355,"Q5JQF7","Putative uncharacterized protein encoded by LINC01556","Other"
356,"P11597","Cholesteryl ester transfer protein","Other"
357,"P57076","Cilia- and flagella-associated protein 298","Other"
358,"Q9P2B7","Cilia- and flagella-associated protein 97","Other"
359,"Q9H8W2","Putative uncharacterized protein encoded by LINC00472","Other"
360,"Q0VF96","Cingulin-like protein 1","Other"
361,"Q9UL16","Cilia- and flagella-associated protein 45","Other"
362,"P36222","Chitinase-3-like protein 1","Enzyme"
363,"Q8WYQ3","Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial","Other"
364,"Q9BQ75","Protein CMSS1","Other"
365,"Q8N1G2","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1","Enzyme"
366,"Q86XI2","Condensin-2 complex subunit G2","Other"
367,"Q8N3K9","Cardiomyopathy-associated protein 5","Other"
368,"Q96KN2","Beta-Ala-His dipeptidase","Enzyme"
369,"Q86U02","Putative uncharacterized protein encoded by LINC00596","Other"
370,"Q16281","Cyclic nucleotide-gated cation channel alpha-3","Ion Channel"
371,"Q8WXI2","Connector enhancer of kinase suppressor of ras 2","Enzyme"
372,"Q8NE01","Metal transporter CNNM3","Other"
373,"Q9H9A5","CCR4-NOT transcription complex subunit 10","Other"
374,"Q99439","Calponin-2","Other"
375,"Q15417","Calponin-3","Other"
376,"Q96LI5","CCR4-NOT transcription complex subunit 6-like","Other"
377,"A5YKK6","CCR4-NOT transcription complex subunit 1","Other"
378,"Q9Y2B0","Protein canopy homolog 2","Other"
379,"Q9NZN8","CCR4-NOT transcription complex subunit 2","Other"
380,"O94779","Contactin-5","Other"
381,"Q9H4B8","Dipeptidase 3","Enzyme"
382,"P34972","Cannabinoid receptor 2","GPCR"
383,"Q92782","Zinc finger protein neuro-d4","Epigenetic"
384,"P26441","Ciliary neurotrophic factor","Other"
385,"Q96EV8","Dysbindin","Other"
386,"P20674","Cytochrome c oxidase subunit 5A, mitochondrial","Enzyme"
387,"Q8TEA8","D-aminoacyl-tRNA deacylase 1","Enzyme"
388,"Q96FN9","D-aminoacyl-tRNA deacylase 2","Enzyme"
389,"P10176","Cytochrome c oxidase subunit 8A, mitochondrial","Enzyme"
390,"A6NNT2","Uncharacterized protein C16orf96","Other"
391,"Q6P387","Uncharacterized protein C16orf46","Other"
392,"Q7Z3J2","UPF0505 protein C16orf62","Other"
393,"P05108","Cholesterol side-chain cleavage enzyme, mitochondrial","Enzyme"
394,"A8MZG2","Uncharacterized protein C16orf90","Other"
395,"Q8N4C9","Uncharacterized protein C17orf78","Other"
396,"Q9HBI6","Phylloquinone omega-hydroxylase CYP4F11","Enzyme"
397,"A8MV24","Uncharacterized protein C17orf98","Other"
398,"Q9HCS2","Cytochrome P450 4F12","Other"
399,"Q9HCH3","Copine-5","Other"
400,"Q9H799","Ciliogenesis and planar polarity effector 1","Other"
401,"P04632","Calpain small subunit 1","Other"
402,"P24903","Cytochrome P450 2F1","Other"
403,"P78329","Phylloquinone omega-hydroxylase CYP4F2","Enzyme"
404,"P24462","Cytochrome P450 3A7","Enzyme"
405,"A8MQB3","Uncharacterized protein C17orf51","Other"
406,"Q8TAV3","Cytochrome P450 2W1","Other"
407,"Q86W10","Cytochrome P450 4Z1","Other"
408,"Q8NE35","Cytoplasmic polyadenylation element-binding protein 3","Other"
409,"Q6PUV4","Complexin-2","Other"
410,"P50416","Carnitine O-palmitoyltransferase 1, liver isoform","Enzyme"
411,"Q17RY0","Cytoplasmic polyadenylation element-binding protein 4","Other"
412,"A0A087X1C5","Putative cytochrome P450 2D7","Other"
413,"Q5TCH4","Cytochrome P450 4A22","Other"
414,"P53673","Beta-crystallin A4","Other"
415,"P78560","Death domain-containing protein CRADD","Other"
416,"Q9H0B8","Cysteine-rich secretory protein LCCL domain-containing 2","Other"
417,"Q86T23","Putative ciliary rootlet coiled-coil protein-like 1 protein","Other"
418,"Q8IUI8","Cytokine receptor-like factor 3","Other"
419,"A0A140G945","Alpha-crystallin A2 chain","Other"
420,"Q9Y2S2","Lambda-crystallin homolog","Enzyme"
421,"Q15006","ER membrane protein complex subunit 2","Other"
422,"P04141","Granulocyte-macrophage colony-stimulating factor","Other"
423,"Q8NEV1","Casein kinase II subunit alpha 3","Kinase"
424,"Q8WXD9","Caskin-1","Other"
425,"O14936","Peripheral plasma membrane protein CASK","Kinase"
426,"P41240","Tyrosine-protein kinase CSK","Kinase"
427,"Q9UFG5","UPF0449 protein C19orf25","Other"
428,"P30825","High affinity cationic amino acid transporter 1","Transporter"
429,"O43246","Cationic amino acid transporter 4","Transporter"
430,"Q96P56","Cation channel sperm-associated protein 2","Ion Channel"
431,"P40313","Chymotrypsin-like protease CTRL-1","Enzyme"
432,"Q9N2J8","HERV-H_2q24.1 provirus ancestral Env polyprotein","Other"
433,"Q6UWT2","Adropin","Other"
434,"Q5SY80","Cation channel sperm-associated protein subunit epsilon","Other"
435,"P61565","Endogenous retrovirus group K member 21 Env polyprotein","Other"
436,"P61566","Endogenous retrovirus group K member 24 Env polyprotein","Other"
437,"Q9NWM3","CUE domain-containing protein 1","Other"
438,"A6NNW6","Enolase 4","Enzyme"
439,"Q13620","Cullin-4B","Other"
440,"Q86UP6","CUB and zona pellucida-like domain-containing protein 1","Other"
441,"Q8WYQ4","Uncharacterized protein C22orf15","Other"
442,"Q9Y442","Uncharacterized protein C22orf24","Other"
443,"O95567","Uncharacterized protein C22orf31","Other"
444,"Q8N1L1","Putative uncharacterized protein encoded by LINC00528","Other"
445,"Q6P5X5","UPF0545 protein C22orf39","Other"
446,"Q6IC83","Uncharacterized protein C22orf42","Other"
447,"C9J442","Uncharacterized protein C22orf46","Other"
448,"Q9P013","Spliceosome-associated protein CWC15 homolog","Other"
449,"Q9HCG8","Pre-mRNA-splicing factor CWC22 homolog","Other"
450,"Q6UX04","Spliceosome-associated protein CWC27 homolog","Enzyme"
451,"O96002","Putative transmembrane protein CXorf1","Other"
452,"Q8TB33","Putative uncharacterized protein encoded by LINC01560","Other"
453,"A6NGU7","Putative uncharacterized protein encoded by LINC01546","Other"
454,"Q5VT33","Putative uncharacterized protein encoded by LINC01545","Other"
455,"Q8TB03","Uncharacterized protein CXorf38","Other"
456,"A8MYA2","Uncharacterized protein CXorf49","Other"
457,"Q8TE69","Protein CXorf40A","Other"
458,"Q96DE9","Protein CXorf40B","Other"
459,"Q9H5V9","UPF0428 protein CXorf56","Other"
460,"Q8TC92","Ecto-NOX disulfide-thiol exchanger 1","Other"
461,"Q5JRM2","Uncharacterized protein CXorf66","Other"
462,"Q86X51","Uncharacterized protein CXorf67","Other"
463,"Q8TF08","Cytochrome c oxidase subunit 7B2, mitochondrial","Enzyme"
464,"Q9Y6H8","Gap junction alpha-3 protein","Other"
